"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","depth_interval_notes","delta_c13"
"Adaime_1978","Cananéia / Pta. Arrozal","MC 18","single set of methods",0,5,NA,0.102,NA,NA,NA
"Adaime_1978","Cananéia / Pta. Arrozal","MC 18","single set of methods",5,10,NA,0.16079999999999997,NA,NA,NA
"Adaime_1978","Cananéia / Pta. Arrozal","MC 18","single set of methods",10,20,NA,0.1507,NA,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S1","single set of methods",0,15,0.77,NA,0.0078000000000000005,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S1","single set of methods",15,30,0.6,NA,0.0277,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S1","single set of methods",30,50,0.54,NA,0.12539999999999998,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S1","single set of methods",50,81,0.8,NA,0.0173,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S2","single set of methods",0,15,0.3,NA,0.0917,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S2","single set of methods",15,30,0.3,NA,0.124,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S2","single set of methods",30,50,0.2,NA,0.2768,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S2","single set of methods",50,100,0.54,NA,0.0446,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S3","single set of methods",0,15,0.1,NA,0.1456,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S3","single set of methods",15,30,0.6,NA,0.023,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S3","single set of methods",30,50,0.62,NA,0.0475,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S3","single set of methods",50,56.49999999999999,0.7,NA,0.0317,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S4","single set of methods",0,15,0.14,NA,0.223,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S4","single set of methods",15,30,0.61,NA,0.0166,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S4","single set of methods",30,50,0.7,NA,0.050199999999999995,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S4","single set of methods",50,100,0.4,NA,0.0617,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S5","single set of methods",0,15,0.12,NA,0.2777,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S5","single set of methods",15,30,0.33,NA,0.0727,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S5","single set of methods",30,50,0.59,NA,0.1598,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S5","single set of methods",50,100,0.61,NA,0.0634,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S6","single set of methods",0,15,0.32,NA,0.1278,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S6","single set of methods",15,30,0.63,NA,0.0435,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S6","single set of methods",30,50,0.52,NA,0.115,NA,NA
"Adame_et_al_2013","Sian kaan Tular 1","Tul1S6","single set of methods",50,95,0.49,NA,0.0229,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 1","single set of methods",0,15,0.77,NA,0.0078000000000000005,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 1","single set of methods",15,30,0.6,NA,0.0277,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 1","single set of methods",30,50,0.54,NA,0.12539999999999998,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 1","single set of methods",50,100,0.8,NA,0.0173,NA,NA
