study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_sd,cs137_unit,depth_interval_notes
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,0,2,0.233,0.09783,23.31,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,2,4,0.3382,0.08271,27.75,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,4,6,0.2923,0.0837,32.56,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,6,8,0.3041,0.08204,36.26,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,8,10,0.2797,0.07927,40.7,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,10,12,0.1931,0.0825,46.62,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,12,14,0.2402,0.07771,46.2,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,14,16,0.3183,0.0797,50.32,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,16,18,0.246,0.09669,58.09,2.1,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,18,20,0.3794,0.09225,19.61,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,20,22,0.3396,0.07753,2.22,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,22,24,0.2484,0.07713,0,NA,becquerelsPerKilogram,cs137 activity below detection limits
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,24,26,0.4144,0.0654,1.11,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,26,28,0.4408,0.06608,1.11,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Levee,28,30,0.4404,0.06483,0,NA,becquerelsPerKilogram,cs137 activity below detection limits
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,0,2,0.249,0.17917,37,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,2,4,0.1249,0.19151,41.44,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,4,6,0.1339,0.18289,52.54,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,6,8,0.2352,0.19112,57.72,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,8,10,0.1594,0.18789,61.42,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,10,12,0.1746,0.20993,56.98,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,12,14,0.2329,0.16549,100.27,2.7,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,14,16,0.1822,0.15803,73.63,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,16,18,0.2219,0.12306,17.39,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,18,20,0.2166,0.12631,3.33,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,20,22,0.1894,0.10649,2.22,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,22,24,0.3094,0.11706,0,NA,becquerelsPerKilogram,cs137 activity below detection limits
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,24,26,0.3161,0.09742,1.11,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,26,28,0.2458,0.08415,0,NA,becquerelsPerKilogram,cs137 activity below detection limits
Craft_2007,Altamaha_River,Altamaha_River_Site_7_Plain,28,30,0.2847,0.08404,1.11,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,0,2,0.345,0.11323,11.84,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,2,4,0.2936,0.10094,13.32,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,4,6,0.2646,0.0906,12.95,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,6,8,0.3237,0.09695,13.69,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,8,10,0.2996,0.12418,17.76,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,10,12,0.18,0.1105,20.72,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,12,14,0.2787,0.13279,21.09,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,14,16,0.2762,0.12453,29.97,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,16,18,0.2396,0.12057,37,NA,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,18,20,0.3077,0.11159,46.62,2.1,becquerelsPerKilogram,NA
Craft_2007,Altamaha_River,Altamaha_River_Site_8_Levee,20,22,0.3642,0.09489,37.37,NA,becquerelsPerKilogram,NA
