study_id,site_id,core_id,species_code,code_type,habitat
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,102,102,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,107,107,Rhizophora harrisonii,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,109,109,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
Trettin_et_al_2020,110,110,Rhizophora racemosa,Genus species,mangrove
