study_id,fraction_carbon_type,carbon_profile_notes
Abino_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2015,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
AfSIS_Sentinel_Sites,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
AfSPDB,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Ajonina_et_al_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Allen_et_al_2007,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Along_et_al_2000_MEPS,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_1996,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_1999,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2001,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2004,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2008,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Ashton_and_Macintosh_2002,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
AU_NatSoil,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Banerjee_et_al_2012,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bhomia_et_al_2016_Honduras,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bhomia_et_al_2016_India,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bianchi_et_al_2012,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Blue_Ventures_Unpublished,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2003,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2004_FEMS,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Brunskill_et_al_2002,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Brunskill_et_al_2004,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bukoski_et_al_2017,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Bulmer_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
C._Sanders_Submitted_to_ECSS,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
C._Sanders_Unpublished,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Cahoon_and_Lynch_1997,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Callaway_et_al_1997,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Cardona_and_Botero_1998,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Ceron-Breton_et_al_2011,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chanda_et_al_2013,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_and_Twilley_1999,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_et_al_2010,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_et_al_2012,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Chmura_et_al_2003,unknown,"uses OC data if reported, otherwise used 0.5*LOI data"
Cifuentes_Unpublished,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
DelVecchia_et_al_2014,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Dissanayake_and_Chandrasekara_2014,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Donato_et_al_2011,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Donato_et_al_2012,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
