study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,age_depth_model_reference
Okeefe-Suttles_et_al_2021_FL,pvc_and_hammer,pvc and hammer,roots and rhizomes included,sediment not sieved,compaction quantified,NA,450,4,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_FL,salt_barren,shovel,NA,sediment not sieved,not specified,NA,450,4,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_RI,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,compaction qualified,freeze dried,NA,NA,measured,FALSE,NA,EA,total carbon,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_Cape,total_carbon,piston corer,roots and rhizomes included,sediment not sieved,compaction qualified,freeze dried,NA,NA,measured,FALSE,NA,EA,total carbon,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_Cape,organic_carbon,piston corer,roots and rhizomes included,sediment not sieved,compaction qualified,freeze dried,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_Cape,no_fraction_carbon,piston corer,roots and rhizomes included,sediment not sieved,compaction qualified,freeze dried,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,core collection date
Okeefe-Suttles_et_al_2021_Wellfleet,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,compaction qualified,freeze dried,NA,NA,measured,FALSE,NA,EA,total carbon,gamma,gamma,mass accumulation,CRS,each sample,core collection date
