study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year
Okeefe-Suttles_et_al_2021_FL,Okeefe-Suttles_et_al_2021_FL_data,primary dataset,Misc,10.5066/P9QB17H2,https://www.sciencebase.gov/catalog/item/60bfb8a4d34e86b938916d6f,Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Kevin D Kroeger,"Geochemistry, FOS: Earth and related environmental sciences","Collection, analysis, and age-dating of sediment cores from mangrove and salt marsh ecosystems in Tampa Bay, Florida, 2015",U.S. Geological Survey,2021
Okeefe-Suttles_et_al_2021_RI,Okeefe-Suttles_et_al_2021_RI_data,primary dataset,Misc,10.5066/P94HIDVU,https://www.sciencebase.gov/catalog/item/60bfb7c2d34e86b938916d1e,Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Serena Moseman-Valtierra and Sara Pratt and Kevin D Kroeger,"Geochemistry, FOS: Earth and related environmental sciences","Collection, Analysis, and Age-Dating of Sediment Cores from Salt Marshes, Rhode Island, 2016",U.S. Geological Survey,2021
Okeefe-Suttles_et_al_2021_Cape,Okeefe-Suttles_et_al_2021_Cape_data,primary dataset,Misc,10.5066/P9R154DY,https://www.sciencebase.gov/catalog/item/60bfb987d34e86b938916dc9,Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Amanda Spivak and Kelly Sanks and Roberts Daniel and Kevin D Kroeger,"Geochemistry, FOS: Earth and related environmental sciences","Collection, analysis, and age-dating of sediment cores from natural and restored salt marshes on Cape Cod, Massachusetts, 2015-16",U.S. Geological Survey,2021
Okeefe-Suttles_et_al_2021_Wellfleet,Okeefe-Suttles_et_al_2021_Wellfleet_data,primary dataset,Misc,10.5066/P95RXPHB,https://www.sciencebase.gov/catalog/item/60bfb916d34e86b938916da1,Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Faming Wang and Jim Tang and Roberts Daniel and Kelly Sanks and Tim Smith and Kevin D Kroeger,"Geochemistry, FOS: Earth and related environmental sciences","Collection, analysis, and age-dating of sediment cores from Herring River wetlands and other nearby wetlands in Wellfleet, Massachusetts, 2015-17",U.S. Geological Survey,2021
