study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,age,age_se
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,0,1,0.1542,0.522624,0.2636,0,0,disintegrationsPerMinutePerGram,4.8269,0.3188,5.8632,0.3066,disintegrationsPerMinutePerGram,1.0363,0.0871,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2013.6,1.8
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,1,2,0.2267,NA,NA,0,0,disintegrationsPerMinutePerGram,4.3991,0.282,4.9199,0.2716,disintegrationsPerMinutePerGram,0.5207,0.076,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2010.3,2
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,2,3,0.2153,NA,0.1864,0,0,disintegrationsPerMinutePerGram,3.9649,0.2679,4.3535,0.2595,disintegrationsPerMinutePerGram,0.3886,0.0668,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2007.1,2.1
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,3,4,0.2311,NA,NA,0,0,disintegrationsPerMinutePerGram,3.7564,0.1906,4.1246,0.1856,disintegrationsPerMinutePerGram,0.3683,0.0434,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2003.5,2.3
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,4,5,0.303,0.335478,0.1609,0,0,disintegrationsPerMinutePerGram,2.413,0.1464,2.6846,0.1409,disintegrationsPerMinutePerGram,0.2716,0.0397,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2000.2,2.6
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,5,6,0.2963,NA,NA,0,0,disintegrationsPerMinutePerGram,2.0669,0.1394,2.375,0.1349,disintegrationsPerMinutePerGram,0.308,0.0353,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1997.1,2.8
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,6,7,0.3897,NA,0.09720000000000001,0,0,disintegrationsPerMinutePerGram,1.2218,0.0949,1.449,0.0911,disintegrationsPerMinutePerGram,0.2272,0.0265,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1994.4,3
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,7,8,0.5119,NA,NA,0,0,disintegrationsPerMinutePerGram,1.0205,0.0703,1.204,0.0679,disintegrationsPerMinutePerGram,0.1835,0.0181,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1991.3,3.2
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,8,9,0.4533,0.160823,0.1167,0,0,disintegrationsPerMinutePerGram,0.959,0.0872,1.1891,0.0844,disintegrationsPerMinutePerGram,0.2302,0.0217,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1988.4,3.5
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,9,10,0.3707,NA,NA,0,0,disintegrationsPerMinutePerGram,1.2276,0.108,1.5144,0.103,disintegrationsPerMinutePerGram,0.2868,0.0324,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1985,3.9
