Core_ID,Marsh_ID,Sampling_year,Local_authority,Marsh_type,Marsh_zone,Sample_depth_cm,Mid_Point_depth_cm,Lat_dec_deg,Long_dec_deg,X_easting,Y_northing,Wet_bulk_density_g_cm_3,Dry_bulk_density_g_cm_3,OC_perc,delta_13Corg_per_mil,N_perc,delta_15N_per_mil,CN,NC
Fleet C1,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,0_5,2.5,57.9502173,-4.08237605,276849,897555,1.805493386,0.499247365,22.287,-27.225,2.053,5.032,14.269,0.07
Fleet C1,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,10_15,12.5,57.9502173,-4.08237605,276849,897555,2.603505694,1.237388413,7.6,NA,NA,NA,NA,NA
Fleet C1,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,20_25,22.5,57.9502173,-4.08237605,276849,897555,3.151556907,2.524514395,0.832,NA,NA,NA,NA,NA
Fleet C10,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,0_5,2.5,57.94673653,-4.08130251,276901,897165,1.841639669,0.361233642,24.724,-28.538,2.2,3.787,13.315,0.075
Fleet C10,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,40_45,42.5,57.94673653,-4.08130251,276901,897165,2.991975667,1.804927495,2.853,NA,NA,NA,NA,NA
Fleet C10,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,10_15,12.5,57.94673653,-4.08130251,276901,897165,3.076003395,2.076088279,2.73,NA,NA,NA,NA,NA
Fleet C10,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,30_35,32.5,57.94673653,-4.08130251,276901,897165,3.236490062,2.316952677,0.646,NA,NA,NA,NA,NA
Fleet C10,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,20_25,22.5,57.94673653,-4.08130251,276901,897165,3.683487303,2.669368324,0.431,NA,NA,NA,NA,NA
Fleet C11,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,0_5,2.5,57.94631,-4.08114,276909,897118,1.866595459,0.558920563,0.55,-27.949,1.558,3.689,13.838,0.072
Fleet C11,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,10_15,12.5,57.94631,-4.08114,276909,897118,2.978556978,2.225511778,0.884,NA,NA,NA,NA,NA
Fleet C11,Cambusmore Lodge (Loch Fleet),2020,Highland,Embayment,High,20_25,22.5,57.94631,-4.08114,276909,897118,3.099834477,2.607099102,0.552,NA,NA,NA,NA,NA
