study_id,site_id,plot_id,plot_area,plot_center_latitude,plot_center_longitude,salinity_class,year,month,day,field_or_manipulation_code,habitat,dominant_species,mean_height,aboveground_carbon_MgC_ha,plant_plot_detail_present,soil_core_present
Radabaugh_et_al_2023,Upper_Faka_Union01,FU6 Tree 2,100,25.901790146,-81.510604174,brackish,2017,12,18,field,mangrove,NA,NA,90.38498017,no,yes
Radabaugh_et_al_2023,Blackwater_Bay,BW3 Tree 3,100,25.923525038,-81.612747206,brackish,2017,12,19,field,mangrove,NA,NA,98.00086371,no,yes
Radabaugh_et_al_2023,Blackwater_Bay,BW2 Tree 4,100,25.924935107,-81.608071981,brackish,2017,12,19,field,mangrove,NA,NA,44.59115503,no,yes
Radabaugh_et_al_2023,Faka_Bay,FB Tree 5,100,25.88797,-81.50747,brackish,2017,12,18,field,mangrove,NA,NA,51.07973898,no,yes
Radabaugh_et_al_2023,Faka_Bay,FB Tree 6,100,25.88798,-81.50507,brackish,2017,12,18,field,mangrove,NA,NA,69.49065665,no,yes
Radabaugh_et_al_2023,Cats_Claw_Basin,CCB Tree 7,100,26.02173,-81.73376,brackish,2017,12,20,field,mangrove,NA,NA,72.7694393,no,yes
Radabaugh_et_al_2023,Tamiami_Trail01,TAM 1,100,25.968206118,-81.53893497,brackish,2018,7,30,field,marsh,Pluchea baccharis,52.37037037037037,10.18132048,no,yes
Radabaugh_et_al_2023,Tamiami_Trail01,TAM 1,100,25.968206118,-81.53893497,brackish,2018,7,30,field,marsh,Ipomoea sagittata,74.47368421052632,10.18132048,no,yes
Radabaugh_et_al_2023,Tamiami_Trail01,TAM 1,100,25.968206118,-81.53893497,brackish,2018,7,30,field,marsh,Muhlenbergia capillaris,91.44186046511626,10.18132048,no,yes
Radabaugh_et_al_2023,Tamiami_Trail02,TAM 2,100,25.945076255,-81.474425316,brackish,2018,7,30,field,marsh,NA,NA,18.20944303,no,yes
Radabaugh_et_al_2023,Tamiami_Trail03,TAM 3,100,25.944179049,-81.475392858,brackish,2018,7,30,field,marsh,NA,NA,7.267463468,no,yes
Radabaugh_et_al_2023,Tamiami_Trail04,TAM 4,100,25.942660053,-81.474998997,brackish,2018,7,30,field,marsh,NA,NA,18.46151973,no,yes
Radabaugh_et_al_2023,Tamiami_Trail05,TAM 5,100,25.937489939,-81.460585792,brackish,2018,7,30,field,mangrove,NA,NA,57.97288744,no,yes
Radabaugh_et_al_2023,Tamiami_Trail06,TAM 6,100,25.91836572,-81.394597135,brackish,2018,7,30,field,marsh,NA,NA,16.5152735,no,yes
Radabaugh_et_al_2023,Tamiami_Trail07,TAM 7,100,25.968460177,-81.538993295,brackish,2018,7,31,field,marsh,NA,NA,8.564326138,no,yes
Radabaugh_et_al_2023,Tamiami_Trail08,TAM 8,100,25.965194739,-81.52931852,brackish,2018,7,31,field,marsh,NA,NA,4.895902342,no,yes
Radabaugh_et_al_2023,Tamiami_Trail09,TAM 9,100,25.964964503,-81.529488579,brackish,2018,7,31,field,marsh,NA,NA,8.936115849,no,yes
Radabaugh_et_al_2023,Tamiami_Trail10,TAM 10,100,25.961500775,-81.519318397,brackish,2018,7,31,field,marsh,Cyperus species,91.33333333333331,8.855531018,no,yes
Radabaugh_et_al_2023,Tamiami_Trail11,TAM 11,100,25.933166233,-81.44832386,brackish,2018,7,31,field,marsh,NA,NA,14.28356062,no,yes
Radabaugh_et_al_2023,Tamiami_Trail12,TAM 12,100,25.928083803,-81.432605968,brackish,2018,8,1,field,marsh,Typha species,112.95535714285714,2.155778391,no,yes
Radabaugh_et_al_2023,Tamiami_Trail13,TAM 13,100,25.951132912,-81.505408178,brackish,2018,8,1,field,mangrove,NA,NA,16.80197044,no,yes
Radabaugh_et_al_2023,Tamiami_Trail14,TAM 14,100,25.951267294,-81.505214504,brackish,2018,8,1,field,mangrove,NA,NA,27.17436083,no,yes
Radabaugh_et_al_2023,Little_Manatee_River01,LMR 1,100,27.671770504,-82.417807382,brackish,2018,10,26,field,marsh,NA,NA,4.519397814,no,yes
Radabaugh_et_al_2023,Little_Manatee_River02,LMR 2,100,27.667345575,-82.429358249,brackish,2018,10,26,field,marsh,Crinum americanum,51.583333333333336,11.0824282,no,yes
Radabaugh_et_al_2023,Little_Manatee_River03,LMR 3,100,27.67257287,-82.438329208,brackish,2018,10,26,field,marsh,NA,NA,9.851314534,no,yes
Radabaugh_et_al_2023,Peace_River01,Peace 1,100,27.060340267,-81.997691325,brackish,2018,10,26,field,marsh,Alternanthera philoxeroides,36.9390243902439,7.294991451,no,yes
Radabaugh_et_al_2023,Peace_River01,Peace 1,100,27.060340267,-81.997691325,brackish,2018,10,26,field,marsh,Colocasia esculenta,77.47407407407407,7.294991451,no,yes
Radabaugh_et_al_2023,Peace_River01,Peace 1,100,27.060340267,-81.997691325,brackish,2018,10,26,field,marsh,Persicaria setacea,127.1842105263158,7.294991451,no,yes
Radabaugh_et_al_2023,Peace_River01,Peace 1,100,27.060340267,-81.997691325,brackish,2018,10,26,field,marsh,Schoenoplectus tabernaemontani,125.27692307692308,7.294991451,no,yes
Radabaugh_et_al_2023,Peace_River02,Peace 2,100,27.042050579,-81.985003838,brackish,2018,10,26,field,marsh,NA,NA,10.17769828,no,yes
Radabaugh_et_al_2023,Peace_River03,Peace 3,100,27.029847073,-81.98895664,brackish,2018,10,26,field,mangrove,Laguncularia racemosa,11.206779661016949,68.85046371,no,yes
Radabaugh_et_al_2023,Peace_River04,Peace 4,100,26.96642132,-81.99978072,brackish,2020,1,21,field,marsh,NA,NA,8.679247166,no,yes
Radabaugh_et_al_2023,Peace_River05,Peace 5,100,26.96664119,-81.9981664,brackish,2020,1,21,field,marsh,NA,NA,17.40340098,no,yes
Radabaugh_et_al_2023,Charlotte_Harbor01,CH 1,100,26.98122352,-82.18383836,brackish,2020,2,4,field,marsh,NA,NA,6.169082602,no,yes
Radabaugh_et_al_2023,Charlotte_Harbor02,CH 2,100,26.97480346,-82.18127198,brackish,2020,2,4,field,marsh,NA,NA,5.181415512,no,yes
Radabaugh_et_al_2023,Charlotte_Harbor03,CH 3,100,26.96888264,-82.17769313,brackish,2020,2,4,field,mangrove,NA,NA,23.49129593,no,yes
