study_id,location_description,allometric_eq_formula,genus,species,alive_or_dead,above_or_belowground,output_unit,height_max,height_min,input_parameter,output_parameter,source
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.4693ln(ht) - 6.7053,Avicennia,philoxeroides,alive,aboveground,g,96.5,8.7,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = (-2.3532583 + 0.0305667(ht)) / 1000,Avicennia,australis,alive,aboveground,g,265,20,whole plant; ht = height (cm),NA,Lu et al. 2016
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0036(ht) - 0.0093,Bacopa,monnieri,alive,aboveground,g,23.7,5.5,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.7247ln(ht) - 5.3885,Batis,maritima,alive,aboveground,g,50.3,3,individual stems separated from prostrate stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0121(ht) + 0.0464,Blutaparon,vermiculare,alive,aboveground,g,48.9,4.4,individual stems separated from prostrate stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.1284ln(ht) - 7.3802,Borrichia,frutescens,alive,aboveground,g,120.2,14.4,whole plant; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.5076ln(ht) - 10.332,Colocasia,esculenta,alive,aboveground,g,126,28.3,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 3.8264ln(ht) - 14.167,Crinum,americanum,alive,aboveground,g,70.5,35,whole plant; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.0813ln(ht) - 6.4251,Cyperus,esculentus,alive,aboveground,g,129,14,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 0.8651ln(ht) - 4.4539,Cyperus,rotundus,alive,aboveground,g,28,1.5,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.3414ln(ht) - 10.662,Cyperus,species,alive,aboveground,g,141,28,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.8048ln(ht) - 6.1295,Dichanthelium,species,alive,aboveground,g,14,2.5,individual stem; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.2539ln(ht) - 5.6389,Distichlis,species,alive,aboveground,g,36,6,individual stem; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.0161ln(ht) - 9.5912,Fimbristylis,castanea,alive,aboveground,g,80,18.1,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.5244ln(ht) - 4.8064,Fimbristylis,cymosa,alive,aboveground,g,37.2,14.1,"whole plant, excluding flower; ht = height (cm)",NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.1216ln(ht) - 10.206,Ipomoea,sagittata,alive,aboveground,g,141,38,whole plant; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0230(ht) - 0.6384,Juncus,roemerianus,alive,aboveground,g,182,8.6,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.1677ln(ht) - 3.123,Laguncularia,racemosa,alive,aboveground,g,17.9,4,whole plant; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.0071ln(ht) - 3.9246,Limonium,carolinianum,alive,aboveground,g,83.4,6.2,whole plant; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.4028ln(ht) - 5.4823,Monanthochloe,littoralis,alive,aboveground,g,14,4.4,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.2016ln(ht) - 9.2842,Muhlenbergia,capillaris,alive,aboveground,g,145,40.5,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.1238 ln(ht) - 5.1012,Panicum,species,alive,aboveground,g,39,6,individual stem; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.9210ln(ht) - 6.6365,Paspalum,distichum,alive,aboveground,g,63.8,12.5,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.3963ln(ht) - 9.382,Persicaria,setacea,alive,aboveground,g,181,92.1,whole plant; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.975ln(ht) - 7.147,Pluchea,baccharis,alive,aboveground,g,84.5,33.5,whole plant; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = -1.22 + 1.04ln(ht),Rhizophora,mangle,alive,aboveground,g,NA,NA,whole plant; ht = height (cm),NA,Ellison and Farnsworth 1997
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.1107(ht) - 0.9224,Rayjacksonia,phyllocephala,alive,aboveground,g,95,10,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
