study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,0,1,0.114,0.54805492
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,1,2,0.149,0.488219895
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,2,3,0.125,0.488058152
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,3,4,0.099,0.473372781
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,4,5,0.193,0.465656566
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,5,6,0.196,0.468177556
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,6,7,0.139,0.470698547
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,7,8,0.157,0.416390728
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,8,9,0.203,0.344661751
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,9,10,0.219,0.34225394
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,10,11,0.219,0.345503117
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,11,12,0.207,0.347335423
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,12,13,0.225,0.332851359
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,13,14,0.266,0.353300733
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,14,15,0.306,0.370276008
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,15,16,0.304,0.237799658
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,16,17,0.269,0.201706039
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,17,18,0.339,0.165612421
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,18,19,0.399,0.18510673
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,19,20,0.485,0.138628449
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,20,21,0.294,0.192928177
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,21,22,0.433,0.181313737
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,22,23,0.486,0.1394353
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,23,24,0.346,0.217407616
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,24,25,0.441,0.182889118
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,25,26,0.287,0.225419121
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,26,27,0.335,0.214216353
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,27,28,0.34,0.253585772
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,28,29,0.303,0.255893699
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,29,30,0.312,0.263103161
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,30,31,0.335,0.224422442
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,31,32,0.295,0.321444298
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,32,33,0.312,0.243485512
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,33,34,0.325,0.230707717
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,34,35,0.307,0.293943244
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,35,36,0.342,0.211856356
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,36,37,0.394,0.191426216
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,37,38,0.336,0.205068679
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,38,39,0.258,0.310892587
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,39,40,0.356,0.204338316
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,40,41,0.37,0.230809766
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,41,42,0.516,0.165596273
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,42,43,0.354,0.209792775
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,43,44,0.344,0.257315462
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,44,45,0.413,0.221190176
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,45,46,0.451,0.231024053
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,46,47,0.476,0.191692854
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,47,48,0.352,0.264673311
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,48,49,0.387,0.263228624
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,49,50,0.418,0.247940308
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,50,51,0.544,0.128597015
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,51,52,0.444,0.166178624
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,52,53,0.561,0.129981464
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,53,54,0.497,0.168520215
Radabaugh_et_al_2023,Blackwater_Bay,BWB1B,single set of methods,54,55,0.558,0.173690338
