study_id,site_id,site_description,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes
Beers_et_al_2023,Anchor_River,Anchor River; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,emergent,field observation,emergent,mid,field observation,mid to high marsh
Beers_et_al_2023,Beluga_Marsh,Beluga Marsh; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,emergent,field observation,emergent,mid,field observation,mid to high marsh
Beers_et_al_2023,Carrie_Bow_Cay,Carrie Bow Cay; seagrass bed on coral base,mixoeuhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,approx 7 m below water level
Beers_et_al_2023,China_Camp,China Camp; minimally disturbed tidal wetland,polyhaline,measurement,refractometer,scrub shrub,field observation,shrub,high,field observation,mostly mid to high marsh with narrow fringing low marsh
Beers_et_al_2023,China_Poot,China Poot; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,emergent,field observation,emergent,mid,field observation,mid to high marsh
Beers_et_al_2023,Coon_Island,Coon Island; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,scrub shrub,field observation,shrub & emergent,high,field observation,mostly mid to high marsh with narrow fringing low marsh
Beers_et_al_2023,GCREW,GCREW; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,emergent,field observation,emergent & shrub,mid,field observation,high marsh
Beers_et_al_2023,Indian_River_Lagoon,Indian River Lagoon; fringe mangrove,mixoeuhaline,measurement,refractometer,forested,field observation,forested,low,field observation,Rhizophora mangle along fringe (~10-15m wide); other species behind
Beers_et_al_2023,Indian_River_Lagoon,Indian River Lagoon; seagrass bed,mixoeuhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,approx 1 m below waterlevel
Beers_et_al_2023,Isla Cristobal,Isla Cristóbal; fringe mangrove,mixoeuhaline,measurement,refractometer,scrub shrub,field observation,shrub,low,field observation,mix of fringe & dwarf mangroves
Beers_et_al_2023,Isla_Colon,Isla Colón; seagrass bed,mixoeuhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,approx 2 m below waterlevel
Beers_et_al_2023,Isla_Popa,Isla Popa; fringe mangrove,mixoeuhaline,measurement,refractometer,scrub shrub,field observation,shrub,low,field observation,mix of fringe & dwarf mangroves
Beers_et_al_2023,Isla_Popa,Isla Popa; seagrass bed,mixoeuhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,approx 2 m below waterlevel
Beers_et_al_2023,Isla_Solarte,Isla Solarte; fringe mangrove,mixoeuhaline,measurement,refractometer,scrub shrub,field observation,shrub,low,field observation,mix of fringe & dwarf mangroves
Beers_et_al_2023,Pt_Molate,Pt Molate; seagrass bed,polyhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,very rocky
Beers_et_al_2023,Rush_Ranch,Rush Ranch; minimally disturbed tidal wetland,mesohaline,measurement,refractometer,emergent,field observation,emergent & shrub,mid,field observation,mostly mid to high marsh with narrow fringing low marsh
Beers_et_al_2023,Twin_Cays,Twin Cays; mangrove island,mixoeuhaline,measurement,refractometer,scrub shrub,field observation,shrub,low,field observation,mix of fringe & dwarf mangroves
Beers_et_al_2023,Twin_Cays,Twin Cays; seagrass bed,mixoeuhaline,measurement,refractometer,seagrass,field observation,seagrass,low,field observation,approx 1 m below waterlevel
Beers_et_al_2023,Wachapreague,Wachapreague; minimally disturbed tidal wetland,polyhaline,measurement,refractometer,emergent,field observation,emergent,NA,field observation,2 islands were sampled: one all low marsh and one mid/high marsh
