study_id,bibliography_id,bibtype,title,author,doi,url,year,month,publisher,volume,number,pages,journal,publication_type,copyright
Beers_et_al_2023,Rogers_et_al_2019_article,Article,Wetland carbon storage controlled by millennial-scale variation in relative sea-level rise,Kerrylee Rogers and Jeffrey J. Kelleway and Neil Saintilan and J. Patrick Megonigal and Janine B. Adams and James R. Holmquist and Meng Lu and Lisa Schile-Beers and Atun Zawadzki and Debashish Mazumder and Colin D. Woodroffe,10.1038/s41586-019-0951-7,https://doi.org/10.1038/s41586-019-0951-7,2019,mar,Springer Science and Business Media {LLC},567,7746,91--95,Nature,associated source,NA
Beers_et_al_2023,Beers_et_al_2023_data,Misc,"Dataset: Mangrove, tidal wetland and seagrass soil carbon stocks along latitudinal gradients",Lisa M Schile-Beers and Andrew H. Altieri and J. Patrick Megonigal,10.25573/SERC.11971527,https://smithsonian.figshare.com/articles/dataset/Dataset_Mangrove_tidal_wetland_and_seagrass_soil_carbon_stocks_along_latitudinal_gradients/11971527,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,primary dataset,Creative Commons Attribution 4.0 International
