attribute_name,definition,required,data_type,format_unit_codes
study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et. al if more than three, then publication year separated by underscores.",required,character,NA
method_id,Methods identification code unique to each study.,required,character,NA
coring_method,Code indicating what type of device was used to collect soil depth profiles.,encouraged,factor,NA
roots_flag,Code indicating whether live roots were included or excluded from carbon assessments.,encouraged,factor,NA
sediment_sieved_flag,Code indicating whether or not sediment was sieved prior to carbon measurements.,encouraged,factor,NA
sediment_sieve_size,"If sediment was sieved, the size of sieve used.",conditional,numeric,millimeters
compaction_flag,Code indicating how the authors qualified or quantified compaction of the core.,optional,factor,NA
dry_bulk_density_temperature,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,encouraged,numeric,celsius
dry_bulk_density_time,Time over which samples were dried to measure dry bulk density.,encouraged,numeric,hour
dry_bulk_density_sample_volume,"Sample volume used for bulk density measurements, if held constant.",encouraged,numeric,cubicCentimeters
dry_bulk_density_sample_mass,"Sample mass used for bulk density measurements, if held constant.",encouraged,numeric,grams
dry_bulk_density_flag,Any notable codes regarding how the authors quantified dry bulk density.,optional,factor,NA
loss_on_ignition_temperature,Temperature at which samples were combusted to estimate fraction organic matter.,encouraged,numeric,celsius
loss_on_ignition_time,Time over which samples were combusted to estimate fraction organic matter.,encouraged,numeric,hour
loss_on_ignition_sample_volume,"Sample volume used for loss on ignition, if held constant.",encouraged,numeric,cubicCentimeters
loss_on_ignition_sample_mass,"Sample mass used for loss on ignition, if held constant.",encouraged,numeric,grams
loss_on_ignition_flag,Common codes regarding loss on ignition methodology.,optional,factor,NA
carbon_measured_or_modeled,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,optional,factor,NA
carbonates_removed,Whether or not carbonates were removed prior to calculating fraction organic carbon.,conditional,factor,NA
carbonate_removal_method,The method used to remove carbonates prior to measuring fraction carbon.,conditional,factor,NA
fraction_carbon_method,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",conditional,factor,NA
fraction_carbon_type,Code indicating whether fraction_carbon refers to organic or total carbon.,conditional,factor,NA
carbon_profile_notes,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",optional,character,NA
cs137_counting_method,Code indicating the method used for determining radiocesium activity.,optional,factor,NA
pb210_counting_method,Code indicating the method used for determining lead 210 activity.,optional,factor,NA
excess_pb210_rate,Code indicating the mass or accretion rate used in the excess_pb_210_model.,optional,factor,NA
excess_pb210_model,Code indicating the model used to estimate excess lead 210.,optional,factor,NA
ra226_assumption,Code indicating the assumption used to estimate the core's background_226Ra levels.,optional,factor,NA
c14_counting_method,Code indicating the method used for determining radiocarbon activity.,optional,factor,NA
dating_notes,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,optional,character,NA
age_depth_model_reference,Code indicating the reference or 0 year of the age depth model.,optional,factor,NA
age_depth_model_notes,Any submitter defined notes on how the age depth model was created.,optional,character,NA
