"[Abbreviations: ID, identification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no reported value]",,,,,
Sample ID,"Water Content (g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk Density (g/cm^3)","Loss On Ignition (g-OM/g-dry)",
14CCT01-GB32G,0.5,0.71,0.68,0.046,
14CCT01-GB35G,0.22,0.41,1.49,0.011,
14CCT01-GB37Ga,0.27,0.47,1.27,0.017,
14CCT01-GB40G,0.48,0.69,0.78,0.046,
14CCT01-GB41G,0.23,0.43,1.41,0.007,
14CCT01-GB43G,0.33,0.55,1.08,0.02,
14CCT01-GB44G,0.54,0.74,0.62,0.052,
14CCT01-GB45G,0.36,0.59,0.98,0.036,
14CCT01-GB46G,0.52,0.73,0.57,0.066,
14CCT01-GB47G,0.51,0.72,0.67,0.056,
14CCT01-GB48G,0.43,0.66,0.83,0.053,
14CCT01-GB51G,0.47,0.69,0.77,0.045,
14CCT01-GB52G,0.53,0.74,0.64,0.054,
14CCT01-GB58G,0.51,0.72,0.67,0.05,
14CCT01-GB59G,0.31,0.53,1.18,0.017,
14CCT01-GB61G,0.48,0.7,0.75,0.041,
14CCT01-GB62Gb,0.34,0.56,1.09,0.02,
14CCT01-GB63G,0.37,0.59,1.02,0.021,
14CCT01-GB65G,0.26,0.47,1.37,0.008,
14CCT01-GB67Ga,0.3,0.52,1.21,0.016,
14CCT01-GB70Gb,0.29,0.51,1.24,0.017,
,,,,,
14CCT01-GB30S,0.78,0.9,0.23,0.33,
14CCT01-GB33S,0.08,0.17,1.22,0.002,
14CCT01-GB36S,0.66,0.83,0.39,0.149,
14CCT01-GB38S,0.19,0.37,1.54,0.016,
14CCT01-GB39S,0.81,0.92,0.18,0.232,
14CCT01-GB42S,0.66,0.83,0.4,0.08,
14CCT01-GB49S,0.86,0.94,0.14,0.464,
14CCT01-GB50S,0.8,0.91,0.2,0.265,
14CCT01-GB53S,0.66,0.83,0.4,0.158,
14CCT01-GB54S,0.74,0.88,0.29,0.203,
14CCT01-GB55S,0.77,0.9,0.24,0.278,
14CCT01-GB56Sc,0.67,0.84,0.38,0.162,
14CCT01-GB57S,0.54,0.74,0.61,0.071,
14CCT01-GB60Sc,0.8,0.91,0.2,0.266,
14CCT01-GB64S,0.75,0.88,0.27,0.216,
14CCT01-GB68S,0.65,0.82,0.4,0.161,
Gx = field replicate sample pairs,,,,,
,,,,,
,,,,,
Core ID,Depth (cm),"Water Content (g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk Density (g/cm^3)","Loss On Ignition (g-OM/g-dry)"
14CCT01-GB36M,0-1,0.71,0.86,0.31,0.141
14CCT01-GB36M,2-Jan,0.66,0.83,0.4,0.134
14CCT01-GB36M,3-Feb,0.69,0.85,0.36,0.157
14CCT01-GB36M,4-Mar,0.68,0.84,0.36,0.154
14CCT01-GB36M,5-Apr,0.67,0.84,0.36,0.149
14CCT01-GB36M,6-May,0.65,0.82,0.41,0.137
14CCT01-GB36M,7-Jun,0.63,0.81,0.44,0.119
14CCT01-GB36M,8-Jul,0.56,0.76,0.56,0.097
14CCT01-GB36M,7-8a,,,,0.099
14CCT01-GB36M,9-Aug,0.51,0.72,0.66,0.084
14CCT01-GB36M,10-Sep,0.57,0.77,0.55,0.104
14CCT01-GB36M,11-Oct,0.71,0.86,0.31,0.2
14CCT01-GB36M,12-Nov,0.78,0.9,0.21,0.292
14CCT01-GB36M,13-Dec,0.75,0.88,0.26,0.214
14CCT01-GB36M,13-14,0.59,0.78,0.49,0.092
14CCT01-GB36M,14-15,0.71,0.86,0.33,0.158
14CCT01-GB36M,15-16,0.76,0.89,0.25,0.229
14CCT01-GB36M,16-17,0.78,0.9,0.22,--
14CCT01-GB36M,17-18,0.67,0.84,0.36,0.144
14CCT01-GB36M,18-19,0.5,0.71,0.67,0.067
14CCT01-GB36M,18-19a,,,,0.072
14CCT01-GB36M,19-20,0.43,0.65,0.8,0.05
14CCT01-GB36M,20-21,0.42,0.65,0.84,0.058
14CCT01-GB36M,21-22,0.45,0.67,0.8,0.054
14CCT01-GB36M,21-22a,,,,0.051
14CCT01-GB36M,22-23,0.49,0.71,0.67,--
14CCT01-GB36M,23-24,0.49,0.71,0.73,0.068
14CCT01-GB36M,24-25,0.41,0.63,0.89,--
14CCT01-GB36M,25-26,0.39,0.61,0.91,0.038
14CCT01-GB36M,26-27,0.4,0.63,0.9,--
14CCT01-GB36M,27-28,0.39,0.61,0.94,0.04
14CCT01-GB36M,28-29,0.44,0.66,0.8,0.054
14CCT01-GB36M,29-30,0.47,0.69,0.77,--
14CCT01-GB36M,30-31,0.55,0.75,0.52,0.097
14CCT01-GB36M,31-32,0.6,0.79,0.5,--
14CCT01-GB36M,32-33,0.58,0.77,0.57,--
14CCT01-GB36M,33-34,0.54,0.75,0.58,0.095
14CCT01-GB36M,34-35,0.52,0.73,0.56,0.08
14CCT01-GB36M,35-36,0.51,0.72,0.64,0.077
14CCT01-GB36M,36-37,0.54,0.74,0.58,0.09
14CCT01-GB36M,37-38,0.55,0.76,0.58,0.092
14CCT01-GB36M,38-39,0.6,0.79,0.47,0.122
14CCT01-GB36M,39-40,0.61,0.79,0.48,0.118
14CCT01-GB36M,40-41,0.55,0.76,0.57,0.089
14CCT01-GB36M,41-42,0.53,0.73,0.62,0.08
14CCT01-GB36M,41-42a,,,,0.074
14CCT01-GB36M,42-43,0.51,0.72,0.6,0.073
14CCT01-GB36M,43-44,0.5,0.72,0.74,0.073
14CCT01-GB36M,44-45,0.48,0.69,0.67,0.064
14CCT01-GB36M,45-46,0.64,0.82,0.47,0.077
14CCT01-GB36M,46-47,0.55,0.75,0.55,0.105
14CCT01-GB36M,47-48,0.48,0.7,0.72,0.076
14CCT01-GB36M,47-48a,,,,0.074
14CCT01-GB36M,48-49,0.49,0.71,0.64,0.083
14CCT01-GB36M,49-49.7,0.5,0.71,0.68,0.09
,,,,,
,,,,,
14CCT01-GB39M,0-1,0.63,0.81,0.44,0.154
14CCT01-GB39M,2-Jan,0.59,0.78,0.5,0.124
14CCT01-GB39M,3-Feb,0.55,0.75,0.55,0.104
14CCT01-GB39M,4-Mar,0.58,0.78,0.54,0.117
14CCT01-GB39M,3-4a,,,,0.118
14CCT01-GB39M,5-Apr,0.59,0.78,0.53,0.116
14CCT01-GB39M,6-May,0.61,0.79,0.46,0.136
14CCT01-GB39M,7-Jun,0.62,0.8,0.46,0.148
14CCT01-GB39M,8-Jul,0.61,0.79,0.48,0.138
14CCT01-GB39M,9-Aug,0.62,0.8,0.47,0.132
14CCT01-GB39M,10-Sep,0.64,0.81,0.42,0.145
14CCT01-GB39M,11-Oct,0.68,0.84,0.37,0.178
14CCT01-GB39M,12-Nov,0.69,0.85,0.34,0.179
14CCT01-GB39M,13-Dec,0.68,0.84,0.36,0.169
14CCT01-GB39M,13-14,0.68,0.84,0.36,0.159
14CCT01-GB39M,14-15,0.63,0.81,0.45,0.129
14CCT01-GB39M,15-16,0.6,0.79,0.61,0.109
14CCT01-GB39M,15-16a,,,,0.117
14CCT01-GB39M,16-17,0.62,0.81,0.45,0.141
14CCT01-GB39M,17-18,0.63,0.81,0.44,0.139
14CCT01-GB39M,18-19,0.64,0.82,0.44,0.137
14CCT01-GB39M,19-20,0.64,0.82,0.43,0.142
14CCT01-GB39M,20-21,0.59,0.78,0.52,0.123
14CCT01-GB39M,21-22,0.59,0.78,0.5,0.137
14CCT01-GB39M,22-23,0.54,0.75,0.61,0.108
14CCT01-GB39M,23-24,0.5,0.72,0.65,0.091
14CCT01-GB39M,23-24a,,,,0.094
14CCT01-GB39M,24-25,0.48,0.7,0.69,0.084
14CCT01-GB39M,25-26,0.49,0.71,0.68,0.086
14CCT01-GB39M,26-27,0.53,0.74,0.63,0.091
14CCT01-GB39M,27-28,0.51,0.72,0.68,0.086
14CCT01-GB39M,28-29,0.48,0.7,0.72,0.073
14CCT01-GB39M,29-30,0.47,0.69,0.75,0.068
14CCT01-GB39M,30-31,0.47,0.69,0.73,0.064
14CCT01-GB39M,31-32,0.46,0.68,0.78,0.06
14CCT01-GB39M,31-32a,,,,0.061
14CCT01-GB39M,32-33,0.44,0.67,0.78,0.054
14CCT01-GB39M,33-34,0.39,0.61,0.95,0.043
14CCT01-GB39M,34-35,0.37,0.6,0.95,0.042
14CCT01-GB39M,35-36,0.37,0.6,0.98,0.041
14CCT01-GB39M,36-37,0.35,0.58,1.04,0.037
14CCT01-GB39M,36-37a,,,,0.039
14CCT01-GB39M,37-38,0.32,0.54,1.12,0.032
14CCT01-GB39M,38-39,0.3,0.52,1.15,0.029
14CCT01-GB39M,39-40,0.3,0.52,1.18,0.027
14CCT01-GB39M,40-41,0.29,0.51,1.2,0.027
14CCT01-GB39M,41-42,0.3,0.52,1.18,0.027
14CCT01-GB39M,42-43,0.3,0.51,1.23,0.025
14CCT01-GB39M,43-44,0.27,0.47,1.33,0.022
14CCT01-GB39M,44-45,0.26,0.47,1.33,0.021
14CCT01-GB39M,45-46,0.25,0.45,1.3,0.019
14CCT01-GB39M,46-47a,,,,0.019
14CCT01-GB39M,46-47,0.24,0.44,1.47,0.018
14CCT01-GB39M,47-48,0.24,0.44,1.38,0.018
14CCT01-GB39M,48-49,0.24,0.44,1.39,0.018
14CCT01-GB39M,49-50,0.23,0.43,1.42,0.017
14CCT01-GB39M,50-51,0.23,0.43,1.41,0.018
14CCT01-GB39M,51-52,0.22,0.42,1.44,0.019
14CCT01-GB39M,52-53,0.23,0.43,1.38,0.021
14CCT01-GB39M,53-54,0.2,0.39,1.43,0.017
14CCT01-GB39M,53-54a,,,,0.018
14CCT01-GB39M,54-54.7,0.22,0.41,1.36,0.02
,,,,,
,,,,,
14CCT01-GB53M(A),0-1,0.61,0.8,0.49,0.161
14CCT01-GB53M(A),2-Jan,0.61,0.79,0.47,0.146
14CCT01-GB53M(A),3-Feb,0.6,0.79,0.49,0.138
14CCT01-GB53M(A),4-Mar,0.57,0.77,0.53,0.111
14CCT01-GB53M(A),5-Apr,0.51,0.72,0.66,0.081
14CCT01-GB53M(A),4-5a,,,,0.085
14CCT01-GB53M(A),6-May,0.65,0.82,0.42,0.175
14CCT01-GB53M(A),7-Jun,0.7,0.85,0.35,0.228
14CCT01-GB53M(A),8-Jul,0.65,0.82,0.39,0.202
14CCT01-GB53M(A),9-Aug,0.68,0.84,0.37,0.205
14CCT01-GB53M(A),10-Sep,0.66,0.83,0.39,0.18
14CCT01-GB53M(A),11-Oct,0.74,0.87,0.3,0.254
