study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Radabaugh_et_al_2023,Ipomoea,sagittata,1,64,cm,0.411,Radabaugh et al. 2017,0.344,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,70,cm,0.411,Radabaugh et al. 2017,0.235,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,94.5,cm,0.411,Radabaugh et al. 2017,0.415,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,59,cm,0.411,Radabaugh et al. 2017,0.203,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,75.5,cm,0.411,Radabaugh et al. 2017,0.521,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,115,cm,0.411,Radabaugh et al. 2017,1.595,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,51,cm,0.411,Radabaugh et al. 2017,0.217,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,63,cm,0.411,Radabaugh et al. 2017,0.195,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,86.5,cm,0.411,Radabaugh et al. 2017,0.663,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,42,cm,0.411,Radabaugh et al. 2017,0.096,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,58,cm,0.411,Radabaugh et al. 2017,0.203,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,141,cm,0.411,Radabaugh et al. 2017,1.435,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,62,cm,0.411,Radabaugh et al. 2017,0.281,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,64,cm,0.411,Radabaugh et al. 2017,0.238,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,105,cm,0.411,Radabaugh et al. 2017,0.622,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,38,cm,0.411,Radabaugh et al. 2017,0.095,g,yes
