No ID,Site ID,Data collection date (dd/mm/yyyy),Plot,Sub-plot,Latitude,Longitude,Species name (scientific),Species name (local),DBH (cm),Status (live/1/2/3),notes,wood density (g/cm3),volume (cm3),Wood Mass AG (kg),Total AGB (kg),BG root mass (kg),Sub-plot area (ha),AGB (Mg/ha),BGB (Mg/ha),AGC (MgC/ha),BGC (MgC/ha),Basal area per ha (m2),AGB summed per plot (Mg/ha),BGB summed per plot (Mg/ha),AGC summed per plot (MgC/ha),BGC summed per plot (MgC/ha),Basal area (m2/ha) summed per plot,source for density,source for allometry
1,KAT,5/08/2015,South,KSP1,,,,kajalaki,13.9,,,,,,101.38,24.00,0.04,2.534,0.600,1.267,0.300,0.015,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
2,KAT,5/08/2015,South,KSP1,,,,kajalaki,27.8,,Dendrometer tree,,,,578.66,114.33,0.04,14.467,2.858,7.233,1.429,0.061,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
3,KAT,5/08/2015,South,KSP1,,,,kajalaki,6.7,,,,,,16.20,4.64,0.04,0.405,0.116,0.202,0.058,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
4,KAT,5/08/2015,South,KSP1,,,,gula-gula,7.8,,,,,,23.73,6.53,0.04,0.593,0.163,0.297,0.082,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
5,KAT,5/08/2015,South,KSP1,,,,gula-gula,8.3,,,,,,27.74,7.52,0.04,0.694,0.188,0.347,0.094,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
6,KAT,5/08/2015,South,KSP1,,,,darah-darah,19.8,,,,,,246.64,53.24,0.04,6.166,1.331,3.083,0.666,0.031,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
7,KAT,5/08/2015,South,KSP1,,,,gula-gula,5.6,,,,,,10.32,3.10,0.04,0.258,0.077,0.129,0.039,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
8,KAT,5/08/2015,South,KSP1,,,,tatumbu,12.8,,,,,,82.41,19.94,0.04,2.060,0.498,1.030,0.249,0.013,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
9,KAT,5/08/2015,South,KSP1,,,,tatumbu,8.5,,,,,,29.46,7.93,0.04,0.736,0.198,0.368,0.099,0.006,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
10,KAT,5/08/2015,South,KSP1,,,,kajalaki,11.2,,,,,,58.91,14.76,0.04,1.473,0.369,0.736,0.184,0.010,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
