"[Abbreviations: ID, indentification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no data]",,,,,
Sample/Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)"
16CCT03-GB200G(A),0-1,0.50,0.71,0.73,0.0425
16CCT03-GB200G(B),Bulk,0.39,0.62,0.95,0.0324
16CCT03-GB200G(B)a,Bulk,,,,0.0325
16CCT03-GB230G1,0-1,0.35,0.57,1.07,0.0229
16CCT03-GB231G,0-1,0.21,0.40,1.44,0.0089
16CCT03-GB232G,0-1,0.40,0.63,0.92,0.0285
16CCT03-GB233G,0-1,0.44,0.66,0.85,0.0288
16CCT03-GB233Ga,0-1,,,,0.0294
16CCT03-GB234G,0-1,0.26,0.47,1.30,0.0168
16CCT03-GB235G,0-1,0.30,0.52,1.21,0.0197
16CCT03-GB236G,0-1,0.26,0.47,1.33,0.0172
16CCT03-GB237G2,0-1,0.40,0.62,0.92,0.0270
16CCT03-GB238G,0-1,0.44,0.67,0.82,0.0257
16CCT03-GB238Ga,0-1,,,,0.0256
16CCT03-GB239G,0-1,0.29,0.50,1.23,0.0191
16CCT03-GB240G3,0-1,0.52,0.73,0.66,0.0434
16CCT03-GB241G2,0-1,0.33,0.55,1.09,0.0254
16CCT03-GB242G1,0-1,0.32,0.54,1.15,0.0230
16CCT03-GB243G3,0-1,0.51,0.72,0.68,0.0404
"16CCT03-GB243G3,a",0-1,,,,0.0404
16CCT03-GB244G,0-1,0.33,0.55,1.12,0.0147
16CCT03-GB245G,0-1,0.54,0.74,0.61,0.0615
16CCT03-GB250G,0-1,0.32,0.54,1.14,0.0163
16CCT03-GB251G,0-1,0.47,0.69,0.77,0.0313
16CCT03-GB252G,0-1,0.46,0.68,0.79,0.0361
16CCT03-GB253G,0-1,0.38,0.61,0.95,0.0375
16CCT03-GB254G(M),0-1,0.22,0.41,1.42,0.0112
16CCT03-GB254G(V),0-1,0.28,0.50,1.24,0.0118
16CCT03-GB256G,0-1,0.29,0.50,1.24,0.0124
16CCT03-GB256Ga,0-1,,,,0.0127
16CCT03-GB258G,0-1,0.34,0.56,1.09,0.0238
16CCT03-GB260G,0-1,0.30,0.52,1.19,0.0174
16CCT03-GB263G,0-1,0.21,0.40,1.42,0.0110
16CCT03-GB265G,0-1,0.53,0.74,0.63,0.0482
16CCT03-GB265Ga,0-1,,,,0.0485
,,,,,
16CCT03-GB34S,0-1,0.81,0.91,0.19,0.2621
16CCT03-GB280S,0-1,0.58,0.77,0.48,0.2365
16CCT03-GB281S,0-1,0.25,0.45,1.33,0.0502
16CCT03-GB282S,0-1,0.42,0.64,0.82,0.1295
16CCT03-GB282Sa,0-1,,,,0.1331
16CCT03-GB283S,0-1,0.85,0.94,0.15,0.3403
16CCT03-GB284S,0-1,0.49,0.70,0.70,0.0722
16CCT03-GB285S,0-1,0.72,0.87,0.31,0.1339
16CCT03-GB286S,0-1,0.78,0.90,0.24,0.2375
16CCT03-GB287S,0-1,0.60,0.79,0.50,0.0873
16CCT03-GB288S,0-1,0.85,0.94,0.14,0.4354
16CCT03-GB289S,0-1,0.59,0.78,0.51,0.1316
16CCT03-GB289Sa,0-1,,,,0.1244
Gx = field replicate sample pairs,,,,,
,,,,,
,,,,,
16CCT03-GB34M,0-1,0.80,0.91,0.18,0.246
16CCT03-GB34M,1-2,0.76,0.89,0.25,0.222
16CCT03-GB34M,2-3,0.71,0.86,0.32,0.204
16CCT03-GB34M,3-4,0.64,0.81,0.42,0.147
16CCT03-GB34M,4-5,0.61,0.79,0.46,0.152
16CCT03-GB34M,4-5a,,,,0.148
16CCT03-GB34M,5-6,0.56,0.76,0.55,0.116
16CCT03-GB34M,6-7,0.57,0.77,0.53,0.136
16CCT03-GB34M,7-8,0.54,0.75,0.57,0.129
16CCT03-GB34M,7-8a,,,,0.124
16CCT03-GB34M,8-9,0.55,0.75,0.58,0.136
16CCT03-GB34M,9-10,0.59,0.78,0.49,0.149
16CCT03-GB34M,10-11,0.64,0.82,0.42,0.203
16CCT03-GB34M,11-12,0.68,0.84,0.37,0.185
16CCT03-GB34M,11-12a,,,,0.182
16CCT03-GB34M,12-13,0.66,0.83,0.37,0.177
16CCT03-GB34M,13-14,0.62,0.80,0.46,0.124
16CCT03-GB34M,14-15,0.58,0.78,0.51,0.125
16CCT03-GB34M,14-15a,,,,0.122
16CCT03-GB34M,15-16,0.56,0.76,0.55,0.109
16CCT03-GB34M,16-17,0.53,0.73,0.62,0.097
16CCT03-GB34M,17-18,0.52,0.73,0.62,0.095
16CCT03-GB34M,18-19,0.45,0.67,0.77,0.069
16CCT03-GB34M,19-20,0.36,0.59,1.00,0.043
16CCT03-GB34M,20-21,0.33,0.55,1.05,0.038
16CCT03-GB34M,20-21a,,,,0.039
16CCT03-GB34M,21-22,0.32,0.54,1.11,0.035
16CCT03-GB34M,22-23,0.30,0.52,1.15,0.030
16CCT03-GB34M,23-24,0.30,0.52,1.24,0.028
16CCT03-GB34M,24-25,0.29,0.50,1.22,0.025
16CCT03-GB34M,24-25a,,,,0.026
16CCT03-GB34M,25-26.5,0.28,0.50,1.22,0.024
,,,,,
,,,,,
16CCT03-GB230M,0-1,0.39,0.62,1.01,0.025
16CCT03-GB230M,1-2,0.32,0.54,1.21,0.022
16CCT03-GB230M,2-3,0.30,0.51,1.27,0.021
16CCT03-GB230M,2-3a,,,,0.020
16CCT03-GB230M,3-4,0.30,0.52,1.26,0.025
16CCT03-GB230M,4-5,0.31,0.53,1.23,0.026
16CCT03-GB230M,5-6,0.28,0.49,1.33,0.027
16CCT03-GB230M,6-7,0.30,0.52,1.26,0.029
16CCT03-GB230M,7-8,0.30,0.52,1.26,0.030
16CCT03-GB230M,8-9,0.29,0.51,1.28,0.031
16CCT03-GB230M,9-10,0.30,0.51,1.27,0.033
16CCT03-GB230M,10-11,0.29,0.50,1.30,0.032
16CCT03-GB230M,10-11a,,,,0.033
16CCT03-GB230M,11-12,0.28,0.50,1.31,0.031
