Site ID,DateCollected,Latitude,Longitude
1,20080123,29.8342,-89.9522
2,20080213,29.7187,-89.9183
3,20080214,29.6742,-89.8761
4,20080214,29.6464,-89.8588
5,20080214,29.6280,-89.8241
6,20080123,29.8449,-89.8894
7,20080328,29.7801,-89.8429
8,20080327,29.7490,-89.8243
9,20080327,29.7091,-89.8053
10,20080214,29.6648,-89.7503
11,20080220,29.6309,-89.7152
12,20080328,29.8439,-89.8130
13,20080328,29.8147,-89.7750
14,20080327,29.7715,-89.7306
15,20080327,29.7128,-89.7258
16,20080220,29.6787,-89.7028
17,20080220,29.6321,-89.6600
18,20130226,29.6639,-89.8741
19,20130226,29.6279,-89.8147
20,20130226,29.7004,-89.9164
21,20130227,29.6246,-89.7844
22,20130227,29.6131,-89.7849
23,20130227,29.6055,-89.7456
24,20130228,29.5895,-89.6134
25,20130228,29.6321,-89.6627
