Site ID,Depth Interval Code,Bulk Density,Loss on Ignition,Percent TC,137Cs,137Cs error
1,1,0.078,0.512,23.4,1.220,0.224
1,2,0.203,0.319,14.4,1.812,0.098
1,3,0.204,0.328,14.8,2.177,0.095
1,4,0.184,0.329,14.9,2.289,0.110
1,5,0.168,0.359,16.3,2.672,0.122
1,6,0.151,0.399,18.2,2.381,0.152
1,7,0.146,0.407,18.5,2.476,0.184
1,8,0.139,0.420,19.1,2.596,0.153
1,9,0.140,0.404,18.4,2.313,0.135
1,10,0.128,0.378,17.2,2.744,0.157
1,11,0.131,0.401,18.2,2.781,0.211
1,12,0.147,0.391,17.8,2.342,0.213
1,13,0.137,0.408,18.5,1.751,0.178
1,14,0.150,0.448,20.4,2.195,0.198
1,15,0.149,0.369,16.7,2.066,0.135
1,16,0.131,0.382,17.3,1.377,0.226
1,17,0.108,0.581,26.7,0.655,0.239
1,18,0.105,0.664,30.6,0.952,0.201
1,19,0.103,0.631,29.1,0.096,0.235
1,20,0.117,0.533,24.4,1.205,0.210
1,21,0.117,0.509,23.3,1.427,0.221
1,22,0.108,0.545,25.0,2.318,0.234
1,23,0.112,0.546,25.1,4.190,0.246
1,24,0.130,0.539,24.7,12.693,0.261
2,1,0.081,0.690,31.8,0.143,0.245
2,2,0.144,0.500,22.9,1.135,0.185
2,3,0.136,0.572,26.3,1.068,0.138
2,4,0.211,0.427,19.5,0.598,0.138
2,5,0.269,0.256,11.4,0.783,0.096
2,6,0.213,0.327,14.8,0.678,0.096
2,7,0.130,0.532,24.4,0.748,0.175
2,8,0.108,0.604,27.8,1.119,0.163
2,9,0.109,0.610,28.0,1.559,0.183
2,10,0.136,0.493,22.5,1.741,0.175
2,11,0.160,0.450,20.5,2.795,0.184
2,12,0.197,0.396,18.0,3.423,0.106
2,13,0.253,0.348,15.7,3.385,0.140
2,14,0.287,0.361,16.3,4.029,0.091
2,15,0.308,0.328,14.8,3.473,0.083
2,16,0.325,0.355,16.1,2.798,0.091
2,17,0.299,0.383,17.4,3.465,0.080
2,18,0.306,0.357,16.1,5.168,0.082
2,19,0.270,0.363,16.4,6.673,0.103
2,20,0.213,0.397,18.1,5.573,0.148
2,21,0.253,0.395,17.9,2.825,0.114
2,22,0.247,0.240,10.7,2.107,0.087
2,23,0.220,0.385,17.5,0.911,0.126
2,24,0.208,0.405,18.4,0.000,0.000
2,25,0.198,0.438,20.0,0.520,0.127
3,1,0.073,0.557,25.5,0.815,0.242
3,2,0.102,0.549,25.2,2.079,1.074
3,3,0.110,0.544,24.9,0.963,0.218
3,4,0.127,0.521,23.9,1.706,0.709
3,5,0.112,0.611,28.1,0.714,0.208
3,6,0.090,0.770,35.6,0.417,0.895
3,7,0.082,0.740,34.2,0.864,0.229
3,8,0.072,0.807,37.3,0.520,0.353
3,9,0.071,0.781,36.1,0.489,0.332
3,10,0.070,0.747,34.5,0.478,0.257
3,11,0.073,0.763,35.2,2.173,0.756
3,12,0.068,0.821,37.9,1.317,0.424
3,13,0.087,0.706,32.6,3.133,0.466
3,14,0.185,0.326,14.7,4.373,0.120
3,15,0.219,0.255,11.4,3.836,0.269
3,16,0.109,0.551,25.3,6.670,0.223
3,17,0.086,0.661,30.5,7.576,1.008
3,18,0.094,0.628,28.9,2.950,0.276
3,19,0.102,0.621,28.5,1.689,0.245
3,20,0.123,0.501,22.9,0.313,0.478
3,21,0.129,0.466,21.3,0.560,0.782
3,22,0.110,0.614,28.2,0.000,0.000
3,23,0.083,0.792,36.6,0.000,0.000
3,24,0.078,0.826,38.2,2.006,0.894
4,1,0.114,0.450,20.5,0.963,0.254
4,2,0.161,0.418,19.0,0.568,0.182
4,3,0.196,0.337,15.2,0.524,0.094
4,4,0.223,0.361,16.4,0.622,0.147
4,5,0.226,0.317,14.3,0.507,0.081
4,6,0.197,0.355,16.1,0.791,0.199
4,7,0.137,0.515,23.6,0.628,0.133
4,8,0.108,0.644,29.6,0.895,0.385
4,9,0.111,0.607,27.9,0.899,0.159
4,10,0.104,0.585,26.9,0.861,0.206
4,11,0.101,0.627,28.9,0.992,0.180
4,12,0.103,0.610,28.0,0.799,0.201
4,13,0.114,0.579,26.6,1.360,0.167
4,14,0.124,0.542,24.8,2.027,0.151
4,15,0.167,0.339,15.3,3.737,0.144
4,16,0.296,0.210,9.2,2.697,0.073
4,17,0.218,0.282,12.7,3.862,0.118
4,18,0.134,0.418,19.0,3.803,0.157
4,19,0.133,0.410,18.7,1.305,0.179
4,20,0.165,0.360,16.3,1.137,0.116
4,21,0.180,0.339,15.3,0.760,0.164
4,22,0.208,0.293,13.2,0.654,0.088
4,23,0.225,0.274,12.3,0.496,0.116
4,24,0.205,0.309,13.9,0.271,0.089
5,1,0.119,0.422,19.2,0.472,0.215
5,2,0.148,0.385,17.5,0.349,0.131
5,3,0.176,0.380,17.2,0.540,0.139
5,4,0.256,0.235,10.4,0.232,0.070
5,5,0.229,0.259,11.6,0.498,0.077
5,6,0.161,0.390,17.7,0.505,0.120
5,7,0.111,0.470,21.5,0.470,0.148
5,8,0.107,0.497,22.7,0.948,0.227
5,9,0.118,0.461,21.0,0.637,0.151
5,10,0.134,0.410,18.6,0.536,0.140
5,11,0.152,0.383,17.4,0.591,0.118
5,12,0.162,0.331,15.0,0.801,0.111
5,13,0.120,0.417,19.0,0.860,0.234
5,14,0.106,0.475,21.7,0.614,0.175
