study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method
Lagomasino_et_al_2020,Huddy_Gut,HG1,2007-09-26,35.3746916994,-76.7301335601,RTK-GPS,0.46,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
Lagomasino_et_al_2020,Huddy_Gut,HG2,2007-09-26,35.3746316113,-76.730129205,RTK-GPS,0.452,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
Lagomasino_et_al_2020,Huddy_Gut,HG3,2007-09-26,35.3743993811,-76.7302228912,RTK-GPS,0.124,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
Lagomasino_et_al_2020,Porpoise_Point,PP1,2007-09-28,35.2650816703,-76.4691082582,RTK-GPS,0.07,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
Lagomasino_et_al_2020,Porpoise_Point,PP2,2007-09-28,35.2650685693,-76.4692394053,RTK-GPS,0.132,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
Lagomasino_et_al_2020,Porpoise_Point,PP3,2007-09-28,35.2650316925,-76.4695406232,RTK-GPS,0.067,NAVD88,RTK-GPS,mixoeuhaline,measurement,emergent,field observation
