study_id,site_id,core_id,genus,species
Lagomasino_et_al_2020,Huddy_Gut,HG1,Spartina,alterniflora
Lagomasino_et_al_2020,Huddy_Gut,HG1,Spartina,patens
Lagomasino_et_al_2020,Huddy_Gut,HG2,Spartina,alterniflora
Lagomasino_et_al_2020,Huddy_Gut,HG2,Spartina,patens
Lagomasino_et_al_2020,Huddy_Gut,HG3,Spartina,cynosuroides
Lagomasino_et_al_2020,Porpoise_Point,PP1,Spartina,alterniflora
Lagomasino_et_al_2020,Porpoise_Point,PP2,Spartina,patens
Lagomasino_et_al_2020,Porpoise_Point,PP3,Juncus,roemerianus
