Site,1949,1968,1978,1988,1997,2001,2007,2013,2014
175,4,3,4,4,4,4,4,4,4
211,1,1,1,1,1,1,1,1,1
224,4,4,3,3,3,4,4,4,4
225,3,3,3,3,2,3,3,3,2
237,4,4,4,4,4,4,4,4,4
253,3,3,3,3,3,3,3,3,3
273,1,1,1,1,1,1,1,1,1
305,3,2,2,1,1,2,2,2,2
309,3,4,3,3,3,3,3,3,3
327,3,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1
337,4,4,.,4,4,4,4,4,4
367,1,1,1,1,1,1,1,1,1
377,4,4,.,4,.,.,.,.,4
398,3,3,2,2,2,2,2,2,2
399,3,3,3,3,3,3,3,3,3
2825,1,1,1,2,1,2,2,2,3
3166,1,1,1,1,1,1,1,1,1
3565,3,3,3,3,3,4,3,3,3
3617,.,3,.,3,3,3,3,3,3
4045,3,3,2,2,1,1,1,1,2
4245,3,3,3,2,2,2,2,2,2
4455,4,4,4,4,4,4,4,4,4
BA-01-04,1,1,2,1,1,1,1,1,2
