"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram]",,,,,,
Sample ID,"Total Pb-210 
(dpm/g)","Total Pb-210 Error 
(+/- dpm/g)",,,,
15CCT02-GB101G,0.79,0.021,,,,
15CCT02-GB105G,1.27,0.018,,,,
15CCT02-GB106G,1.17,0.020,,,,
15CCT02-GB108G,0.84,0.020,,,,
15CCT02-GB110G,1.38,0.019,,,,
15CCT02-GB115G,1.08,0.020,,,,
15CCT02-GB117G,1.52,0.018,,,,
,,,,,,
,,,,,,
,,,,,,
