Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Al Aryam,high sabkha,Abu Dhabi,1,0-15,15,50,10.895,5.24,3.47,1.77,0.000,0.052,0.035,0.018,0.00000,1.483,0.078,0.051,0.026,1.166,0.771,0.394,11657.0,7712.9,3944.1,116.57,77.13,39.44,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,1,15-30,15,,7.047,9.11,7.75,1.36,0.037,0.091,0.077,0.014,0.00037,1.532,0.140,0.119,0.021,2.094,1.780,0.314,20935.7,17800.3,3135.4,209.36,178.00,31.35,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,1,30-50,20,,5.408,9.71,8.55,1.16,0.000,0.097,0.086,0.012,0.00000,1.726,0.168,0.148,0.020,3.352,2.952,0.400,33523.5,29523.7,3999.8,335.24,295.24,40.00,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,2,0-5,5,27,7.151,3.93,2.69,1.24,0.000,0.039,0.027,0.012,0.00000,0.781,0.031,0.021,0.010,0.153,0.105,0.048,1534.6,1051.5,483.2,15.35,10.51,4.83,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,2,5-15,10,,9.938,5.10,3.34,1.76,0.000,0.051,0.033,0.018,0.00000,1.356,0.069,0.045,0.024,0.692,0.453,0.239,6916.4,4526.9,2389.5,69.16,45.27,23.90,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,2,15-27,12,,7.106,9.41,7.30,2.11,0.043,0.094,0.073,0.021,0.00043,1.506,0.142,0.110,0.032,1.700,1.318,0.382,16999.0,13180.9,3818.0,169.99,131.81,38.18,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,3,0-5,5,38.5,7.980,3.92,2.49,1.42,0.000,0.039,0.025,0.014,0.00000,0.898,0.035,0.022,0.013,0.176,0.112,0.064,1758.4,1118.9,639.6,17.58,11.19,6.40,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,3,5-15,10,,10.230,8.95,6.56,2.39,0.039,0.090,0.066,0.024,0.00039,1.362,0.122,0.089,0.033,1.219,0.894,0.325,12189.0,8935.6,3253.5,121.89,89.36,32.53,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,3,15-38.5,23.5,,6.096,9.44,7.81,1.63,0.044,0.094,0.078,0.016,0.00044,1.629,0.154,0.127,0.027,3.613,2.989,0.624,36130.2,29889.1,6241.1,361.30,298.89,62.41,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,4,0-6,6,40,6.857,4.55,3.61,0.93,0.000,0.045,0.036,0.009,0.00000,0.990,0.045,0.036,0.009,0.270,0.215,0.055,2699.8,2145.3,554.6,27.00,21.45,5.55,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,4,6-15,9,,8.834,7.48,6.02,1.47,0.000,0.075,0.060,0.015,0.00000,1.621,0.121,0.098,0.024,1.092,0.878,0.214,10917.2,8777.2,2140.0,109.17,87.77,21.40,larger corer used,,
Al Aryam,high sabkha,Abu Dhabi,4,15-40,25,,7.773,8.28,6.83,1.45,0.033,0.083,0.068,0.014,0.00033,1.539,0.127,0.105,0.022,3.185,2.628,0.557,31854.2,26284.2,5570.0,318.54,262.84,55.70,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,1,0-15,15,40,6.586,5.29,4.33,0.96,0.000,0.053,0.043,0.010,0.00000,1.139,0.060,0.049,0.011,0.904,0.739,0.165,9038.3,7392.8,1645.4,90.38,73.93,16.45,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,1,15-40,25,,7.760,5.94,4.58,1.36,0.000,0.059,0.046,0.014,0.00000,1.348,0.080,0.062,0.018,2.001,1.542,0.459,20007.9,15418.2,4589.7,200.08,154.18,45.90,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,2,0-15,15,35,9.392,4.34,3.19,1.15,0.000,0.043,0.032,0.011,0.00000,1.078,0.047,0.034,0.012,0.701,0.516,0.185,7014.5,5160.6,1853.8,70.14,51.61,18.54,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,2,15-35,20,,8.050,6.55,5.56,0.99,0.000,0.066,0.056,0.010,0.00000,1.447,0.095,0.080,0.014,1.896,1.609,0.287,18960.3,16095.0,2865.3,189.60,160.95,28.65,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,3,0-15,15,38,8.946,4.10,3.18,0.92,0.000,0.041,0.032,0.009,0.00000,1.223,0.050,0.039,0.011,0.751,0.582,0.169,7512.8,5824.0,1688.8,75.13,58.24,16.89,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,3,15-38,23,,7.709,5.98,4.80,1.18,0.000,0.060,0.048,0.012,0.00000,1.450,0.087,0.070,0.017,1.993,1.601,0.393,19933.4,16008.2,3925.2,199.33,160.08,39.25,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,4,0-15,15,38,8.917,3.74,2.99,0.75,0.000,0.037,0.030,0.007,0.00000,1.112,0.042,0.033,0.008,0.623,0.499,0.125,6234.4,4987.3,1247.1,62.34,49.87,12.47,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,4,15-38,23,,3.368,10.19,9.14,1.05,0.000,0.102,0.091,0.011,0.00000,1.396,0.142,0.128,0.015,3.273,2.936,0.338,32732.4,29356.0,3376.4,327.32,293.56,33.76,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,5,0-15,15,38,9.965,3.03,2.18,0.85,0.000,0.030,0.022,0.009,0.00000,1.206,0.037,0.026,0.010,0.548,0.394,0.154,5484.5,3943.7,1540.8,54.84,39.44,15.41,larger corer used,,
Al Aryam,low sabkha,Abu Dhabi,5,15-38,23,,6.887,5.78,4.90,0.88,0.000,0.058,0.049,0.009,0.00000,1.378,0.080,0.068,0.012,1.832,1.553,0.279,18317.5,15529.5,2788.0,183.17,155.30,27.88,larger corer used,,
Al Aryam,salt marsh,Abu Dhabi,1,0-15,15,110,5.976,10.44,8.68,1.76,0.090,0.104,0.087,0.018,0.00090,1.141,0.119,0.099,0.020,1.787,1.485,0.302,17873.0,14852.7,3020.3,178.73,148.53,30.20,,,
Al Aryam,salt marsh,Abu Dhabi,1,15-30,15,,5.181,10.32,9.26,1.06,0.083,0.103,0.093,0.011,0.00083,1.361,0.140,0.126,0.014,2.107,1.891,0.216,21067.4,18905.5,2161.9,210.67,189.06,21.62,,,
Al Aryam,salt marsh,Abu Dhabi,1,30-50,20,,5.280,10.10,9.11,0.99,0.069,0.101,0.091,0.010,0.00069,1.349,0.136,0.123,0.013,2.724,2.457,0.267,27241.7,24572.3,2669.4,272.42,245.72,26.69,,,
