study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,excess_pb210_activity,excess_pb210_activity_se,pb214_activity_352keV,pb214_activity_se_352keV,pb214_activity_295keV,pb214_activity_se_295keV,pb214_unit,age,age_sd,bi214_activity,bi214_activity_se,bi214_unit
Messerschmidt_and_Kirwan_2020,GCREW,C3,0,1,C3_0_loi,NA,0.8245878594249202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,1,2,C3_1_loi,NA,0.8183098255411565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,2,3,C3_2_loi,NA,0.8321756043345373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,3,4,C3_3_loi,NA,0.8512568381691018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,4,5,C3_4_loi,NA,0.8446478401607322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,5,7,NA,0.2193,NA,0.003678837699087962,0.0036819899798144905,disintegrationsPerMinutePerGram,19.26620161883594,0.02075141114888972,disintegrationsPerMinutePerGram,19.246547402075155,0.42261719449936636,0.13443244615880287,0.019126809807966286,0.13813809245647327,0.024275175910210882,disintegrationsPerMinutePerGram,2018,6.796028120077345,0.20465896799867095,0.033912397656410756,disintegrationsPerMinutePerGram
Messerschmidt_and_Kirwan_2020,GCREW,C3,5,6,C3_5_loi,NA,0.8630510427979342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,6,7,C3_6_loi,NA,0.8518660562333709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,7,9,NA,0.0875,NA,0.4681495648775689,0.040822912844149746,disintegrationsPerMinutePerGram,16.129306572746675,0.020522133469904114,disintegrationsPerMinutePerGram,16.03364361881649,0.4195014390555249,0.16162442926837362,0.02044597336898843,0.09227047053764198,0.019314806889746138,disintegrationsPerMinutePerGram,2005.2044428460615,3.535016910728217,0.3855449497730679,0.045438354968903055,disintegrationsPerMinutePerGram
Messerschmidt_and_Kirwan_2020,GCREW,C3,7,8,C3_7_loi,NA,0.837410940707644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,8,9,C3_8_loi,NA,0.8257167927526264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,9,11,NA,0.0794,NA,0.4593513067772176,0.043073375775785336,disintegrationsPerMinutePerGram,13.604961604190668,0.020545040022087548,disintegrationsPerMinutePerGram,13.427058832495936,0.3793395375154588,0.08219185375042995,0.01549883528455236,0.33876482770932126,0.03956069516338822,disintegrationsPerMinutePerGram,1999.5015888210796,1.754241599797503,0.41125958877475044,0.04999713953685302,disintegrationsPerMinutePerGram
Messerschmidt_and_Kirwan_2020,GCREW,C3,9,10,C3_9_loi,NA,0.8401400507566501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,10,11,C3_10_loi,NA,0.8278128343413613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,11,12,NA,0.14387714083510264,NA,0.6454772245850557,0.04851409498635499,disintegrationsPerMinutePerGram,13.334763802578397,0.02062463253134844,disintegrationsPerMinutePerGram,13.334611792293234,0.31704661332284434,0.13787371846662053,0.0190708250867185,0.1461926834195819,0.024589040460656266,disintegrationsPerMinutePerGram,1994.3703561884827,1.133220910062005,0.01617319920182867,0.009351034806730467,disintegrationsPerMinutePerGram
Messerschmidt_and_Kirwan_2020,GCREW,C3,11,12,C3_11_loi,NA,0.8370664820563211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,12,13,NA,0.1665664543524416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.9277805771683,3.1948517094245545,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,12,13,C3_12_loi,NA,0.8460909599414828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
