Location,Core,Habitat_type,Species,Latitude,Longitude,Carbonate_removed,Depth_cm,C (%)
BT transect,BT T1,Saltmarsh,Sarcocornia,37 14 25.2 N,7 25 30.1 W,no,0-10,2.21
BT transect,BT T1,Saltmarsh,Sarcocornia,37 14 25.2 N,7 25 30.1 W,no,30-40,2.09
BT transect,BT T1,Saltmarsh,Sarcocornia,37 14 25.2 N,7 25 30.1 W,no,60-70,2.1
BT transect,BT T1,Saltmarsh,Sarcocornia,37 14 25.2 N,7 25 30.1 W,no,90-100,2.23
BT transect,BT T2,Saltmarsh,Spartina,37 14 26.0 N,7 25 31.8 W,no,0-10,1.34
BT transect,BT T2,Saltmarsh,Spartina,37 14 26.0 N,7 25 31.8 W,no,30-40,1.69
BT transect,BT T2,Saltmarsh,Spartina,37 14 26.0 N,7 25 31.8 W,no,60-70,1.68
BT transect,BT T2,Saltmarsh,Spartina,37 14 26.0 N,7 25 31.8 W,no,90-100,1.62
BT transect,BT T3,Mudflat,,37 14 27.5 N,7 25 33.8 W,yes,0-10,1.61
BT transect,BT T3,Mudflat,,37 14 27.5 N,7 25 33.8 W,no,0-10,2.37
BT transect,BT T3,Mudflat,,37 14 27.5 N,7 25 33.8 W,no,30-40,1.72
BT transect,BT T3,Mudflat,,37 14 27.5 N,7 25 33.8 W,no,60-70,1.33
BT transect,BT T3,Mudflat,,37 14 27.5 N,7 25 33.8 W,no,90-100,1.35
CMT transect,CMT T1,Saltmarsh,Sarcocornia,37 11 52.4 N,7 25 35.5 W,no,0-10,0.76
CMT transect,CMT T1,Saltmarsh,Sarcocornia,37 11 52.4 N,7 25 35.5 W,yes,0-10,1.34
CMT transect,CMT T1,Saltmarsh,Sarcocornia,37 11 52.4 N,7 25 35.5 W,no,30-40,1.77
CMT transect,CMT T1,Saltmarsh,Sarcocornia,37 11 52.4 N,7 25 35.5 W,no,60-70,0.82
CMT transect,CMT T1,Saltmarsh,Sarcocornia,37 11 52.4 N,7 25 35.5 W,no,90-100,1.05
CMT transect,CMT T2,Saltmarsh,Spartina,37 11 53.5 N,7 25 32.1 W,no,0-10,2.23
CMT transect,CMT T2,Saltmarsh,Spartina,37 11 53.5 N,7 25 32.1 W,no,30-40,1.27
CMT transect,CMT T2,Saltmarsh,Spartina,37 11 53.5 N,7 25 32.1 W,no,60-70,0.67
CMT transect,CMT T2,Saltmarsh,Spartina,37 11 53.5 N,7 25 32.1 W,no,90-100,0.78
CMT transect,CMT T3,Mudflat,,37 11 54.5 N,7 25 30.2 W,no,0-10,0.39
CMT transect,CMT T3,Mudflat,,37 11 54.5 N,7 25 30.2 W,no,30-40,0.91
CMT transect,CMT T3,Mudflat,,37 11 54.5 N,7 25 30.2 W,no,60-70,1.44
CMT transect,CMT T3,Mudflat,,37 11 54.5 N,7 25 30.2 W,no,90-100,0.7
PMT transect,PMT T1,Saltmarsh,Sarcocornia,37 11 47.2 N,7 20 26.0 W,no,0-10,1.01
PMT transect,PMT T1,Saltmarsh,Sarcocornia,37 11 47.2 N,7 20 26.0 W,no,30-40,0.68
PMT transect,PMT T1,Saltmarsh,Sarcocornia,37 11 47.2 N,7 20 26.0 W,no,60-70,1.28
PMT transect,PMT T1,Saltmarsh,Sarcocornia,37 11 47.2 N,7 20 26.0 W,yes,90-100,0.63
PMT transect,PMT T1,Saltmarsh,Sarcocornia,37 11 47.2 N,7 20 26.0 W,no,90-100,0.69
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,yes,0-10,0.45
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,no,0-10,1.62
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,no,30-40,1.17
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,yes,60-70,0.76
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,no,60-70,0.81
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,yes ,90-100,0.45
PMT transect,PMT T2,Saltmarsh,Spartina,37 11 47.5 N,7 20 24.6 W,no,90-100,0.71
PMT transect,PMT T3,Mudflat,,37 11 47.6 N,7 20 23.0 W,yes ,0-10,1.05
PMT transect,PMT T3,Mudflat,,37 11 47.6 N,7 20 23.0 W,no,0-10,1.69
PMT transect,PMT T3,Mudflat,,37 11 47.6 N,7 20 23.0 W,no,30-40,0.97
PMT transect,PMT T3,Mudflat,,37 11 47.6 N,7 20 23.0 W,no,60-70,1.02
PMT transect,PMT T3,Mudflat,,37 11 47.6 N,7 20 23.0 W,no,90-100,1.71
