"","study_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter"
"1","Gerlach_et_al_2017","LI_15_5D",0,1,0.115,0.722
"2","Gerlach_et_al_2017","LI_15_5D",1,2,0.141,0.675
"3","Gerlach_et_al_2017","LI_15_5D",2,3,0.147,0.655
"4","Gerlach_et_al_2017","LI_15_5D",3,4,0.128,0.736
"5","Gerlach_et_al_2017","LI_15_5D",4,5,0.141,0.759
"6","Gerlach_et_al_2017","LI_15_5D",5,6,0.141,0.728
"7","Gerlach_et_al_2017","LI_15_5D",6,7,0.162,0.75
"8","Gerlach_et_al_2017","LI_15_5D",7,8,0.128,0.726
"9","Gerlach_et_al_2017","LI_15_5D",8,9,0.154,0.724
"10","Gerlach_et_al_2017","LI_15_5D",9,10,0.127,0.765
"11","Gerlach_et_al_2017","LI_15_5D",10,11,0.139,0.736
"12","Gerlach_et_al_2017","LI_15_5D",11,12,0.15,0.744
"13","Gerlach_et_al_2017","LI_15_5D",12,13,0.17,0.742
"14","Gerlach_et_al_2017","LI_15_5D",13,14,0.13,0.753
"15","Gerlach_et_al_2017","LI_15_5D",14,15,0.118,0.739
"16","Gerlach_et_al_2017","LI_15_5D",15,16,0.126,0.753
"17","Gerlach_et_al_2017","LI_15_5D",16,17,0.093,0.718
"18","Gerlach_et_al_2017","LI_15_5D",17,18,0.08,0.829
"19","Gerlach_et_al_2017","LI_15_5D",18,19,0.139,0.719
"20","Gerlach_et_al_2017","LI_15_5D",19,20,0.117,0.711
"21","Gerlach_et_al_2017","LI_15_5D",20,21,0.167,0.731
"22","Gerlach_et_al_2017","LI_15_5D",21,22,0.143,0.75
"23","Gerlach_et_al_2017","LI_15_5D",22,23,0.161,0.749
"24","Gerlach_et_al_2017","LI_15_5D",23,24,0.127,0.715
"25","Gerlach_et_al_2017","LI_15_5D",24,25,0.139,0.695
"26","Gerlach_et_al_2017","LI_15_5D",25,26,0.131,0.703
"27","Gerlach_et_al_2017","LI_15_5D",26,27,0.104,0.667
"28","Gerlach_et_al_2017","LI_15_5D",27,28,0.11,0.669
"29","Gerlach_et_al_2017","LI_15_5D",28,29,0.137,0.63
