study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,journal,year
Adams_and_Human_2016,Adams_and_Human_2016,primary source,Article,Investigation into the mortality of mangroves at St. Lucia Estuary,"J.B. Adams, L.R.D. Human",http://dx.doi.org/10.1016/j.sajb.2016.03.018,http://dx.doi.org/10.1016/j.sajb.2016.03.018,South African Journal of Botany,2016
Bezuidenhout_et_al_2011,Bezuidenhout_et_al_2011,primary source,Misc,MACROPHYTES AS INDICATORS OF PHYSICO-CHEMICAL FACTORS IN SOUTH AFRICAN ESTUARIES,Chantel Bezuidenhout,,,Standard Theses,2011
Brown_and_Rajkaran_2020,Brown_and_Rajkaran_2020,primary source,Misc,"The phylogeography, biomass allocation and phenology of Salicornia tegetaria (S. Steffen, Mucina & G. Kadereit) Piirainen & G. Kadereit, an endemic salt marsh species in South Africa","Catherine E. Brown, Anusha Rajkaran",,https://etd.uwc.ac.za/xmlui/handle/11394/6391,Standard Theses,2020
Els_2017,Els_2017,primary source,Misc,Carbon storage of Zostera capensis in the Knysna Estuary,Jessica Els,,,Standard Theses,2017
Els_2019,Els_2019,primary source,Misc,Carbon and nutrient storage of the Swartkops Estuary salt marsh and seagrass habitats,Jessica Els,,,Standard Theses,2019
Geldenhyus_et_al_2016,Geldenhyus_et_al_2016,primary source,Article,Understanding the creek dynamics and environmental characteristics that determine the distribution of mangrove and salt marsh communities at Nahoon Estuary,"Chanel Geldenhuys, Phumlile Cotiyane, Anusha Rajkaran",http://dx.doi.org/10.1016/j.sajb.2016.04.013,http://dx.doi.org/10.1016/j.sajb.2016.04.013,South African Journal of Botany,2016
Hoppe-Speer_et_al_2013,Hoppe-Speer_et_al_2013,primary source,Article,"Response of mangroves to drought and non-tidal conditions in St Lucia Estuary, South Africa","SCL Hoppe-Speer, JB Adams and A Rajkaran",https://doi.org/10.2989/16085914.2012.759095,https://doi.org/10.2989/16085914.2012.759095,African Journal of Aquatic Science,2013
Johnson_et_al_2020,Johnson_et_al_2020,primary source,Article,First report on carbon storage in a warm-temperate mangrove forest in South Africa,"Jaime L. Johnson, Jacqueline L. Raw, Janine B. Adams",https://doi.org/10.1016/j.ecss.2019.106566,https://doi.org/10.1016/j.ecss.2019.106566,"Estuarine, Coastal and Shelf Science",2020
Lemley_2018,Lemley_2018,primary source,Misc,ESTUARINE MICROALGAL BLOOM DYNAMICS AT MULTIPLE TEMPORAL SCALES,Daniel Allen Lemley,,,Standard Theses,2018
Matabane_2018,Matabane_2018,primary source,Misc,Tolerance of salt marsh ecotone species to salinity and inundation,Rebotile Matabane,,,Standard Theses,2018
Mbense_et_al_2016,Mbense_et_al_2016,primary source,Article,Rapid colonization of degraded mangrove habitat by succulent salt marsh,"S. Mbense, A. Rajkaran, U. Bolosha, J. Adams",http://dx.doi.org/10.1016/j.sajb.2016.06.011,http://dx.doi.org/10.1016/j.sajb.2016.06.011,South African Journal of Botany,2016
Peer_et_al_2018,Peer_et_al_2018,primary source,Article,Latitudinal gradients and poleward expansion of mangrove ecosystems in South Africa: 50 years after Macnae’s first assessment,"N Peer, A Rajkaran, NAF Miranda, RH Taylor, B Newman, F Porri, JL Raw, SP Mbense, JB Adams & R Perissinotto",https://doi.org/10.2989/1814232X.2018.1466728,https://doi.org/10.2989/1814232X.2018.1466728,African Journal of Marine Science,2018
Rajkaran_and_Adams_2011,Rajkaran_and_Adams_2011,primary source,Misc,A status assessment of mangrove forests in South Africa and the utilization of mangroves at Mngazana Estuary (PhD Disseration),Anusha Rajkaran,,,Standard Theses,2011
Rautenbach_2015,Rautenbach_2015,primary source,Misc,PRESENT STATE OF MACROPHYTES AND RESPONSES TO MANAGEMENT SCENARIOS AT THE ST. LUCIA AND MFOLOZI ESTUARIES,Kelly Rautenbach,,,Standard Theses,2015
Raw_et_al_2019,Raw_et_al_2019,primary source,Article,A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit,"J.L. Raw, C.L. Julie, J.B. Adams",https://doi.org/10.1016/j.sajb.2019.11.005,https://doi.org/10.1016/j.sajb.2019.11.005,South African Journal of Botany,2019
Veldkornet_et_al_2016,Veldkornet_et_al_2016,primary source,Article,The distribution of salt marsh macrophyte species in relation to physicochemical variables,"D.A. Veldkornet, A.J. Potts, J.B. Adams",http://dx.doi.org/10.1016/j.sajb.2016.08.008,http://dx.doi.org/10.1016/j.sajb.2016.08.008,South African Journal of Botany,2016
Veldkornet_2016_PhD,Veldkornet_2016_PhD,primary source,Misc,Estuarine Species and Habitats: Distribution and Connectivity,Dimitri Veldkornet,,,Standard Theses,2016
Verle_2013,Verle_2013,primary source,Misc,"Characteristics of the Mbashe Catchment and Estuary, South Africa. Towards an assessment of catchment land use impact","Verlé, K.",,https://documentatiecentrum.watlab.be/imis.php?module=ref&refid=247682,Standard Theses,2013
Vromans_2010,Vromans_2010,primary source,Misc,MACROPHYTE PHENOLOGY IN A TEMPORARILY OPEN/CLOSED ESTUARY COMPARED WITH A PERMANENTLY OPEN ESTUARY,Deborah Claire Vromans,,,Standard Theses,2010
Wooldridge_et_al_2016,Wooldridge_et_al_2016,primary source,Article,"Biotic responses to extreme hypersalinity in an arid zone estuary, South Africa","T.H. Wooldridge, J.B. Adams, M. Fernandes",http://dx.doi.org/10.1016/j.sajb.2016.05.004,http://dx.doi.org/10.1016/j.sajb.2016.05.004,South African Journal of Botany,2016
Bekker_2015,Bekker_2015,primary source,Misc,,Zandri Bekker,,,Standard Theses,2015
Naidoo_2014,Naidoo_2014,primary source,Misc,Vegetation and sediment characteristics of the salt marshes of the Duiwenhoks Estuary,Lyndle Naidoo,,,Standard Theses,2014
