Sample.code,study.area,study.zone,station,core.code,core,file.name,environment,date.sampling,latitudeN.degree,latitudeN.minute,latitudeN.second,latitudeN,longitudeW.degree,longitudeW.minute,longitudeW.second,longitudeW,layer.top,layer.top.res,layer.bot,layer.bot.res,mass.dry,mass.dry.res,year,year.u,mar,mar.u,sar,sar.u,ctot,ctot.u,ntot,ntot.u,norg,norg.u,cinorg,cinorg.u,corg,corg.u,loi550,loi550.u,loi950,loi950.u
LTME1 00-01,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,0,0.1,1,0.1,37.5105,1.00E-04,2017.992564,0.038284545,0.016150325,0.002248833,3.624124454,0.503262409,11.76,0.123800769,0.86,0.138541588,0.753576642,0.064134958,5.591678832,0.508886535,6.168321168,0.493597888,22.27254014,0.816305981,18.77315768,0.344384945
LTME1 01-02,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,1,0.1,2,0.1,45.7901,1.00E-04,2017.376603,0.102488179,0.016123208,0.002266811,1.623479213,0.227906681,9.8,0.103167308,0.51,0.082158384,0.423191109,0.036016693,5.486870411,0.360231865,4.313129589,0.345142728,19.34826884,0.709129156,16.7413442,0.307112261
LTME1 02-03,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,2,0.1,3,0.1,39.3599,1.00E-04,2016.465795,0.187053284,0.016076118,0.002307561,1.097926378,0.15723993,,,,,,,,,,,24.19557041,0.886786542,16.79899707,0.308169877
LTME1 03-04,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,3,0.1,4,0.1,61.0805,1.00E-04,2015.105421,0.312203473,0.016004712,0.002354195,0.735091878,0.107955986,9.47,0.099693307,0.42,0.067659845,0.273490938,0.023276321,6.794223798,0.236192398,2.675776202,0.21412168,19.78373562,0.725089353,19.22594482,0.352691118
LTME1 04-05,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,4,0.1,5,0.1,67.4011,1.00E-04,2013.247666,0.482709543,0.015900453,0.002443242,0.538283921,0.082617772,,,,,,,,,,,15.37190083,0.563392164,21.65289256,0.397212358
LTME1 05-06,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,5,0.1,6,0.1,66.6419,1.00E-04,2010.880218,0.702491402,0.015757863,0.002568791,0.422395796,0.06880242,9.31,0.098008942,0.36,0.057994153,0.47793884,0.040676874,5.163375695,0.345997092,4.146624305,0.331825609,14.48275862,0.530804408,22.88032454,0.419729033
LTME1 06-07,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,6,0.1,7,0.1,66.9806,1.00E-04,2008.557642,0.930318981,0.019351513,0.003831274,0.430556452,0.085164449,,,,,,,,,,,14.013267,0.513597174,24.62686567,0.451768527
LTME1 07-08,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,7,0.1,8,0.1,51.5955,1.00E-04,2004.846922,1.294819039,0.013759299,0.002496192,0.26948948,0.048834022,10.05,0.105799127,0.48,0.077325538,0.284717542,0.024231991,7.443478692,0.233879787,2.606521308,0.208581638,17.17637202,0.629527442,22.70632593,0.416537108
LTME1 08-09,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,8,0.1,9,0.1,57.6432,1.00E-04,2000.606141,1.721759684,0.013630763,0.002506588,0.235805642,0.043321182,,,,,,,,,,,16.36807818,0.599902841,25.04478827,0.459435125
LTME1 09-10,Laguna de Terminos,El Mechal,El Mechal,LTME1,ME1,BC CC LTME1,Salt marsh,09/04/2018,18,47,35,18.79305556,91,27,50,91.46388889,9,0.1,10,0.1,67.7365,1.00E-04,1994.968216,2.356981272,0.011630491,0.002361706,0.177370213,0.035984536,10.07,0.106009672,0.43,0.069270794,0.542570978,0.046177691,5.107460568,0.411024097,4.962539432,0.397118065,17.33986128,0.635519451,22.43982048,0.411648188
