sample.code,study.area,study.zone,station,core.code,core,file.name,environment,date.sampling,latitudeN.degree,latitudeN.minute,latitudeN.second,latitudeN,longitudeW.degree,longitudeW.minute,longitudeW.second,longitudeW,layer.top,layer.top.res,layer.bot,layer.bot.res,mass.dry,mass.dry.res,year,year.u,mar,mar.u,sar,sar.u,ctot,ctot.u,ntot,ntot.u,norg,norg.u,cinorg,cinorg.u,corg,corg.u,loi550,loi550.u,loi950,loi950.u,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 0-1 ,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,0,0.1,1,0.1,14.418,1.00E-04,2010.189167,0.550673105,0.031079885,0.002152202,0.125216385,0.008661744,9.67,0.075546875,1.08,0.060342415,0.925870841,0.035216011,0.570425636,0.315279564,9.099574364,0.306094549,26.65602554,1.556006785,6.823623304,0.265697756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 1-2,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,1,0.1,2,0.1,10.8904,1.00E-04,2003.663643,0.729531658,0.028730396,0.002155803,0.153244383,0.011519201,16.89,0.131953125,1.73,0.09665961,1.55733119,0.059233956,1.112250804,0.546894551,15.7777492,0.530737245,40.80574392,2.381826268,13.12325489,0.509592843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 2-3,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,2,0.1,3,0.1,9.1864,1.00E-04,1997.734203,0.873501116,0.026671345,0.002129437,0.168649999,0.013485398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 3-4,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,3,0.1,4,0.1,11.7115,1.00E-04,1989.439472,1.078763618,0.024306558,0.001990661,0.120558468,0.009892416,16.11,0.125859375,1.655,0.092469164,1.440025008,0.05477215,1.431374791,0.509563025,14.67862521,0.493764542,39.09258257,2.281840024,12.55037342,0.48739855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 4-5,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,4,0.1,5,0.1,12.619,1.00E-04,1980.372915,1.298922984,0.023960493,0.002059,0.110295448,0.009501043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 5-6,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,5,0.1,6,0.1,10.3765,1.00E-04,1972.893331,1.517798614,0.023882878,0.002259939,0.133697275,0.012659635,15.33,0.119765625,1.58,0.088278719,1.322718826,0.050310345,1.750498778,0.472231499,13.57950122,0.456791839,37.37942122,2.181853779,11.97749196,0.465204256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 6-7,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,6,0.1,7,0.1,11.6221,1.00E-04,1963.753309,1.822531677,0.021890243,0.002192125,0.109408925,0.010967117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 7-8,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,7,0.1,8,0.1,12.2492,1.00E-04,1952.963975,2.270310393,0.019544578,0.002129223,0.092684126,0.010111562,14.87,0.116171875,1.56,0.087161266,1.339417305,0.050945481,1.568393872,0.46228047,13.30160613,0.44744391,36.62470863,2.137804065,12.42949113,0.482709863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 8-9,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,8,0.1,9,0.1,14.91,1.00E-04,1937.493353,3.034959604,0.016591402,0.001991868,0.064638643,0.007767022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSQM1 9-10,Ensenada,San Quintín,Marisma norte,SQM1,M1,BC SQ M1,Salt marsh,05/03/2018,30,27,16,30.45444444,116,1,27,116.0241667,9,0.1,10,0.1,11.8285,1.00E-04,1922.244001,4.246414358,0.013353389,0.00200243,0.065576557,0.009836175,14.41,0.112578125,1.54,0.086043814,1.356115784,0.051580617,1.386288966,0.452329441,13.02371103,0.438095981,35.86999604,2.093754351,12.88149029,0.50021547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
