study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_carbon
Senger_et_al_2020,Pedro,Pe01,single set of methods,0,5,0.23579999999999998
Senger_et_al_2020,Pedro,Pe01,single set of methods,5,10,0.2661
Senger_et_al_2020,Pedro,Pe01,single set of methods,10,30,0.23920000000000002
Senger_et_al_2020,Pedro,Pe02,single set of methods,0,5,0.2994
Senger_et_al_2020,Pedro,Pe02,single set of methods,5,10,0.3043
Senger_et_al_2020,Pedro,Pe02,single set of methods,10,30,0.2938
Senger_et_al_2020,Pedro,Pe03,single set of methods,0,5,0.3056
Senger_et_al_2020,Pedro,Pe03,single set of methods,5,10,0.2635
Senger_et_al_2020,Pedro,Pe03,single set of methods,10,30,0.2805
Senger_et_al_2020,Pedro,Pe04,single set of methods,0,5,0.3155
Senger_et_al_2020,Pedro,Pe04,single set of methods,5,10,0.3147
Senger_et_al_2020,Pedro,Pe04,single set of methods,10,30,0.2982
Senger_et_al_2020,Pedro,Pe05,single set of methods,0,5,0.3297
Senger_et_al_2020,Pedro,Pe05,single set of methods,5,10,0.31920000000000004
Senger_et_al_2020,Pedro,Pe05,single set of methods,10,30,0.32020000000000004
Senger_et_al_2020,Coco,Co02,single set of methods,0,5,0.23579999999999998
Senger_et_al_2020,Coco,Co02,single set of methods,5,10,0.185
Senger_et_al_2020,Coco,Co02,single set of methods,10,30,0.1149
Senger_et_al_2020,Awa_di_Lodo,Aw01,single set of methods,0,5,0.05
Senger_et_al_2020,Awa_di_Lodo,Aw01,single set of methods,5,10,0.1149
Senger_et_al_2020,Awa_di_Lodo,Aw01,single set of methods,10,30,0.051399999999999994
Senger_et_al_2020,Awa_di_Lodo,Aw02,single set of methods,0,5,0.0401
Senger_et_al_2020,Awa_di_Lodo,Aw02,single set of methods,5,10,0.0388
Senger_et_al_2020,Awa_di_Lodo,Aw02,single set of methods,10,30,0.07
Senger_et_al_2020,Awa_di_Lodo,Aw03,single set of methods,0,5,0.2101
Senger_et_al_2020,Awa_di_Lodo,Aw03,single set of methods,5,10,0.2079
Senger_et_al_2020,Awa_di_Lodo,Aw03,single set of methods,10,30,0.2003
Senger_et_al_2020,Awa_di_Lodo,Aw04,single set of methods,0,5,0.1534
Senger_et_al_2020,Awa_di_Lodo,Aw04,single set of methods,5,10,0.244
Senger_et_al_2020,Awa_di_Lodo,Aw04,single set of methods,10,30,0.1766
Senger_et_al_2020,Awa_di_Lodo,Aw05,single set of methods,0,5,0.21289999999999998
Senger_et_al_2020,Awa_di_Lodo,Aw05,single set of methods,5,10,0.1732
Senger_et_al_2020,Awa_di_Lodo,Aw05,single set of methods,10,30,0.1938
Senger_et_al_2020,Isla_Yuwana,IY01,single set of methods,0,5,0.23309999999999997
Senger_et_al_2020,Isla_Yuwana,IY01,single set of methods,5,10,0.2101
Senger_et_al_2020,Isla_Yuwana,IY01,single set of methods,10,30,0.19879999999999998
Senger_et_al_2020,Isla_Yuwana,IY02,single set of methods,0,5,0.255
Senger_et_al_2020,Isla_Yuwana,IY02,single set of methods,5,10,0.2771
Senger_et_al_2020,Isla_Yuwana,IY02,single set of methods,10,30,0.2481
Senger_et_al_2020,Isla_Yuwana,IY03,single set of methods,0,5,0.2107
Senger_et_al_2020,Isla_Yuwana,IY03,single set of methods,5,10,0.23149999999999998
Senger_et_al_2020,Isla_Yuwana,IY03,single set of methods,10,30,0.2336
Senger_et_al_2020,Isla_Yuwana,IY04,single set of methods,0,5,0.22469999999999998
Senger_et_al_2020,Isla_Yuwana,IY04,single set of methods,5,10,0.20800000000000002
Senger_et_al_2020,Isla_Yuwana,IY04,single set of methods,10,30,0.19870000000000002
Senger_et_al_2020,Isla_Yuwana,IY05,single set of methods,0,5,0.1954
Senger_et_al_2020,Isla_Yuwana,IY05,single set of methods,5,10,0.20379999999999998
Senger_et_al_2020,Isla_Yuwana,IY05,single set of methods,10,30,0.2139
Senger_et_al_2020,Isla_di_Chico,IC01,single set of methods,0,5,0.121
Senger_et_al_2020,Isla_di_Chico,IC01,single set of methods,5,10,0.1564
Senger_et_al_2020,Isla_di_Chico,IC01,single set of methods,10,30,0.1732
Senger_et_al_2020,Isla_di_Chico,IC02,single set of methods,0,5,0.1788
Senger_et_al_2020,Isla_di_Chico,IC02,single set of methods,5,10,0.2146
Senger_et_al_2020,Isla_di_Chico,IC02,single set of methods,10,30,0.1841
Senger_et_al_2020,Isla_di_Chico,IC03,single set of methods,0,5,0.14300000000000002
Senger_et_al_2020,Isla_di_Chico,IC03,single set of methods,5,10,0.19879999999999998
Senger_et_al_2020,Isla_di_Chico,IC03,single set of methods,10,30,0.22510000000000002
Senger_et_al_2020,Isla_di_Chico,IC04,single set of methods,0,5,0.1772
Senger_et_al_2020,Isla_di_Chico,IC04,single set of methods,5,10,0.19690000000000002
Senger_et_al_2020,Isla_di_Chico,IC04,single set of methods,10,30,0.20739999999999997
Senger_et_al_2020,Isla_di_Chico,IC05,single set of methods,0,5,0.20579999999999998
Senger_et_al_2020,Isla_di_Chico,IC05,single set of methods,5,10,0.1946
Senger_et_al_2020,Isla_di_Chico,IC05,single set of methods,10,30,0.20929999999999999
