study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Senger_et_al_2020,Pedro,Pe01,2019,2,12,12.1131,-68.2409,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Pedro,Pe02,2019,2,12,12.1112,-68.2409,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Pedro,Pe03,2019,2,12,12.1095,-68.24,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Pedro,Pe04,2019,2,12,12.1075,-68.2395,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Pedro,Pe05,2019,2,12,12.1059,-68.2389,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Coco,Co02,2019,2,25,12.1177,-68.2227,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Awa_di_Lodo,Aw01,2019,2,15,12.1173,-68.24,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Awa_di_Lodo,Aw02,2019,2,15,12.1188,-68.2382,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Awa_di_Lodo,Aw03,2019,2,15,12.1169,-68.236,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Awa_di_Lodo,Aw04,2019,2,18,12.1176,-68.2372,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Awa_di_Lodo,Aw05,2019,2,18,12.1174,-68.2379,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_Yuwana,IY01,2019,3,18,12.1159,-68.2357,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_Yuwana,IY02,2019,3,18,12.1155,-68.2367,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_Yuwana,IY03,2019,3,18,12.1145,-68.237,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_Yuwana,IY04,2019,3,18,12.1141,-68.2359,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_Yuwana,IY05,2019,3,18,12.1152,-68.2352,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_di_Chico,IC01,2019,3,29,12.1183,-68.2312,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_di_Chico,IC02,2019,3,29,12.1184,-68.2326,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_di_Chico,IC03,2019,3,30,12.1158,-68.2329,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_di_Chico,IC04,2019,3,30,12.1145,-68.2338,handheld,saline,field observation,forested,field observation,mangrove,not specified
Senger_et_al_2020,Isla_di_Chico,IC05,2019,3,30,12.1167,-68.233,handheld,saline,field observation,forested,field observation,mangrove,not specified
