study_id,site_id,species_code,code_type,habitat
Senger_et_al_2020,Pedro,Rhizophora mangle,Genus species,mangrove
Senger_et_al_2020,Pedro,Avicennia germinans,Genus species,mangrove
Senger_et_al_2020,Pedro,Laguncularia racemosa,Genus species,mangrove
Senger_et_al_2020,Coco,Rhizophora mangle,Genus species,mangrove
Senger_et_al_2020,Coco,Avicennia germinans,Genus species,mangrove
Senger_et_al_2020,Coco,Laguncularia racemosa,Genus species,mangrove
Senger_et_al_2020,Awa_di_Lodo,Rhizophora mangle,Genus species,mangrove
Senger_et_al_2020,Awa_di_Lodo,Avicennia germinans,Genus species,mangrove
Senger_et_al_2020,Awa_di_Lodo,Laguncularia racemosa,Genus species,mangrove
Senger_et_al_2020,Isla_Yuwana,Rhizophora mangle,Genus species,mangrove
Senger_et_al_2020,Isla_Yuwana,Avicennia germinans,Genus species,mangrove
Senger_et_al_2020,Isla_Yuwana,Laguncularia racemosa,Genus species,mangrove
Senger_et_al_2020,Isla_di_Chico,Rhizophora mangle,Genus species,mangrove
Senger_et_al_2020,Isla_di_Chico,Avicennia germinans,Genus species,mangrove
Senger_et_al_2020,Isla_di_Chico,Laguncularia racemosa,Genus species,mangrove
