study_id,site_id,core_id,impact_class
Darienzo_and_Peterson_1990,Netarts,Core5,natural
Darienzo_and_Peterson_1990,Netarts,Core6,natural
Darienzo_and_Peterson_1990,Netarts,Core7,natural
Darienzo_and_Peterson_1990,Netarts,Core8,natural
Darienzo_and_Peterson_1990,Netarts,Core9,natural
Darienzo_and_Peterson_1990,Netarts,Core10,natural
