study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,pb214_activity,pb214_unit,bi214_activity,bi214_unit
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,0,2,0.19,0.1327,0.055,millibecquerel_per_gram,0.322,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,2,4,0.22,0.1683,0.033,millibecquerel_per_gram,0.293,becquerel_per_gram,0.021,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,4,6,0.23,0.1661,0.044,millibecquerel_per_gram,0.229,becquerel_per_gram,0.019,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,6,8,0.22,0.1658,0.053,millibecquerel_per_gram,0.176,becquerel_per_gram,0.021,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,8,10,0.22,0.1784,0.052,millibecquerel_per_gram,0.163,becquerel_per_gram,0.019,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,10,12,0.22,0.1999,0.053,millibecquerel_per_gram,0.135,becquerel_per_gram,0.014,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,12,14,0.23,0.1943,0.074,millibecquerel_per_gram,0.117,becquerel_per_gram,0.016,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,14,16,0.21,0.2027,0.088,millibecquerel_per_gram,0.086,becquerel_per_gram,0.019,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,16,18,0.19,0.1854,0.079,millibecquerel_per_gram,0.073,becquerel_per_gram,0.019,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,18,20,0.17,0.1679,0.07,millibecquerel_per_gram,0.054,becquerel_per_gram,0.02,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,20,22,0.19,0.1296,0.246,millibecquerel_per_gram,0.084,becquerel_per_gram,0.022,becquerel_per_gram,0.022,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,22,24,0.24,0.1081,0.282,millibecquerel_per_gram,0.09,becquerel_per_gram,0.023,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,24,26,0.21,0.1159,0.159,millibecquerel_per_gram,0.079,becquerel_per_gram,0.023,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,26,28,0.16,0.1339,0.059,millibecquerel_per_gram,0.071,becquerel_per_gram,0.021,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,28,30,0.14,0.1341,0.03,millibecquerel_per_gram,0.07,becquerel_per_gram,0.021,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,30,32,0.18,0.1202,0.023,millibecquerel_per_gram,0.071,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,32,34,0.21,0.1046,0.028,millibecquerel_per_gram,0.064,becquerel_per_gram,0.023,becquerel_per_gram,0.022,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,34,36,0.28,0.1048,0.007,millibecquerel_per_gram,0.062,becquerel_per_gram,0.024,becquerel_per_gram,0.022,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,36,38,0.27,0.1168,0.017,millibecquerel_per_gram,0.058,becquerel_per_gram,0.026,becquerel_per_gram,0.025,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,38,40,0.34,0.1009,0.013,millibecquerel_per_gram,0.043,becquerel_per_gram,0.028,becquerel_per_gram,0.024,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,0,2,0.16,0.1481,0.03,millibecquerel_per_gram,0.331,becquerel_per_gram,NaN,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,2,4,0.25,0.1282,0.026,millibecquerel_per_gram,0.24,becquerel_per_gram,0.018,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,4,6,0.19,0.1569,0.029,millibecquerel_per_gram,0.124,becquerel_per_gram,0.017,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,6,8,0.19,0.1828,0.036,millibecquerel_per_gram,0.209,becquerel_per_gram,0.015,becquerel_per_gram,0.014,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,8,10,0.25,0.1275,0.048,millibecquerel_per_gram,0.277,becquerel_per_gram,0.019,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,10,12,0.24,0.1541,0.046,millibecquerel_per_gram,0.156,becquerel_per_gram,0.018,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,12,14,0.2,0.1609,0.057,millibecquerel_per_gram,0.138,becquerel_per_gram,0.016,becquerel_per_gram,0.016,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,14,16,0.23,0.1324,0.07,millibecquerel_per_gram,0.159,becquerel_per_gram,0.019,becquerel_per_gram,0.018,becquerel_per_gram
