study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,pb214_activity,pb214_unit,bi214_activity,bi214_unit
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,16,18,0.21,0.1492,0.084,millibecquerel_per_gram,0.138,becquerel_per_gram,0.016,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,18,20,0.22,0.1392,0.188,millibecquerel_per_gram,0.112,becquerel_per_gram,0.018,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,20,22,0.24,0.1193,0.374,millibecquerel_per_gram,0.105,becquerel_per_gram,0.02,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,22,24,0.26,0.1056,0.235,millibecquerel_per_gram,0.076,becquerel_per_gram,0.022,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,24,26,0.26,0.0946,0.093,millibecquerel_per_gram,0.069,becquerel_per_gram,0.023,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,26,28,0.24,0.1114,0.037,millibecquerel_per_gram,0.07,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,28,30,0.22,0.1204,0.03,millibecquerel_per_gram,0.063,becquerel_per_gram,0.02,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,30,32,0.25,0.1196,0.023,millibecquerel_per_gram,0.055,becquerel_per_gram,0.021,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,32,34,0.2,0.1585,0.008,millibecquerel_per_gram,0.043,becquerel_per_gram,0.018,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,34,36,0.22,0.1241,0.007,millibecquerel_per_gram,0.04,becquerel_per_gram,0.019,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,36,38,0.27,0.0876,0.002,millibecquerel_per_gram,0.045,becquerel_per_gram,0.023,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,38,40,0.26,0.123,0.005,millibecquerel_per_gram,0.035,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,0,2,0.13,0.1523,0.022,millibecquerel_per_gram,0.25,becquerel_per_gram,0.019,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,2,4,0.25,0.1523,0.029,millibecquerel_per_gram,0.25,becquerel_per_gram,0.02,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,4,6,0.18,0.2225,0.02,millibecquerel_per_gram,0.1,becquerel_per_gram,0.015,becquerel_per_gram,0.014,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,6,8,0.2,0.1846,0.028,millibecquerel_per_gram,0.079,becquerel_per_gram,0.013,becquerel_per_gram,0.013,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,8,10,0.19,0.1969,0.021,millibecquerel_per_gram,0.078,becquerel_per_gram,0.016,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,10,12,0.15,0.2392,0.018,millibecquerel_per_gram,0.075,becquerel_per_gram,0.013,becquerel_per_gram,0.014,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,12,14,0.17,0.2159,0.035,millibecquerel_per_gram,0.108,becquerel_per_gram,0.013,becquerel_per_gram,0.011,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,14,16,0.19,0.1771,0.049,millibecquerel_per_gram,0.125,becquerel_per_gram,0.015,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,16,18,0.2,0.1741,0.067,millibecquerel_per_gram,0.117,becquerel_per_gram,0.015,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,18,20,0.21,0.1753,0.117,millibecquerel_per_gram,0.106,becquerel_per_gram,0.018,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,20,22,0.24,"NA",0.332,millibecquerel_per_gram,0.107,becquerel_per_gram,0.021,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,22,24,0.24,0.1869,0.296,millibecquerel_per_gram,0.07,becquerel_per_gram,0.023,becquerel_per_gram,0.022,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,24,26,0.23,0.1028,0.16,millibecquerel_per_gram,0.067,becquerel_per_gram,0.024,becquerel_per_gram,0.024,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,26,28,0.21,0.1351,0.062,millibecquerel_per_gram,0.066,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,28,30,0.19,0.1577,0.021,millibecquerel_per_gram,0.056,becquerel_per_gram,0.018,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,30,32,0.19,0.1387,0.02,millibecquerel_per_gram,0.061,becquerel_per_gram,0.02,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,32,34,0.19,0.1407,0.016,millibecquerel_per_gram,0.05,becquerel_per_gram,0.019,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,34,36,0.16,0.1631,0.004,millibecquerel_per_gram,0.047,becquerel_per_gram,0.017,becquerel_per_gram,0.016,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,36,38,0.15,0.1847,0.005,millibecquerel_per_gram,0.039,becquerel_per_gram,0.015,becquerel_per_gram,0.015,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,38,40,0.16,0.186,0.002,millibecquerel_per_gram,0.039,becquerel_per_gram,0.017,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,0,2,0.24,0.1426,0.029,millibecquerel_per_gram,0.264,becquerel_per_gram,0.02,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,2,4,0.27,0.1355,0.04,millibecquerel_per_gram,0.209,becquerel_per_gram,0.02,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,4,6,0.26,0.1598,0.046,millibecquerel_per_gram,0.189,becquerel_per_gram,0.018,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,6,8,0.27,0.1532,0.056,millibecquerel_per_gram,0.167,becquerel_per_gram,0.019,becquerel_per_gram,0.016,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,8,10,0.25,0.1509,0.088,millibecquerel_per_gram,0.139,becquerel_per_gram,0.018,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,10,12,0.26,0.1457,0.098,millibecquerel_per_gram,0.139,becquerel_per_gram,0.02,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,12,14,0.26,0.1513,0.176,millibecquerel_per_gram,0.096,becquerel_per_gram,0.02,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,14,16,0.31,0.1123,0.407,millibecquerel_per_gram,0.108,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,16,18,0.32,0.1234,0.164,millibecquerel_per_gram,0.068,becquerel_per_gram,0.022,becquerel_per_gram,0.018,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,18,20,0.3,0.1314,0.055,millibecquerel_per_gram,0.062,becquerel_per_gram,0.021,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,20,22,0.26,0.1478,0.019,millibecquerel_per_gram,0.052,becquerel_per_gram,0.019,becquerel_per_gram,0.019,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,22,24,0.28,0.1483,0.015,millibecquerel_per_gram,0.061,becquerel_per_gram,0.019,becquerel_per_gram,0.017,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,24,26,0.42,0.1099,0.005,millibecquerel_per_gram,0.04,becquerel_per_gram,0.025,becquerel_per_gram,0.024,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,26,28,0.33,0.138,0.006,millibecquerel_per_gram,0.041,becquerel_per_gram,0.023,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,28,30,0.36,0.1331,0.009,millibecquerel_per_gram,0.039,becquerel_per_gram,0.022,becquerel_per_gram,0.021,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,30,32,0.36,0.1009,0.015,millibecquerel_per_gram,0.037,becquerel_per_gram,0.024,becquerel_per_gram,0.022,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,32,34,0.38,0.0939,0.008,millibecquerel_per_gram,0.033,becquerel_per_gram,0.024,becquerel_per_gram,0.023,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,34,36,0.31,0.1137,0.005,millibecquerel_per_gram,0.033,becquerel_per_gram,0.022,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,36,38,0.29,0.1115,0.006,millibecquerel_per_gram,0.029,becquerel_per_gram,0.022,becquerel_per_gram,0.02,becquerel_per_gram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,38,40,0.34,0.1102,0.009,millibecquerel_per_gram,0.032,becquerel_per_gram,0.025,becquerel_per_gram,0.023,becquerel_per_gram
