study_id,site_id,core_id,genus,species
Nolte_2020,NFB,NFB_grazed_seaward,Puccinellia,maritima
Nolte_2020,NFB,NFB_grazed_landward,Agrostis,stolonifera
Nolte_2020,NFB,NFB_ungrazed_seaward,Puccinellia,maritima
Nolte_2020,NFB,NFB_ungrazed_landward,Elymus,athericus
Nolte_2020,DSK,DSK_grazed_seaward,Elymus,athericus
Nolte_2020,DSK,DSK_grazed_landward,Festuca,rubra
Nolte_2020,DSK,DSK_ungrazed_seaward,Elymus,athericus
Nolte_2020,DSK,DSK_ungrazed_landward,Elymus,athericus
Nolte_2020,HH,HH_grazed_seaward,Festuca,rubra
Nolte_2020,HH,HH_grazed_landward,Festuca,rubra
Nolte_2020,HH,HH_ungrazed_seaward,Puccinellia,maritima
Nolte_2020,HH,HH_ungrazed_landward,Elymus,athericus
Nolte_2020,SNK,SNK_grazed_seaward,Puccinellia,maritima
Nolte_2020,SNK,SNK_grazed_landward,Puccinellia,maritima
Nolte_2020,SNK,SNK_ungrazed_seaward,Elymus,athericus
Nolte_2020,SNK,SNK_ungrazed_landward,Elymus,athericus
