study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_peak_present,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,age,slice_thickness,kolker_bulk_density,kolker_pb_inventory,fraction_small_grain
Nolte_2020,DSK,DSK_grazed_landward,0,1,0.518498518,0.08231974262,6.788,0.4466,NA,68.75,6.305,24.665,1.286,44.085,NA,1.067,0.5184985175984331,0.02438949362726483,0.2692
Nolte_2020,DSK,DSK_grazed_landward,9,10,0.598879985,0.0643611622,7.397,0.37,NA,28.04,5.993,21.939999999999998,1.6175000000000002,6.100000000000001,NA,1.067,0.5988799849792751,0.0038979301582346085,0.1297
Nolte_2020,DSK,DSK_grazed_landward,10,11,0.684987638,0.07002123376,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.684987637596675,0.00672776705475058,0.2006
Nolte_2020,DSK,DSK_grazed_landward,11,12,0.561900633,0.07568130533,20.14,1.135,NA,37.93,6.904,25.619999999999997,1.8315,12.310000000000002,NA,1.067,0.5619006332663238,0.007380435580807513,0.27149999999999996
Nolte_2020,DSK,DSK_grazed_landward,12,13,0.572506278,0.07957606748,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.5725062778150006,0.009509628409037319,0.31255
Nolte_2020,DSK,DSK_grazed_landward,13,14,0.532051769,0.08347082963,119,3.556,TRUE,51.59,9.449,32.765,2.5,18.825000000000003,24,1.067,0.5320517691962879,0.01068693815031317,0.35359999999999997
Nolte_2020,DSK,DSK_grazed_landward,14,15,0.63266318,0.07028950018999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.63266318000536,0.008546153421412008,0.32685000000000003
Nolte_2020,DSK,DSK_grazed_landward,15,16,0.627556934,0.05710817074999999,30.36,1.503,NA,36.81,8.037,30.314999999999998,2.2415000000000003,6.4950000000000045,NA,1.067,0.6275569341039001,0.004349073100234158,0.30010000000000003
Nolte_2020,DSK,DSK_grazed_landward,16,17,0.621903658,0.06241839892,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6219036575089606,0.009258477203747156,0.22030000000000002
Nolte_2020,DSK,DSK_grazed_landward,17,18,0.592001763,0.06772862709,18.41,1.143,NA,49.86,7.822,28.45,2.045,21.41,NA,1.067,0.592001762885301,0.013523966512180373,0.22030000000000002
Nolte_2020,DSK,DSK_grazed_landward,18,19,0.6610769,0.04739277089,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6610769000595843,0.0095260090521701,0.22030000000000002
Nolte_2020,DSK,DSK_grazed_landward,1,2,0.43750013,0.14322423969999998,6.788,0.4466,NA,68.75,6.305,24.665,1.286,44.085,NA,1.067,0.437500129619037,0.02057943515961035,0.2692
Nolte_2020,DSK,DSK_grazed_landward,19,20,0.720237336,0.0270569147,9.125,0.9378,NA,28.84,6.691,23.240000000000002,1.783,5.599999999999998,NA,1.067,0.7202373356664519,0.004303562128074181,0.1405
Nolte_2020,DSK,DSK_grazed_landward,20,21,0.696773733,0.03552295278,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6967737334482362,0.004115037669816599,0.25105
Nolte_2020,DSK,DSK_grazed_landward,21,22,0.663548667,0.04398899085,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6635486665964938,0.00391881557487557,0.25105
Nolte_2020,DSK,DSK_grazed_landward,22,23,0.607307426,0.047593164339999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6073074263243207,0.003586663527220357,0.25105
Nolte_2020,DSK,DSK_grazed_landward,23,24,0.630488283,0.047593164339999994,11.73,0.9553,NA,37.24,6.691,31.77,1.9779999999999998,5.470000000000002,NA,1.067,0.6304882833631631,0.003679838560966269,0.3616
Nolte_2020,DSK,DSK_grazed_landward,24,26,0.634972071,0.05119733783,10.16,0.5609,NA,33.1,4.148,23.515,1.184,9.585,NA,2.134,0.6349720705574868,0.012987966370290354,0.2922
Nolte_2020,DSK,DSK_grazed_landward,26,28,0.677220519,0.06494997572,12.14,0.8512,TRUE,23.91,5.705,22.22,1.596,1.6900000000000013,47,2.134,0.6772205185842036,0.0024423687114531883,0.2657
Nolte_2020,DSK,DSK_grazed_landward,2,3,0.478848051,0.12732025760000001,8.368,0.7462,NA,116.2,11.14,30.275,2.056,85.92500000000001,NA,1.067,0.4788480513147965,0.0439017350694419,0.31465
Nolte_2020,DSK,DSK_grazed_landward,28,30,0.663731517,0.04464373577,8.75,0.5052,NA,29.52,3.883,21.185000000000002,1.0865,8.334999999999997,NA,2.134,0.6637315167746743,0.011805719478404282,0.23920000000000002
Nolte_2020,DSK,DSK_grazed_landward,30,32,0.618053082,0.05390977225,6.675,0.8919,NA,25.05,6.422,27.95,1.883,-2.8999999999999986,NA,2.134,0.618053081695228,0,0.3425
Nolte_2020,DSK,DSK_grazed_landward,32,34,0.597049039,0.05832239883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.5970490394180181,0,0.19515000000000002
Nolte_2020,DSK,DSK_grazed_landward,34,36,0.650745481,0.06489517375000001,1.285,0.7473,NA,16.7,5.649,20.83,1.5755,-4.129999999999999,NA,2.134,0.6507454809392231,0,0.0478
Nolte_2020,DSK,DSK_grazed_landward,36,38,0.611705155,0.052659648700000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.6117051554027758,0,0.05835
Nolte_2020,DSK,DSK_grazed_landward,3,4,0.496804024,0.1114162756,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.4968040235015539,0.02949420165075743,0.3601
Nolte_2020,DSK,DSK_grazed_landward,38,40,0.697843547,0.05002175244,0.9216,0.9216,NA,17.77,5.443,20.595,1.5015,-2.8249999999999993,NA,2.134,0.6978435467442,0,0.0689
Nolte_2020,DSK,DSK_grazed_landward,40,42,0.648242241,0.05716111229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.648242240998417,0,0.09965
Nolte_2020,DSK,DSK_grazed_landward,42,44,0.688534502,0.023680063759999998,0.9229,0.9229,NA,12.34,5.4,71.7,1.5465,-59.36,NA,2.134,0.6885345020181195,0,0.1304
Nolte_2020,DSK,DSK_grazed_landward,44,46,0.679023365,0.03350283627,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.6790233650121512,0,0.11109999999999999
Nolte_2020,DSK,DSK_grazed_landward,46,48,0.655830629,0.057775442159999996,0.9547,0.9547,NA,13.65,5.508,19.075,1.525,-5.424999999999999,NA,2.134,0.6558306285658035,0,0.09179999999999999
Nolte_2020,DSK,DSK_grazed_landward,4,5,0.507251322,0.09378559463,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.5072513219614505,0.030114435612048757,0.3601
Nolte_2020,DSK,DSK_grazed_landward,48,50,0.635977356,0.06695804877,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.6359773557401844,0,0.09219999999999999
Nolte_2020,DSK,DSK_grazed_landward,50,52,0.56213012,0.04633333773000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.5621301198383803,0,0.09219999999999999
Nolte_2020,DSK,DSK_grazed_landward,52,54,0.682465412,0.032501208159999996,0.8578,0.8578,NA,11.19,4.897,16.025,1.341,-4.834999999999999,NA,2.134,0.6824654122815108,0,0.0926
Nolte_2020,DSK,DSK_grazed_landward,54,56,0.686329668,0.01146385883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.6863296679245143,0,NA
Nolte_2020,DSK,DSK_grazed_landward,56,58,0.732109437,0.021120496000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.7321094366763307,0,NA
Nolte_2020,DSK,DSK_grazed_landward,5,6,0.575145582,0.07615491365999999,6.79,1.02,NA,54.55,7.945,29.195,2.0575,25.354999999999997,NA,1.067,0.5751455819369813,0.015559864917422972,0.2521
Nolte_2020,DSK,DSK_grazed_landward,58,60,0.700906138,0.03122335205,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.7009061384599321,0,NA
Nolte_2020,DSK,DSK_grazed_landward,60,62,0.760070812,0.03209822861,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.760070812288462,0,NA
Nolte_2020,DSK,DSK_grazed_landward,62,64,0.776322865,0.014868199310000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.134,0.7763228645638751,0,NA
Nolte_2020,DSK,DSK_grazed_landward,6,7,0.631018876,0.06621625312,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6310188758510608,0.01164467404551965,0.1909
Nolte_2020,DSK,DSK_grazed_landward,7,8,0.669568558,0.05627759258,19.95,1.04,NA,36.33,6.233,27.095,1.7845,9.235,NA,1.067,0.6695685575168413,0.006597757825788786,0.1909
Nolte_2020,DSK,DSK_grazed_landward,8,9,0.644486314,0.06031937739,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,0.6444863139543312,0.0052726859326652385,0.1909
Nolte_2020,DSK,DSK_grazed_seaward,0,1,0.44045487,0.07026180634,5.819,0.4841,NA,73.89,6.297,24.89,1.282,49,NA,1.041,0.4404548697329377,0.022467162450207415,0.2716
Nolte_2020,DSK,DSK_grazed_seaward,9,10,0.760994872,0.01722449868,1.076,NA,NA,21.58,6.296,22.05,1.7174999999999998,-0.4700000000000024,NA,1.041,0.7609948721649682,0,0.0288
Nolte_2020,DSK,DSK_grazed_seaward,10,11,0.72855907,0.01961893759,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.041,0.72855907001054665,0,0.01845
Nolte_2020,DSK,DSK_grazed_seaward,11,12,0.732815837,0.0220133765,0.9178,NA,NA,21.66,5.387,21.795,1.545,-0.13500000000000156,NA,1.041,0.7328158374679457,0,0.008100000000000001
Nolte_2020,DSK,DSK_grazed_seaward,12,13,0.708403066,0.02114222224,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.041,0.7084030662436359,0.0016408208921101638,0.0051
Nolte_2020,DSK,DSK_grazed_seaward,13,14,0.743303436,0.02027106798,1.799,0.854,NA,25.83,6.651,21.245,1.7770000000000001,4.584999999999997,NA,1.041,0.7433034362255917,0.0035477761515532035,0.0021
Nolte_2020,DSK,DSK_grazed_seaward,14,15,0.680509118,0.0268618542,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.041,0.680509118165938,0.0026689346449004668,0.061000000000000006
