study_id,site_id,core_id,species_code,genus,species
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,Spartina foliosa,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,Jaumea carnosa,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,Batis maritima,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,Batis maritima,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,Frankenia salina,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,Jaumea carnosa,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,Spartina foliosa,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,Salicornia virginica,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,Batis maritima,NA,NA
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,Jaumea carnosa,NA,NA
Trettin_et_al_2017,1001,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,1079,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,1079,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,1113,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,1130,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,1216,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,1219,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,1254,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,1254,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,1285,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,1285,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,13,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,1305,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,1314,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,1317,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,1359,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,1361,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,1382,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,15,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,16,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,17,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,25,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,26,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,27,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,29,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,32B,NA,Sonneratia alba,NA,NA
Trettin_et_al_2017,35,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,36,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,37,NA,Rhizophora mucronata,NA,NA
