study_id,site_id,core_id,species_code,genus,species
Trettin_et_al_2017,806,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,864,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,9001,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9002,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,9002,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9003,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,9003,NA,Sonneratia alba,NA,NA
Trettin_et_al_2017,9004,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9005,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9006,NA,Sonneratia alba,NA,NA
Trettin_et_al_2017,9006,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,9007,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,9008,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9009,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,9010,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,9011,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,9012,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,9013,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,9014,NA,Bruguiera gymnorrhiza,NA,NA
Trettin_et_al_2017,9014,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,9017,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,9018,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,9019,NA,Ceriops tagal,NA,NA
Trettin_et_al_2017,9019,NA,Xylocarpus granatum,NA,NA
Trettin_et_al_2017,9020,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,9021,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,9022,NA,Avicennia marina,NA,NA
Trettin_et_al_2017,9023,NA,Rhizophora mucronata,NA,NA
Trettin_et_al_2017,9024,NA,Heritiera littoralis,NA,NA
Trettin_et_al_2017,9025,NA,Sonneratia alba,NA,NA
Trettin_et_al_2017,9027,NA,Ceriops tagal,NA,NA
Thom_1992,Nisqually_River_Delta,ND3,NA,Carex,lyngbyei
Thom_1992,Elk_River_Prev_Diked,ED1,NA,Distichlis,spicata
Thom_1992,Elk_River_Not_Diked,ER1,NA,Distichlis,spicata
Thom_1992,Nisqually_River_Delta,ND2,NA,Distichlis,spicata
Thom_1992,Nisqually_River_Delta,ND4,NA,Distichlis,spicata
Thom_1992,Salmon_River,SR1,NA,Distichlis,spicata
Thom_1992,Salmon_River,SR2,NA,Distichlis,spicata
Thom_1992,South_Slough,SS1,NA,Potentilla,sp
Thom_1992,Elk_River_Prev_Diked,ED1,NA,Salicornia,virginica
Thom_1992,Padilla_Bay,PB3,NA,Salicornia,virginica
Thom_1992,Salmon_River,SR1,NA,Salicornia,virginica
Thom_1992,Salmon_River,SR2,NA,Salicornia,virginica
Thom_1992,Washington_Harbor,WH1,NA,Salicornia,virginica
Thom_1992,Nisqually_River_Delta,ND1,NA,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND2,NA,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND3,NA,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND4,NA,Triglochin,maritimum
MX_edaf_puntos,NA,M1680,NA,NA,NA
MX_edaf_puntos,NA,M1681,NA,NA,NA
MX_edaf_puntos,NA,M1682,NA,NA,NA
MX_edaf_puntos,NA,M1683,NA,NA,NA
MX_edaf_puntos,NA,M1684,NA,NA,NA
MX_edaf_puntos,NA,M1685,NA,NA,NA
MX_edaf_puntos,NA,M1686,NA,NA,NA
MX_edaf_puntos,NA,M1687,NA,NA,NA
MX_edaf_puntos,NA,M1688,NA,NA,NA
MX_edaf_puntos,NA,M1689,NA,NA,NA
MX_perfilv12,NA,M1690,NA,NA,NA
MX_perfilv12,NA,M1691,NA,NA,NA
MX_perfilv12,NA,M1692,NA,NA,NA
MX_perfilv12,NA,M1693,NA,NA,NA
MX_perfilv12,NA,M1694,NA,NA,NA
MX_perfilv12,NA,M1695,NA,NA,NA
MX_perfilv12,NA,M1696,NA,NA,NA
MX_perfilv12,NA,M1697,NA,NA,NA
MX_perfilv12,NA,M1698,NA,NA,NA
MX_perfilv12,NA,M1699,NA,NA,NA
MX_perfilv12,NA,M1700,NA,NA,NA
MX_perfilv12,NA,M1701,NA,NA,NA
MX_perfilv12,NA,M1702,NA,NA,NA
MX_perfilv12,NA,M1703,NA,NA,NA
MX_perfilv12,NA,M1704,NA,NA,NA
MX_perfilv12,NA,M1705,NA,NA,NA
AfSPDB,NA,M1706,NA,NA,NA
AU_NatSoil,NA,M1707,NA,NA,NA
AU_NatSoil,NA,M1708,NA,NA,NA
AU_NatSoil,NA,M1709,NA,NA,NA
NCSS,NA,M1710,NA,NA,NA
AfSPDB,NA,M1711,NA,NA,NA
WISE,NA,M1712,NA,NA,NA
WISE,NA,M1713,NA,NA,NA
WISE,NA,M1714,NA,NA,NA
AfSPDB,NA,M1715,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1716,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1717,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1718,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1719,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1720,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1721,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1722,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1723,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1724,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1725,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1726,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1727,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1728,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1729,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1730,NA,NA,NA
AfSIS_Sentinel_Sites,NA,M1731,NA,NA,NA
NCSS,NA,M1732,NA,NA,NA
RadamBrasil,NA,M1733,NA,NA,NA
RadamBrasil,NA,M1734,NA,NA,NA
NCSS,NA,M1735,NA,NA,NA
NCSS,NA,M1736,NA,NA,NA
NCSS,NA,M1737,NA,NA,NA
NCSS,NA,M1738,NA,NA,NA
NCSS,NA,M1739,NA,NA,NA
NCSS,NA,M1740,NA,NA,NA
RadamBrasil,NA,M1741,NA,NA,NA
RadamBrasil,NA,M1742,NA,NA,NA
Kauffmann_et_al_2011,Airai State,M0001,NA,NA,NA
Kauffmann_et_al_2011,Airai State,M0002,NA,NA,NA
Kauffmann_et_al_2011,Airai State,M0003,NA,NA,NA
Kauffmann_et_al_2011,Yap,M0004,NA,NA,NA
Kauffmann_et_al_2011,Yap,M0005,NA,NA,NA
Kauffmann_et_al_2011,Yap,M0006,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0007,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0008,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0009,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0010,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0011,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0012,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0013,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0014,NA,NA,NA
Kauffmann_et_al_2014,Montecristi Province,M0015,NA,NA,NA
Alongi_et_al_1999,Hinchinbrook,M0016,NA,NA,NA
Alongi_et_al_1999,Hinchinbrook,M0017,NA,NA,NA
Chen_and_Twilley_1999,Everglades,M0018,NA,NA,NA
Chen_and_Twilley_1999,Everglades,M0019,NA,NA,NA
Chen_and_Twilley_1999,Everglades,M0020,NA,NA,NA
Chen_and_Twilley_1999,Everglades,M0021,NA,NA,NA
Alongi_1996,Hinchinbrook,M0022,NA,NA,NA
Alongi_1996,Hinchinbrook,M0023,NA,NA,NA
Alongi_1996,Hinchinbrook,M0024,NA,NA,NA
Alongi_1996,Hinchinbrook,M0025,NA,NA,NA
Alongi_et_al_2000,Port Headland,M0026,Rhizophora stylosa,NA,NA
Alongi_et_al_2000,Port Headland,M0027,Avicennia marina,NA,NA
Alongi_et_al_2000,Dampier,M0028,Rhizophora stylosa,NA,NA
Alongi_et_al_2000,Dampier,M0029,Avicennia marina,NA,NA
Alongi_et_al_2000,Cape Range National Park,M0030,Rhizophora stylosa,NA,NA
Alongi_et_al_2000,Cape Range National Park,M0031,Avicennia marina,NA,NA
Matsui_1998,Hinchinbrook,M0032,NA,NA,NA
Matsui_1998,Hinchinbrook,M0033,NA,NA,NA
Matsui_1998,Hinchinbrook,M0034,NA,NA,NA
Matsui_1998,Hinchinbrook,M0035,NA,NA,NA
Matsui_1998,Hinchinbrook,M0036,NA,NA,NA
Matsui_1998,Hinchinbrook,M0037,NA,NA,NA
Matsui_1998,Hinchinbrook,M0038,NA,NA,NA
Matsui_1998,Hinchinbrook,M0039,NA,NA,NA
Matsui_1998,Hinchinbrook,M0040,NA,NA,NA
Matsui_1998,Hinchinbrook,M0041,NA,NA,NA
Matsui_1998,Hinchinbrook,M0042,NA,NA,NA
Matsui_1998,Hinchinbrook,M0043,NA,NA,NA
Matsui_1998,Hinchinbrook,M0044,NA,NA,NA
Matsui_1998,Hinchinbrook,M0045,NA,NA,NA
Matsui_1998,Hinchinbrook,M0046,NA,NA,NA
Matsui_1998,Hinchinbrook,M0047,NA,NA,NA
Matsui_1998,Hinchinbrook,M0048,NA,NA,NA
Matsui_1998,Hinchinbrook,M0049,NA,NA,NA
Matsui_1998,Hinchinbrook,M0050,NA,NA,NA
Matsui_1998,Hinchinbrook,M0051,NA,NA,NA
Matsui_1998,Hinchinbrook,M0052,NA,NA,NA
Matsui_1998,Hinchinbrook,M0053,NA,NA,NA
Matsui_1998,Hinchinbrook,M0054,NA,NA,NA
Matsui_1998,Hinchinbrook,M0055,NA,NA,NA
Matsui_1998,Hinchinbrook,M0056,NA,NA,NA
Matsui_1998,Hinchinbrook,M0057,NA,NA,NA
Matsui_1998,Hinchinbrook,M0058,NA,NA,NA
Matsui_1998,Hinchinbrook,M0059,NA,NA,NA
Matsui_1998,Hinchinbrook,M0060,NA,NA,NA
Matsui_1998,Hinchinbrook,M0061,NA,NA,NA
Matsui_1998,Hinchinbrook,M0062,NA,NA,NA
Matsui_1998,Hinchinbrook,M0063,NA,NA,NA
Matsui_1998,Hinchinbrook,M0064,NA,NA,NA
Matsui_1998,Hinchinbrook,M0065,NA,NA,NA
Matsui_1998,Hinchinbrook,M0066,NA,NA,NA
Matsui_1998,Hinchinbrook,M0067,NA,NA,NA
Matsui_1998,Hinchinbrook,M0068,NA,NA,NA
Mckee_et_al_2002,Twin Cays,M0069,NA,NA,NA
Mckee_et_al_2002,Twin Cays,M0070,NA,NA,NA
Mckee_et_al_2002,Twin Cays,M0071,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0072,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0073,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0074,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0075,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0076,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0077,NA,NA,NA
Wooller_et_al_2003,Twin Cays,M0078,NA,NA,NA
Wooller_et_al_2003,Man of War Cay,M0079,NA,NA,NA
Lacerda_et_al_1995,Sepetiba Bay,M0080,Rhizophora mangle,NA,NA
Lacerda_et_al_1995,Sepetiba Bay,M0081,Avicennia schaueriana,NA,NA
Jennerjahn_and_Ittekkot_2002,Sepetiba Bay,M0082,NA,NA,NA
Jennerjahn_and_Ittekkot_1997,Mouth of Paraiba do Sul,M0083,NA,NA,NA
Alongi_et_al_2005,Fujian Province,M0084,Kandelia candel,NA,NA
Alongi_et_al_2005,Fujian Province,M0085,Kandelia candel,NA,NA
Alongi_et_al_2005,Fujian Province,M0086,Kandelia candel,NA,NA
Twilley_et_al_1997,Guayas River,M0087,NA,NA,NA
Twilley_et_al_1997,Guayas River,M0088,NA,NA,NA
Twilley_et_al_1997,Guayas River,M0089,NA,NA,NA
Twilley_et_al_1997,Guayas River,M0090,NA,NA,NA
Twilley_et_al_1997,Guayas River,M0091,NA,NA,NA
Twilley_et_al_1997,Guayas River,M0092,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0093,NA,NA,NA
"Marchand_et_al_2004,_Marchand_et_al_2003",Sinnamary,M0094,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0095,NA,NA,NA
Marchand_et_al_2003,Sinnamary,M0096,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0097,NA,NA,NA
"Marchand_et_al_2004,_Marchand_et_al_2003",Sinnamary,M0098,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0099,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0100,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0101,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0102,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0103,NA,NA,NA
Marchand_et_al_2004,Sinnamary,M0104,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0105,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0106,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0107,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0108,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0109,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0110,NA,NA,NA
Marchand_et_al_2004,Kaw River,M0111,NA,NA,NA
Lallier-Verges_et_al_1998,Guadeloupe,M0112,NA,NA,NA
Lallier-Verges_et_al_1998,Guadeloupe,M0113,NA,NA,NA
Lallier-Verges_et_al_1998,Guadeloupe,M0114,NA,NA,NA
Lallier-Verges_et_al_1998,Guadeloupe,M0115,NA,NA,NA
Lallier-Verges_et_al_1998,Guadeloupe,M0116,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0117,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0118,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0119,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0120,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0121,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0122,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0123,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0124,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0125,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0126,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0127,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0128,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0129,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0130,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0131,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0132,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0133,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0134,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0135,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0136,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0137,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0138,NA,NA,NA
Bouillon_et_al_2003,Coringa Wildlife Sanctuary,M0139,NA,NA,NA
Bouillon_et_al_2003,Galle,M0140,NA,NA,NA
Bouillon_et_al_2003,Galle,M0141,NA,NA,NA
Bouillon_et_al_2003,Galle,M0142,NA,NA,NA
Bouillon_et_al_2003,Galle,M0143,NA,NA,NA
Bouillon_et_al_2003,Galle,M0144,NA,NA,NA
Bouillon_et_al_2003,Galle,M0145,NA,NA,NA
Bouillon_et_al_2003,Galle,M0146,NA,NA,NA
Bouillon_et_al_2003,Galle,M0147,NA,NA,NA
Bouillon_et_al_2003,Galle,M0148,NA,NA,NA
Bouillon_et_al_2003,Galle,M0149,NA,NA,NA
Bouillon_et_al_2003,Galle,M0150,NA,NA,NA
Bouillon_et_al_2003,Galle,M0151,NA,NA,NA
Bouillon_et_al_2003,Galle,M0152,NA,NA,NA
Bouillon_et_al_2003,Galle,M0153,NA,NA,NA
Bouillon_et_al_2003,Galle,M0154,NA,NA,NA
Bouillon_et_al_2003,Galle,M0155,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0156,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0157,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0158,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0159,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0160,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0161,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0162,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0163,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0164,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0165,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0166,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0167,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0168,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0169,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0170,NA,NA,NA
Bouillon_et_al_2003,Chilaw Lagoon,M0171,NA,NA,NA
Abino_et_al_2014,Bahile,M0172,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0173,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0174,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0175,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0176,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0177,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0178,NA,NA,NA
Adame_et_al_2013,Quintana Roo,M0179,NA,NA,NA
Andreetta_et_al_2014,Kwale County,M0180,Avicennia marina,NA,NA
Andreetta_et_al_2014,Kwale County,M0181,Avicennia marina,NA,NA
Andreetta_et_al_2014,Kwale County,M0182,Avicennia marina,NA,NA
Andreetta_et_al_2014,Kwale County,M0183,Ceriops tagal,NA,NA
Andreetta_et_al_2014,Kwale County,M0184,Rhizophora mucronata,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0185,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0186,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0187,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0188,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0189,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0190,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0191,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0192,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0193,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0194,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0195,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0196,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0197,NA,NA,NA
Banerjee_et_al_2012,Indian Sundarbans,M0198,NA,NA,NA
Bianchi_et_al_2012,Texas,M0199,NA,NA,NA
Bianchi_et_al_2012,Texas,M0200,NA,NA,NA
Bianchi_et_al_2012,Texas,M0201,NA,NA,NA
Bianchi_et_al_2012,Texas,M0202,NA,NA,NA
Chen_et_al_2012,Mai Po Nature Reserve,M0203,Kandelia obvata,NA,NA
Chen_et_al_2012,Mai Po Nature Reserve,M0204,Kandelia obvata,NA,NA
Chen_et_al_2012,Mai Po Nature Reserve,M0205,Kandelia obvata,NA,NA
Chen_et_al_2014,North Sulawesi,M0206,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0207,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0208,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0209,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0210,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0211,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0212,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0213,NA,NA,NA
Chen_et_al_2014,North Sulawesi,M0214,NA,NA,NA
Dutta_et_al_2013,Indian Sundarbans,M0215,NA,NA,NA
Dutta_et_al_2013,Indian Sundarbans,M0216,NA,NA,NA
Dutta_et_al_2013,Indian Sundarbans,M0217,NA,NA,NA
Gleason_and_Ewel_2002,Kosrae,M0218,Sonneratia alba,NA,NA
Gleason_and_Ewel_2002,Kosrae,M0218,Bruguiera gymnorrhiza,NA,NA
Gleason_and_Ewel_2002,Kosrae,M0218,Rhizophora apiculata,NA,NA
Yuan_et_al_2014,Zhanjiang,M0219,NA,NA,NA
Yuan_et_al_2014,Zhanjiang,M0220,NA,NA,NA
Chanda_et_al_2013,Indian Sundarbans,M0221,NA,NA,NA
Chanda_et_al_2013,Indian Sundarbans,M0222,NA,NA,NA
Chanda_et_al_2013,Indian Sundarbans,M0223,NA,NA,NA
Chanda_et_al_2013,Indian Sundarbans,M0224,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0225,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0226,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0227,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0228,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0229,NA,NA,NA
Chen_et_al_2010,Deep Bay,M0230,NA,NA,NA
Chen_et_al_2010,Kowloon,M0231,NA,NA,NA
Chen_et_al_2010,Kowloon,M0232,NA,NA,NA
Chen_et_al_2016,Jiulong River Estuary,M0233,Kandelia obvata,NA,NA
Chen_et_al_2016,Jiulong River Estuary,M0234,Kandelia obvata,NA,NA
Chen_et_al_2016,Jiulong River Estuary,M0235,NA,NA,NA
Allen_et_al_2007,South East Queensland,M0236,NA,NA,NA
Leopold_et_al_2013,La Foa,M0237,Rhizophora spp,NA,NA
Leopold_et_al_2013,La Foa,M0238,Avicennia spp,NA,NA
Liu_et_al_2014,Guangxi,M0239,NA,NA,NA
Liu_et_al_2014,Guangxi,M0240,NA,NA,NA
Liu_et_al_2014,Guangxi,M0241,NA,NA,NA
Liu_et_al_2014,Guangxi,M0242,NA,NA,NA
Liu_et_al_2014,Guangxi,M0243,NA,NA,NA
Liu_et_al_2014,Guangxi,M0244,NA,NA,NA
Liu_et_al_2014,Guangxi,M0245,NA,NA,NA
Liu_et_al_2014,Guangxi,M0246,NA,NA,NA
Liu_et_al_2014,Guangxi,M0247,NA,NA,NA
Liu_et_al_2014,Guangxi,M0248,NA,NA,NA
Liu_et_al_2014,Guangxi,M0249,NA,NA,NA
Liu_et_al_2014,Guangxi,M0250,NA,NA,NA
Liu_et_al_2014,Guangxi,M0251,NA,NA,NA
Liu_et_al_2014,Guangxi,M0252,NA,NA,NA
Liu_et_al_2014,Guangxi,M0253,NA,NA,NA
Liu_et_al_2014,Guangxi,M0254,NA,NA,NA
Liu_et_al_2014,Guangxi,M0255,NA,NA,NA
Liu_et_al_2014,Hainan,M0256,NA,NA,NA
Liu_et_al_2014,Hainan,M0257,NA,NA,NA
Liu_et_al_2014,Hainan,M0258,NA,NA,NA
Liu_et_al_2014,Hainan,M0259,NA,NA,NA
