study_id,site_id,state,watershed,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,vegetation_class,vegetation_method,inundation_class
Abino_et_al_2014,Bahile,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Quintana Roo,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Chiapas,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agawin_et_al_1996,Cape_Bolinao,International,International,NA,16.45435,16.40815,119.92405,119.90545,NA,seagrass,NA,NA
Agawin_et_al_1996,Cape_Bolinao,International,International,NA,16.45435,16.40815,119.92405,119.90545,NA,seagrass,NA,NA
Ajonina_et_al_2014,Adounko Vilage,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Adounko Vilage,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Djegbadji Village,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Kpetou Village,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Al-Rousan_et_al_2005,Gulf_of_Aqaba,International,International,NA,29.537000000000003,29.453,34.980999999999995,34.969,NA,seagrass,NA,NA
Allen_et_al_2007,South East Queensland,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Along_et_al_2000_MEPS,Ca Mau,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Along_et_al_2000_MEPS,Ca Mau,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Along_et_al_2000_MEPS,Ca Mau,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Hinchinbrook,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Cape Range National Park,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Cape Range National Park,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Dampier,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Dampier,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Port Headland,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Port Headland,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sawi Bay,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sawi Bay,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sawi Bay,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sawi Bay,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Matang Mangrove Forest Reserve,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Matang Mangrove Forest Reserve,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Matang Mangrove Forest Reserve,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Fujian Province,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Fujian Province,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Fujian Province,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,"Awerange Bay, Sulawesi",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,S_Sulawesi,International,International,NA,-4.14,-4.14,119.36,119.36,NA,seagrass,NA,NA
Alongi_et_al_2008,S_Sulawesi,International,International,NA,-4.14,-4.14,119.36,119.36,NA,seagrass,NA,NA
Alongi_et_al_2008,S_Sulawesi,International,International,NA,-4.14,-4.14,119.36,119.36,NA,seagrass,NA,NA
Amon_and_Herndl_1991,Ischia_Italy,International,International,NA,40.7543,40.7543,13.8913,13.8913,NA,seagrass,NA,NA
Amon_and_Herndl_1991,Ischia_Italy,International,International,NA,40.7543,40.7543,13.8913,13.8913,NA,seagrass,NA,NA
Amon_and_Herndl_1991,Ischia_Italy,International,International,NA,40.7543,40.7543,13.8913,13.8913,NA,seagrass,NA,NA
Amon_and_Herndl_1991,Ischia_Italy,International,International,NA,40.7543,40.7543,13.8913,13.8913,NA,seagrass,NA,NA
Andreetta_et_al_2014,Kwale County,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Kwale County,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Kwale County,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Kwale County,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Kwale County,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,"Blaftchur, Oio",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,"Tande, Cacheu",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Psaromoura_Crete,International,International,NA,35.24,35.24,25.01,25.01,NA,seagrass,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolaki_unpublished,Sounion,International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",International,International,NA,NA,NA,NA,NA,NA,NA,NA,NA
