"","study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_organic_matter","cs137_activity","cs137_activity_se","cs137_unit","total_pb210_activity","total_pb210_activity_se","pb210_unit","ra226_activity","ra226_activity_se","ra226_unit"
"1","Schieder_and_Kirwan_2019","Goodwin Island","G1","russian corer",10,12,"fraction_organic_matter_1",NA,0.16156809426694,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"2","Schieder_and_Kirwan_2019","Goodwin Island","G1","russian corer",10,12,"fraction_organic_matter_2",NA,0.172124391157738,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"3","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",16,18,"fraction_organic_matter_1",NA,0.209475465313028,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"4","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",16,18,"fraction_organic_matter_2",NA,0.187693498452014,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"5","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",18,20,"fraction_organic_matter_1",NA,0.181949757055724,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"6","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",18,20,"fraction_organic_matter_2",NA,0.157430593358735,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"7","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",20,22,"fraction_organic_matter_1",NA,0.201636520241169,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"8","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",20,22,"fraction_organic_matter_2",NA,0.153289622428217,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"9","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",22,24,"fraction_organic_matter_1",NA,0.164422919060908,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"10","Schieder_and_Kirwan_2019","Goodwin Island","G3","russian corer",22,24,"fraction_organic_matter_2",NA,0.171678231817016,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"11","Schieder_and_Kirwan_2019","Goodwin Island","G5","russian corer",15,20,"fraction_organic_matter_1",NA,0.17988806424139,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"12","Schieder_and_Kirwan_2019","Goodwin Island","G5","russian corer",15,20,"fraction_organic_matter_2",NA,0.172449575199431,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"13","Schieder_and_Kirwan_2019","Goodwin Island","G6","russian corer",28,29,"fraction_organic_matter_1",NA,0.110161604196634,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"14","Schieder_and_Kirwan_2019","Goodwin Island","G6","russian corer",28,29,"fraction_organic_matter_2",NA,0.118335719700162,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"15","Schieder_and_Kirwan_2019","Goodwin Island","G6","russian corer",35,36,"fraction_organic_matter_1",NA,0.0861718926235076,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"16","Schieder_and_Kirwan_2019","Goodwin Island","G6","russian corer",35,36,"fraction_organic_matter_2",NA,0.0895413910894717,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"17","Schieder_and_Kirwan_2019","Goodwin Island","G7","russian corer",14,16,"fraction_organic_matter_1",NA,0.14388489208633,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"18","Schieder_and_Kirwan_2019","Goodwin Island","G7","russian corer",14,16,"fraction_organic_matter_2",NA,0.131353182899576,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"19","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",0,1,"replicate_2",0.320010191082803,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"20","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",1,2,"replicate_2",0.30028025477707,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"21","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",2,3,"replicate_2",0.423857324840764,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"22","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",3,4,"replicate_2",0.360264968152866,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"23","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",4,5,"replicate_2",0.411556687898089,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"24","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",5,6,"replicate_2",0.512550318471338,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"25","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",6,7,"replicate_2",0.558063694267516,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"26","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",7,8,"replicate_2",0.607154140127389,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"27","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",8,9,"replicate_2",0.512723566878981,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"28","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",9,10,"replicate_2",0.471928662420382,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"29","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",10,11,"replicate_2",0.503347770700637,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"30","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",11,12,"replicate_2",0.502461146496815,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"31","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",12,13,"replicate_2",0.61215796178344,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"32","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",13,14,"replicate_2",0.562180891719745,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"33","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",14,15,"replicate_2",0.552784713375796,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"34","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",15,16,"replicate_2",0.450771974522293,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"35","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",16,17,"replicate_2",0.453533757961783,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"36","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",17,18,"replicate_2",0.411556687898089,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"37","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",18,19,"replicate_2",0.41604076433121,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"38","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",19,20,"replicate_2",0.409233121019108,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"39","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",20,21,"replicate_2",0.516963057324841,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"40","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",21,22,"replicate_2",0.46715923566879,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"41","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",22,23,"replicate_2",0.578751592356688,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"42","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",23,24,"replicate_2",0.536907006369427,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"43","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",24,25,"replicate_2",0.682894267515924,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"44","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",25,26,"replicate_2",0.677605095541401,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"45","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",26,27,"replicate_2",0.757228025477707,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"46","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",27,28,"replicate_2",0.718756687898089,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"47","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",28,29,"replicate_2",0.862644585987261,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
"48","Schieder_and_Kirwan_2019","Goodwin Island","G12","russian corer",29,30,"replicate_2",0.669707006369427,NA,NA,NA,"DPM/g",NA,NA,"DPM/g",NA,NA,"DPM/g"
