study_id,method_id,site_id,core_id,depth_min,depth_max,dry_bulk_density
Trettin_et_al_2020,single set of methods,102,102,0,15,0.171631206
Trettin_et_al_2020,single set of methods,102,102,15,30,0.226728723
Trettin_et_al_2020,single set of methods,102,102,30,45,0.270124113
Trettin_et_al_2020,single set of methods,102,102,45,110,0.416046099
Trettin_et_al_2020,single set of methods,102,102,110,180,0.526728723
Trettin_et_al_2020,single set of methods,102,102,180,200,0.503324468
Trettin_et_al_2020,single set of methods,107,107,0,15,0.199349882
Trettin_et_al_2020,single set of methods,107,107,15,30,0.242819149
Trettin_et_al_2020,single set of methods,107,107,30,45,0.319946809
Trettin_et_al_2020,single set of methods,107,107,45,110,0.298492908
Trettin_et_al_2020,single set of methods,107,107,110,180,0.393794326
Trettin_et_al_2020,single set of methods,107,107,180,200,0.43927305
Trettin_et_al_2020,single set of methods,109,109,0,15,0.348463357
Trettin_et_al_2020,single set of methods,109,109,15,30,0.341755319
Trettin_et_al_2020,single set of methods,109,109,30,45,0.372960993
Trettin_et_al_2020,single set of methods,109,109,45,110,0.411702128
Trettin_et_al_2020,single set of methods,109,109,110,180,0.306870567
Trettin_et_al_2020,single set of methods,109,109,180,200,0.421054965
Trettin_et_al_2020,single set of methods,110,110,0,15,0.22570922
Trettin_et_al_2020,single set of methods,110,110,15,30,0.250044326
Trettin_et_al_2020,single set of methods,110,110,30,45,0.263297872
Trettin_et_al_2020,single set of methods,110,110,45,110,0.272340426
Trettin_et_al_2020,single set of methods,110,110,110,180,0.319902482
Trettin_et_al_2020,single set of methods,110,110,180,200,0.449069149
Trettin_et_al_2020,single set of methods,111,111,0,15,0.363297872
Trettin_et_al_2020,single set of methods,111,111,15,30,0.330452128
Trettin_et_al_2020,single set of methods,111,111,30,45,0.377836879
Trettin_et_al_2020,single set of methods,111,111,45,110,0.403856383
Trettin_et_al_2020,single set of methods,111,111,110,180,0.378590426
Trettin_et_al_2020,single set of methods,111,111,180,200,0.37947695
Trettin_et_al_2020,single set of methods,112,112,0,15,0.257328605
Trettin_et_al_2020,single set of methods,112,112,15,30,0.31768617
Trettin_et_al_2020,single set of methods,112,112,30,45,0.353989362
Trettin_et_al_2020,single set of methods,112,112,45,110,0.399955674
Trettin_et_al_2020,single set of methods,112,112,110,180,0.475842199
Trettin_et_al_2020,single set of methods,112,112,180,200,0.455629433
Trettin_et_al_2020,single set of methods,301,301,0,15,0.242375887
Trettin_et_al_2020,single set of methods,301,301,15,30,0.227349291
Trettin_et_al_2020,single set of methods,301,301,30,45,0.243423598
Trettin_et_al_2020,single set of methods,301,301,45,110,0.263076241
Trettin_et_al_2020,single set of methods,302,302,0,15,0.367612293
Trettin_et_al_2020,single set of methods,302,302,15,30,0.506781915
Trettin_et_al_2020,single set of methods,302,302,30,45,0.634840426
Trettin_et_al_2020,single set of methods,302,302,45,110,0.673005319
Trettin_et_al_2020,single set of methods,302,302,110,180,0.954787234
Trettin_et_al_2020,single set of methods,303,303,0,15,0.208510638
Trettin_et_al_2020,single set of methods,303,303,15,30,0.251595745
Trettin_et_al_2020,single set of methods,303,303,30,45,0.251529255
Trettin_et_al_2020,single set of methods,303,303,45,110,0.349667553
Trettin_et_al_2020,single set of methods,303,303,110,180,0.368284574
Trettin_et_al_2020,single set of methods,303,303,180,200,0.303523936
Trettin_et_al_2020,single set of methods,305,305,0,15,0.168971631
Trettin_et_al_2020,single set of methods,305,305,15,30,0.184973404
Trettin_et_al_2020,single set of methods,305,305,30,45,0.236702128
Trettin_et_al_2020,single set of methods,305,305,45,110,0.29787234
Trettin_et_al_2020,single set of methods,305,305,110,180,0.633599291
Trettin_et_al_2020,single set of methods,306,306,0,15,0.151477541
Trettin_et_al_2020,single set of methods,306,306,15,30,0.151551418
Trettin_et_al_2020,single set of methods,306,306,30,45,0.18054078
Trettin_et_al_2020,single set of methods,306,306,45,110,0.234796099
Trettin_et_al_2020,single set of methods,306,306,110,180,0.283466312
Trettin_et_al_2020,single set of methods,306,306,180,200,0.276329787
Trettin_et_al_2020,single set of methods,307,307,0,15,0.153664303
Trettin_et_al_2020,single set of methods,307,307,15,30,0.175265957
Trettin_et_al_2020,single set of methods,307,307,30,45,0.166090426
Trettin_et_al_2020,single set of methods,307,307,45,110,0.212278369
