study_id,method_id,site_id,core_id,depth_min,depth_max,dry_bulk_density
Trettin_et_al_2020,single set of methods,307,307,110,180,0.41077044
Trettin_et_al_2020,single set of methods,307,307,180,200,0.391680961
Trettin_et_al_2020,single set of methods,308,308,0,15,0.212647754
Trettin_et_al_2020,single set of methods,308,308,15,30,0.18856383
Trettin_et_al_2020,single set of methods,308,308,30,45,0.182092199
Trettin_et_al_2020,single set of methods,308,308,45,110,0.239804965
Trettin_et_al_2020,single set of methods,308,308,110,180,0.251374113
Trettin_et_al_2020,single set of methods,308,308,180,200,0.33643617
Trettin_et_al_2020,single set of methods,901,901,0,15,0.213297872
Trettin_et_al_2020,single set of methods,901,901,15,30,0.250975177
Trettin_et_al_2020,single set of methods,901,901,30,45,0.381427305
Trettin_et_al_2020,single set of methods,901,901,45,110,0.407712766
Trettin_et_al_2020,single set of methods,901,901,110,180,0.357579787
Trettin_et_al_2020,single set of methods,901,901,180,200,0.407358156
Trettin_et_al_2020,single set of methods,902,902,0,15,0.314125296
Trettin_et_al_2020,single set of methods,902,902,15,30,0.383289007
Trettin_et_al_2020,single set of methods,902,902,30,45,0.447251773
Trettin_et_al_2020,single set of methods,902,902,45,110,0.485416667
Trettin_et_al_2020,single set of methods,902,902,110,180,0.454875887
Trettin_et_al_2020,single set of methods,902,902,180,200,0.444237589
Trettin_et_al_2020,single set of methods,904,904,0,15,0.324172577
Trettin_et_al_2020,single set of methods,904,904,15,30,0.286746454
Trettin_et_al_2020,single set of methods,904,904,30,45,0.374069149
Trettin_et_al_2020,single set of methods,904,904,45,110,0.446409574
Trettin_et_al_2020,single set of methods,904,904,110,180,0.40285904299999997
Trettin_et_al_2020,single set of methods,904,904,180,200,0.453656915
Trettin_et_al_2020,single set of methods,905,905,0,15,0.145921986
Trettin_et_al_2020,single set of methods,905,905,15,30,0.176108156
Trettin_et_al_2020,single set of methods,905,905,30,45,0.199246454
Trettin_et_al_2020,single set of methods,905,905,45,110,0.249556738
Trettin_et_al_2020,single set of methods,905,905,110,180,0.360150709
Trettin_et_al_2020,single set of methods,905,905,180,200,0.35212766
