study_id,core_id,date,version
Boyd_2012,BBRC_1,2018-11-19,0.0.0
Boyd_2012,BBRC_2,2018-11-19,0.0.0
Boyd_2012,NCBD_1,2018-11-19,0.0.0
Boyd_2012,NCBD_2,2018-11-19,0.0.0
Boyd_2012,NCBD_3,2018-11-19,0.0.0
Boyd_2012,NCBW_1,2018-11-19,0.0.0
Boyd_2012,NCBW_2,2018-11-19,0.0.0
Boyd_2012,NCBW_3,2018-11-19,0.0.0
Boyd_2012,NCGB_1,2018-11-19,0.0.0
Boyd_2012,NCGB_2,2018-11-19,0.0.0
Boyd_2012,NCGB_3,2018-11-19,0.0.0
Boyd_2012,LC_1,2018-11-19,0.0.0
Boyd_2012,LC_2,2018-11-19,0.0.0
Boyd_2012,LC_3,2018-11-19,0.0.0
Boyd_2012,NCLM_1,2018-11-19,0.0.0
Boyd_2012,NCLM_2,2018-11-19,0.0.0
Boyd_2012,NCLM_3,2018-11-19,0.0.0
Boyd_2012,PK_1,2018-11-19,0.0.0
Boyd_2012,PK_2,2018-11-19,0.0.0
Boyd_2012,PK_3,2018-11-19,0.0.0
Boyd_2012,MH_1,2018-11-19,0.0.0
Boyd_2012,MH_2,2018-11-19,0.0.0
Boyd_2012,MH_3,2018-11-19,0.0.0
Boyd_2012,NCRE_1,2018-11-19,0.0.0
Boyd_2012,NCRE_2,2018-11-19,0.0.0
Boyd_2012,NCRE_3,2018-11-19,0.0.0
Boyd_2012,TH_1,2018-11-19,0.0.0
Boyd_2012,TH_2,2018-11-19,0.0.0
Boyd_2012,TH_3,2018-11-19,0.0.0
Boyd_2012,TH_4,2018-11-19,0.0.0
Boyd_2012,TH_5,2018-11-19,0.0.0
Boyd_2012,TH_6,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_01,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_02,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_03,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_04,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_05,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_06,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_07,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_08,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_09,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_10,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_11,2018-11-19,0.0.0
Boyd_and_Sommerfield_2016,PM_12,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_1,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_3,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_5,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_7,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_8,2018-11-19,0.0.0
Breithaupt_et_al_2014,SH3_9,2018-11-19,0.0.0
Breithaupt_et_al_2017,TTI1,2018-11-19,0.0.0
Breithaupt_et_al_2017,TTI2,2018-11-19,0.0.0
Breithaupt_et_al_2017,TTI3,2018-11-19,0.0.0
Breithaupt_et_al_2017,TTI4,2018-11-19,0.0.0
Breithaupt_et_al_2017,TTI5,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC11,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC12,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC13_2,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC07,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC08A,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC08B,2018-11-19,0.0.0
Breithaupt_et_al_2017,WSC09,2018-11-19,0.0.0
