study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,language
Luk_et_al_2020_a,Luk_et_al_2021,Article,Luk_et_al_2021,Article,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),48,2,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Geophysical Research Letters,NA
Luk_et_al_2020_b,Luk_et_al_2021,Article,Luk_et_al_2021,Article,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),48,2,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Geophysical Research Letters,NA
Luk_et_al_2020_a,Spivak_2020,Misc,Spivak_2020,Misc,10.26008/1912/bco-dmo.827298.1,https://hdl.handle.net/1912/26379,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,Amanda Spivak,Bulk soil and elemental properties of marsh and infilled pond soils collected in 2014-2015 within Plum Island Ecosystems LTER,NA,en
Luk_et_al_2020_b,Luk_et_al_2020,Misc,Luk_et_al_2020,Misc,10.5066/p9hiowkt,https://www.sciencebase.gov/catalog/item/5fb41153d34eb413d5e0af37,2020,NA,U.S. Geological Survey,NA,NA,Sheron Luk and Amanda Spivak and Meagan J Eagle and Jennifer A {O'keefe Suttles},"Collection, analysis, and age-dating of sediment cores from a salt marsh platform and ponds, Rowley, Massachusetts, 2014-15",NA,NA
