DataID,PublicationID,Author,Year,Study_venue,Country,Latitude,Longitude,Ecosystem,Temperature,Precipitation,Plant_growth_form,Source_response_plants,Consumer_Taxon,Consumer_Bone_type,Consumer_trophic_level,Consumer_Feeding_type,Consumer_Thermal_strategy,Consumer_manipulation_method,uniqueGroup,Ambient,Data_note,Carbon_measure,Soil_core_depth,Resp_subtotal,n1,mean1,SD1,n2,mean2,SD2,lnRR,Var,
D001,S001,Alberti_et_al,2011,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Mixed,Natural,SmallMammal,Vertebrate,Herbivores,Above,Warm,Excluded,U001,Yes,Fig1B_No_nutrient,APC,NA,Total,8,71.5026,17.586,8,21.762,14.655,-1.1896,0.0642,
D002,S001,Alberti_et_al,2011,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Mixed,Natural,SmallMammal,Vertebrate,Herbivores,Above,Warm,Excluded,U002,No,Fig1B_Nutrient_addition,APC,NA,Total,8,164.767,46.895,8,50.777,20.517,-1.1771,0.0305,
D003,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U003,No,Fig2b_Nutrient_enriched,APC,NA,Total,8,134.211,37.214,8,110.526,42.18,-0.1942,0.0278,
D004,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U004,No,Fig2c_Nutrient_enriched,APC,NA,Total,8,38.261,19.061,8,25.652,9.223,-0.3998,0.0472,
D005,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U005,Yes,Fig2c_Nutrient_control,APC,NA,Total,8,26.522,11.068,8,21.739,13.527,-0.1989,0.0702,
D006,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U006,Yes,Fig2a_Nutrient_control,APC,NA,Total,8,146.087,39.352,8,107.826,49.189,-0.3037,0.0351,
D007,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U007,No,Fig2a_Nutrient_enriched,APC,NA,Total,8,605.217,186.922,8,525.217,186.922,-0.1418,0.0278,
D008,S002,Alberti_et_al,2010,Field,Argentina,-37.75,-57.43,Marsh,14.29,905.59,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Excluded,U008,Yes,Fig2b_Nutrient_control,APC,NA,Total,8,21.93,4.962,8,15.79,7.443,-0.3285,0.0342,
D009,S003,Angelini_et_al,2018,Field,USA_GA,31.42,-81.29,Marsh,19.57,1309.93,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Addition,U009,Yes,Fig3d_ambient_salt,APC,NA,Total,8,1.7002,0.220900158,8,1.0616,0.40559645,-0.4710,0.0204,
D010,S003,Angelini_et_al,2018,Field,USA_GA,31.42,-81.29,Marsh,19.57,1309.93,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Addition,U010,No,Fig3d_elevated_salt,APC,NA,Total,8,1.5855,0.257386868,8,0.4861,0.200535483,-1.1822,0.0246,
D011,S003,Angelini_et_al,2018,Field,USA_GA,31.42,-81.29,Marsh,19.57,1309.93,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Addition,U011,Yes,Fig3e_ambient_salt,BPC,NA,Total,8,12.2327,4.646540081,8,5.7917,2.222860877,-0.7477,0.0364,
D012,S003,Angelini_et_al,2018,Field,USA_GA,31.42,-81.29,Marsh,19.57,1309.93,Grass,Natural,Crab,Invertebrate,Herbivores,Above_below,Cold,Addition,U012,No,Fig3e_elevated_salt,BPC,NA,Total,8,11.4413,4.046630687,8,4.8268,1.621820113,-0.8630,0.0297,
D013,S004,Angelini_Silliman,2012,Field,USA_GA,31.40,-81.28,Marsh,19.59,1311.60,Grass,Transplant,Snail,Invertebrate,Herbivores,Above,Cold,Excluded,U013,Yes,Fig3d_Neighbors_present,APC,NA,Total,12,32.613,7.966,12,25.296,6.518,-0.2541,0.0105,
D014,S004,Angelini_Silliman,2012,Field,USA_GA,31.40,-81.28,Marsh,19.59,1311.60,Grass,Transplant,Snail,Invertebrate,Herbivores,Above,Cold,Excluded,U014,No,Fig3d_Neighbors_removed,APC,NA,Total,12,46.202,18.829,12,33.45,10.139,-0.3230,0.0215,
D015,S005,Atkins_et_al,2015,Field,USA_GA,31.65,-81.45,Marsh,19.25,1273.08,Grass,Natural,Snail,Invertebrate,Herbivores,Above,Cold,Addition,U015,Yes,Author_150_Small,APC,NA,Total,3,18.778,3.913,3,21.34,0.727,0.1279,0.0149,
D016,S005,Atkins_et_al,2015,Field,USA_GA,31.65,-81.45,Marsh,19.25,1273.08,Grass,Natural,Snail,Invertebrate,Herbivores,Above,Cold,Addition,U016,Yes,Author_200_Small,APC,NA,Total,3,18.778,3.913,3,25.137,4.798,0.2917,0.0266,
D017,S005,Atkins_et_al,2015,Field,USA_GA,31.65,-81.45,Marsh,19.25,1273.08,Grass,Natural,Snail,Invertebrate,Herbivores,Above,Cold,Addition,U017,Yes,Author_300_Small,APC,NA,Total,3,18.778,3.913,3,15.95,7.737,-0.1632,0.0929,
D018,S005,Atkins_et_al,2015,Field,USA_GA,31.65,-81.45,Marsh,19.25,1273.08,Grass,Natural,Snail,Invertebrate,Herbivores,Above,Cold,Excluded,U018,Yes,Author_35_Large,APC,NA,Total,3,18.778,3.913,3,23.82,7.101,0.2378,0.0441,
