Source,Site,Core,Habitat_type,Latitude,Longitude,Elevation,accuracy_flag,Country,Year_collected,U_depth_m,U_deco_depth_m,L_depth_m,L_deco_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.02,0.05,0.04,0.09,Elemental analyser,3.0943822,0.323001616,8.658346334,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.06,0.14,0.08,0.18,Elemental analyser,4.2068036,0.319381928,10.50598687,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.12,0.25,0.14,0.29,Elemental analyser,2.917013,0.387968202,8.426517572,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.16,0.32,0.18,0.35,Elemental analyser,3.1526236,0.478263712,7.25308642,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.22,0.42,0.24,0.45,Elemental analyser,3.2067115,0.556949319,7.813113467,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.26,0.47,0.28,0.5,Elemental analyser,2.6334252,0.619660927,6.459143969,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.32,0.56,0.34,0.58,Elemental analyser,2.5428565,0.685847467,7.361355896,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.36,0.61,0.38,0.63,Elemental analyser,2.5453501,0.88891176,6.732673267,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.42,0.68,0.44,0.7,Elemental analyser,1.8066517,1.066802571,4.857030944,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.46,0.73,0.48,0.75,Elemental analyser,1.9612636,1.075487391,4.554377699,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,0.84,1.13,0.86,1.15,Elemental analyser,3.5469369,1.264575912,4.101951414,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN3A,Saltmarsh,52.73272148,-4.025226139,1.678,direct from dataset,UK,2017,1.06,1.35,1.08,1.37,Elemental analyser,0.3375344,1.539052967,1.11332008,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.02,0.04,0.04,0.08,Elemental analyser,3.7556691,0.372860947,7.575757576,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.06,0.11,0.08,0.15,Elemental analyser,4.4192958,0.379103059,8.831683168,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.12,0.22,0.14,0.25,Elemental analyser,3.1935448,0.446988613,8.156737305,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.18,0.31,0.2,0.33,Elemental analyser,2.6782559,0.506285545,7.122960605,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.24,0.39,0.26,0.42,Elemental analyser,2.0919496,0.669949785,6.133540373,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.3,0.47,0.32,0.49,Elemental analyser,0.7210873,1.037226865,2.622445044,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.34,0.52,0.36,0.54,Elemental analyser,0.9935459,1.133823536,2.734839477,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.4,0.59,0.42,0.61,Elemental analyser,0.6011524,1.360282446,1.602188355,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.44,0.63,0.46,0.65,Elemental analyser,0.3823512,1.382060998,1.385681293,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.48,0.68,0.5,0.7,Elemental analyser,0.521863,1.454557416,1.649646504,NA
