study_id,site_id,core_id,year,month,day,latitude,longitude,vegetation_class,vegetation_method,habitat,core_length_flag
McGlathery_et_al_2018,SouthBay,SB152_C2,2011,7,1,37.262120711587954,-75.81515220407812,seagrass,field observation,seagrass,core depth limited by length of corer
McGlathery_et_al_2018,SouthBay,SB_B5_C2,2011,10,15,37.26989796372399,-75.82419167313394,seagrass,field observation,mudflat,core depth limited by length of corer
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,2014,6,17,37.27156674257067,-75.81227678039454,seagrass,field observation,seagrass,core depth limited by length of corer
McGlathery_et_al_2018,ManAndBoyChannel,2B,2014,6,16,37.26733763627613,-75.82683671599045,seagrass,field observation,mudflat,core depth limited by length of corer
