Type,Site,Latitude_N,Longitude_E,accuracy_flag,Dominant_halophyte_species-genera,Age_status,Sampling_date_year-month-date,SOC_percent,SOC_accuracy,DBD_g_cm3,DBD_accuracy,SOC_stock_MgC_ha,SOCD_accuracy,Source,Ref_number,Reference_detail
Mangrove,"Fuding, Fujian",27.2778,120.2989,exact,K. obovata,150 (Natural),nd,2.2,reported,1.08,estimated from SOCD and SOC,182,sampled to 1m,Yan et al 2013,1,"1. Yan, J., He, D., Li, X., Wang, R., Cai, J., You, W., ... & Xiao, S. (2013). Comparative studies on the carbon storage between the Kandelia candel natural forests and plantations in north mangrove forests of China. Chinese Journal of Tropical Crops, 34, 1395-1401. (In Chinese)."
Mangrove,"Fuding, Fujian",27.2661,120.2028,exact,K. obovata,7 (Restored),nd,1.7,reported,1.06,estimated from SOCD and SOC,139.1,sampled to 1m,Yan et al 2013,1,"1. Yan, J., He, D., Li, X., Wang, R., Cai, J., You, W., ... & Xiao, S. (2013). Comparative studies on the carbon storage between the Kandelia candel natural forests and plantations in north mangrove forests of China. Chinese Journal of Tropical Crops, 34, 1395-1401. (In Chinese)."
Mangrove,"Jiulong River Estuary, Fujian",24.3908,117.9105,exact,K. obovata,12 (Restored),201006,1.59,reported,0.82,reported,129.9,sampled to 1m,Chen et al 2018,2,"2. Chen, G., Gao, M., Pang, B., Chen, S., & Ye, Y. (2018). Top-meter soil organic carbon stocks and sources in restored mangrove forests of different ages. Forest Ecology and Management, 422, 87-94."
Mangrove,"Jiulong River Estuary, Fujian",24.3905,117.9092,exact,K. obovata,24 (Restored),201006,1.73,reported,0.87,reported,150,sampled to 1m,Chen et al 2018,2,"2. Chen, G., Gao, M., Pang, B., Chen, S., & Ye, Y. (2018). Top-meter soil organic carbon stocks and sources in restored mangrove forests of different ages. Forest Ecology and Management, 422, 87-94."
Mangrove,"Jiulong River Estuary, Fujian",24.3916,117.9154,exact,K. obovata,48 (Restored),201006,1.92,reported,0.88,reported,169.7,sampled to 1m,Chen et al 2018,2,"2. Chen, G., Gao, M., Pang, B., Chen, S., & Ye, Y. (2018). Top-meter soil organic carbon stocks and sources in restored mangrove forests of different ages. Forest Ecology and Management, 422, 87-94."
Mangrove,"Zhang River Estuary, Fujian",23.9283,117.4517,estimated from map,K. obovata +A. corniculatum +A. marina,nd,201506,0.85,reported,1.28,estimated from SOC,106.6,sampled to 1m,Li et al 2018,3,"3. Li, D., Xu, Y., Li, Y., Wang, J., Yin, X., Ye, X., ... & Wang, L. (2018). Sedimentary records of human activity and natural environmental evolution in sensitive ecosystems: A case study of a coral nature reserve in Dongshan Bay and a mangrove forest nature reserve in Zhangjiang River estuary, Southeast China. Organic Geochemistry, 121, 22-35."
Mangrove,"Zhang River Estuary, Fujian",23.9288,117.4376,estimated from map,K. obovata,4 (Restored),201408,0.64,extrapolated,1.02,reported,63.6,extrapolated to 1m,Feng et al 2017,4,"4. Feng, J., Zhou, J., Wang, L., Cui, X., Ning, C., Wu, H., ... & Lin, G. (2017). Effects of short-term invasion of Spartina alterniflora and the subsequent restoration of native mangroves on the soil organic carbon, nitrogen and phosphorus stock. Chemosphere, 184, 774-783."
Mangrove,"Zhang River Estuary, Fujian",23.9288,117.4458,estimated from map,K. obovata,14 (Restored),201408,0.95,extrapolated,0.86,reported,80.9,extrapolated to 1m,Feng et al 2017,4,"4. Feng, J., Zhou, J., Wang, L., Cui, X., Ning, C., Wu, H., ... & Lin, G. (2017). Effects of short-term invasion of Spartina alterniflora and the subsequent restoration of native mangroves on the soil organic carbon, nitrogen and phosphorus stock. Chemosphere, 184, 774-783."
Mangrove,"Zhang River Estuary, Fujian",23.9271,117.4188,estimated from map,K. obovata,Nature,201408,1.66,extrapolated,0.73,reported,115.3,extrapolated to 1m,Feng et al 2017,4,"4. Feng, J., Zhou, J., Wang, L., Cui, X., Ning, C., Wu, H., ... & Lin, G. (2017). Effects of short-term invasion of Spartina alterniflora and the subsequent restoration of native mangroves on the soil organic carbon, nitrogen and phosphorus stock. Chemosphere, 184, 774-783."
Mangrove,"Zhang River Estuary, Fujian",23.8833,117.3833,exact,K. obovata,nd,201305-201307,1.42,reported,0.78,reported,105,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Zhang River Estuary, Fujian",23.8833,117.3833,exact,A. marina,nd,201305-201307,1.13,reported,0.85,reported,88,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Zhang River Estuary, Fujian",23.9228,117.4191,estimated from map,K. obovata,nd,nd,1.67,reported,1.05,extrapolated to 1m,148.8,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Zhang River Estuary, Fujian",23.9297,117.42,estimated from map,A. corniculatum,nd,nd,1.45,reported,1.11,extrapolated to 1m,129.1,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Zhang River Estuary, Fujian",23.9183,117.4228,estimated from map,A. marina,nd,nd,1.12,reported,1.17,extrapolated to 1m,101.7,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Zhang River Estuary, Fujian",nd,nd,no location,nd,nd,201707,1.35,reported,1.11,reported,147.4,sampled to 1m,Sun et al 2018,7,"7. Sun, H., Jiang, J., Cui, L., Zhang, S., & Zhang, J. (2018). Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary. Chinese Journal of Plant Ecology, 42, 774-784.  (in Chinese)."
