"","Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"1","JBK11 RP Seaward","M0001",0,0.15,0.075,0.2,21.5,0.043
"2","JBK11 RP Seaward","M0001",0.15,0.3,0.225,0.2,19.9,0.04
"3","JBK11 RP Seaward","M0001",0.3,0.5,0.4,0.18,18.5,0.033
"4","JBK11 RP Seaward","M0001",0.5,0.89,0.695,0.18,17.2,0.031
"5","JBK11 RP Interior","M0002",0,0.15,0.075,0.22,17.7,0.039
"6","JBK11 RP Interior","M0002",0.15,0.3,0.225,0.23,20.4,0.047
"7","JBK11 RP Interior","M0002",0.3,0.5,0.4,0.2,21.1,0.042
"8","JBK11 RP Interior","M0002",0.5,1.01,0.755,0.25,18.7,0.047
"9","JBK11 RP Landward","M0003",0,0.15,0.075,0.36,12,0.043
"10","JBK11 RP Landward","M0003",0.15,0.3,0.225,0.27,17.3,0.047
"11","JBK11 RP Landward","M0003",0.3,0.5,0.4,0.32,19.1,0.061
"12","JBK11 RP Landward","M0003",0.5,1,0.75,0.31,17,0.053
"13","JBK11 RP Landward","M0003",1,1.6,1.3,0.31,17,0.053
"14","JBK11 Yap Seaward","M0004",0,0.15,0.075,0.27,12.2,0.033
"15","JBK11 Yap Seaward","M0004",0.15,0.3,0.225,0.32,12.1,0.039
"16","JBK11 Yap Seaward","M0004",0.3,0.5,0.4,0.34,10.8,0.037
"17","JBK11 Yap Seaward","M0004",0.5,1,0.75,0.34,13.7,0.047
"18","JBK11 Yap Seaward","M0004",1,1.48,1.24,0.34,13.7,0.047
"19","JBK11 Yap Interior","M0005",0,0.15,0.075,0.51,7.3,0.037
"20","JBK11 Yap Interior","M0005",0.15,0.3,0.225,0.48,8.4,0.04
"21","JBK11 Yap Interior","M0005",0.3,0.5,0.4,0.37,9.6,0.036
"22","JBK11 Yap Interior","M0005",0.5,1,0.75,0.41,7.5,0.031
"23","JBK11 Yap Interior","M0005",1,1.59,1.295,0.41,7.5,0.031
"24","JBK11 Yap Landward","M0006",0,0.15,0.075,0.41,10.7,0.044
"25","JBK11 Yap Landward","M0006",0.15,0.3,0.225,0.44,12.5,0.055
"26","JBK11 Yap Landward","M0006",0.3,0.5,0.4,0.5,11.6,0.058
"27","JBK11 Yap Landward","M0006",0.5,1,0.75,0.5,9.4,0.047
"28","JBK11 Yap Landward","M0006",1,2.31,1.655,0.5,9.4,0.047
"29","JBK14 Alta 3","M0007",0,0.15,0.075,0.22,25.86,0.057
"30","JBK14 Alta 3","M0007",0.15,0.3,0.225,0.21,23.08,0.048
"31","JBK14 Alta 3","M0007",0.3,0.5,0.4,0.35,18.29,0.064
