"[Abbreviations: ID, identification; mg, milligrams; ?, delta; N, nitrogen; C, carbon; VPDB, Vienna Pee Dee Belemnite; %, percent]"										
Sample ID	Lab ID	Date Analyzed	Sample Preparation	Sample Weight (mg)	 ?15NAIR	 ?13CVPDB	%N	%C	C:N	Comments
14CCT01-GB40G	15-7551	4/2/2015	"fumigated in silver, doubled in tin"	51.5	3.7	-26.2	0.09	1.1	13.1	
14CCT01-GB44G	15-7552	4/2/2015	"fumigated in silver, doubled in tin"	38.1	3.7	-25.7	0.14	1.8	13	
14CCT01-GB46G	15-7553	4/2/2015	"fumigated in silver, doubled in tin"	28	5.5	-25	0.21	2.6	12.4	
14CCT01-GB47G	15-7554	4/2/2015	"fumigated in silver, doubled in tin"	36.1	4.6	-24.7	0.13	1.6	11.9	
14CCT01-GB48G	15-7555	4/2/2015	"fumigated in silver, doubled in tin"	32.5	5.5	-25.3	0.17	2.1	12.3	
14CCT01-GB51G	15-7556	4/2/2015	"fumigated in silver, doubled in tin"	42.8	5.9	-24.5	0.11	1.3	12	
14CCT01-GB52G	15-7557	4/2/2015	"fumigated in silver, doubled in tin"	34	6.3	-24.2	0.12	1.5	12.2	
14CCT01-GB58G	15-7558	4/2/2015	"fumigated in silver, doubled in tin"	32.7	6.1	-22.8	0.08	0.8	10.7	
14CCT01-GB59G	15-7559	4/2/2015	"fumigated in silver, doubled in tin"	74.4	5.5	-23.5	0.04	0.5	10.2	
14CCT01-GB61G	15-7560	4/2/2015	"fumigated in silver, doubled in tin"	37	7	-23	0.08	0.7	9.1	
14CCT01-GB62G	15-7561	4/2/2015	"fumigated in silver, doubled in tin"	69.4	6.1	-22.9	0.04	0.4	8	
14CCT01-GB63G		8/13/2015	"fumigated in silver, doubled in tin"	65.2	5.8	-22.7	0.05	0.4	8.3	
14CCT01-GB65G		8/13/2015	"fumigated in silver, doubled in tin"	75	6.5	-20.7	0.03	0.2	6.4	
14CCT01-GB30S		8/13/2015	"fumigated in silver, doubled in tin"	14.4	2.7	-26.5	0.76	14.5	19.1	
14CCT01-GB33S		8/13/2015	"fumigated in silver, doubled in tin"	74.7	1.4	-18	0.01	0.1	9.5	
14CCT01-GB38S		8/13/2015	"fumigated in silver, doubled in tin"	71.5	4.1	-22.4	0.02	0.3	13.8	
14CCT01-GB39S		8/13/2015	"fumigated in silver, doubled in tin"	12.1	3.4	-23.3	0.58	8.1	14.1	
14CCT01-GB42S		8/13/2015	"fumigated in silver, doubled in tin"	35.9	3.3	-17.9	0.16	2.3	14.7	
14CCT01-GB49S		8/13/2015	"fumigated in silver, doubled in tin"	6.9	1.9	-27.4	1.11	18.5	16.6	
14CCT01-GB50S		8/13/2015	"fumigated in silver, doubled in tin"	18.6	ND	ND	ND	ND	ND	"No data reported, instrument  malfunction"
14CCT01-GB53S		8/13/2015	"fumigated in silver, doubled in tin"	25	ND	ND	ND	ND	ND	"No data reported, instrument  malfunction"
14CCT01-GB54S		8/13/2015	"fumigated in silver, doubled in tin"	24.4	ND	ND	ND	ND	ND	"No data reported, instrument  malfunction"
14CCT01-GB55S		8/13/2015	"fumigated in silver, doubled in tin"	12.2	ND	ND	ND	ND	ND	"No data reported, instrument  malfunction"
