Core,Date_Collected,UTMY,UTMX,Core_Top,Core_Bottom,Midpoint_Depth ,Lead210,C
SB152-C2,2011-07-01,4124262.238,427720.0333,0,1,0.5,1.119,5.565
SB152-C2,2011-07-01,4124262.238,427720.0333,1,2,1.5,1.669,7.752
SB152-C2,2011-07-01,4124262.238,427720.0333,2,3,2.5,1.948,7.524
SB152-C2,2011-07-01,4124262.238,427720.0333,3,4,3.5,2.254,9.222
SB152-C2,2011-07-01,4124262.238,427720.0333,4,5,4.5,2.284,11.264
SB152-C2,2011-07-01,4124262.238,427720.0333,5,6,5.5,1.477,8.12
SB152-C2,2011-07-01,4124262.238,427720.0333,6,7,6.5,1.235,7.598
SB152-C2,2011-07-01,4124262.238,427720.0333,7,8,7.5,1.113,7.336
SB152-C2,2011-07-01,4124262.238,427720.0333,8,9,8.5,1.122,6.048
SB152-C2,2011-07-01,4124262.238,427720.0333,9,10,9.5,1.040,7.406
SB152-C2,2011-07-01,4124262.238,427720.0333,10,11,10.5,0.971,5.32
SB152-C2,2011-07-01,4124262.238,427720.0333,11,12,11.5,0.720,3.973
SB152-C2,2011-07-01,4124262.238,427720.0333,12,13,12.5,0.764,4.263
SB152-C2,2011-07-01,4124262.238,427720.0333,13,14,13.5,0.695,4.526
SB152-C2,2011-07-01,4124262.238,427720.0333,14,15,14.5,0.826,3.975
SB152-C2,2011-07-01,4124262.238,427720.0333,15,16,15.5,0.532,3.8
SB152-C2,2011-07-01,4124262.238,427720.0333,16,17,16.5,0.473,3.381
SB152-C2,2011-07-01,4124262.238,427720.0333,17,18,17.5,0.539,3.473
SB152-C2,2011-07-01,4124262.238,427720.0333,18,19,18.5,0.611,5.152
SB152-C2,2011-07-01,4124262.238,427720.0333,19,20,19.5,0.787,8.17
SB-B5-C2,2011-10-15,426926,4125132,0,1,0.5,0.477,2.720
SB-B5-C2,2011-10-15,426926,4125132,1,2,1.5,0.518,2.516
SB-B5-C2,2011-10-15,426926,4125132,2,3,2.5,0.490,3.042
SB-B5-C2,2011-10-15,426926,4125132,3,4,3.5,0.759,5.644
SB-B5-C2,2011-10-15,426926,4125132,4,5,4.5,0.613,4.725
SB-B5-C2,2011-10-15,426926,4125132,5,6,5.5,0.636,3.900
SB-B5-C2,2011-10-15,426926,4125132,6,7,6.5,0.625,4.732
SB-B5-C2,2011-10-15,426926,4125132,7,8,7.5,0.575,6.120
SB-B5-C2,2011-10-15,426926,4125132,8,9,8.5,0.775,2.826
SB-B5-C2,2011-10-15,426926,4125132,9,10,9.5,0.767,5.313
SB-B5-C2,2011-10-15,426926,4125132,10,11,10.5,0.834,7.240
SB-B5-C2,2011-10-15,426926,4125132,11,12,11.5,0.749,7.783
SB-B5-C2,2011-10-15,426926,4125132,12,13,12.5,0.764,6.256
SB-B5-C2,2011-10-15,426926,4125132,13,14,13.5,0.699,6.174
SB-B5-C2,2011-10-15,426926,4125132,14,15,14.5,0.780,6.885
SB-B5-C2,2011-10-15,426926,4125132,15,16,15.5,0.612,6.090
SB-B5-C2,2011-10-15,426926,4125132,16,17,16.5,0.643,7.406
