Core,Date_Collected,UTMY,UTMX,Core_Top,Core_Bottom,Midpoint_Depth ,Lead210,C
SB-B5-C2,2011-10-15,426926,4125132,17,18,17.5,0.524,5.850
SB-B5-C2,2011-10-15,426926,4125132,18,19,18.5,0.750,6.952
SB-B5-C2,2011-10-15,426926,4125132,19,20,19.5,0.543,9.460
T1-9,2014-06-17,427984,4125308,0,1,0.5,0.771,7.056
T1-9,2014-06-17,427984,4125308,1,2,1.5,0.990,6.413
T1-9,2014-06-17,427984,4125308,2,3,2.5,0.877,5.098
T1-9,2014-06-17,427984,4125308,3,4,3.5,0.740,5.204
T1-9,2014-06-17,427984,4125308,4,5,4.5,0.806,5.174
T1-9,2014-06-17,427984,4125308,5,6,5.5,0.871,2.997
T1-9,2014-06-17,427984,4125308,6,7,6.5,1.553,3.786
T1-9,2014-06-17,427984,4125308,7,8,7.5,1.012,8.045
T1-9,2014-06-17,427984,4125308,8,9,8.5,0.802,5.562
T1-9,2014-06-17,427984,4125308,9,10,9.5,0.831,5.735
T1-9,2014-06-17,427984,4125308,10,11,10.5,0.886,5.511
T1-9,2014-06-17,427984,4125308,11,12,11.5,0.571,3.092
T1-9,2014-06-17,427984,4125308,12,13,12.5,0.376,2.786
T1-9,2014-06-17,427984,4125308,13,14,13.5,0.361,3.791
T1-9,2014-06-17,427984,4125308,14,15,14.5,0.445,2.986
T1-9,2014-06-17,427984,4125308,15,16,15.5,0.293,3.034
T1-9,2014-06-17,427984,4125308,16,17,16.5,0.433,2.932
T1-9,2014-06-17,427984,4125308,17,18,17.5,0.468,5.313
T1-9,2014-06-17,427984,4125308,18,19,18.5,0.581,2.965
T1-9,2014-06-17,427984,4125308,19,20,19.5,0.403,3.521
2B,2014-06-16,426689,4124850,0,1,0.5,0.709,2.585
2B,2014-06-16,426689,4124850,1,2,1.5,0.691,2.305
2B,2014-06-16,426689,4124850,2,3,2.5,0.529,2.752
2B,2014-06-16,426689,4124850,3,4,3.5,0.620,2.768
2B,2014-06-16,426689,4124850,4,5,4.5,0.783,3.202
2B,2014-06-16,426689,4124850,5,6,5.5,0.635,3.348
2B,2014-06-16,426689,4124850,6,7,6.5,0.561,3.206
2B,2014-06-16,426689,4124850,7,8,7.5,0.674,2.493
2B,2014-06-16,426689,4124850,8,9,8.5,0.556,3.575
2B,2014-06-16,426689,4124850,9,10,9.5,0.651,3.020
2B,2014-06-16,426689,4124850,10,11,10.5,0.586,2.422
2B,2014-06-16,426689,4124850,11,12,11.5,0.645,2.575
2B,2014-06-16,426689,4124850,12,13,12.5,0.755,3.225
2B,2014-06-16,426689,4124850,13,14,13.5,0.790,6.166
2B,2014-06-16,426689,4124850,14,15,14.5,0.697,3.948
2B,2014-06-16,426689,4124850,15,16,15.5,0.714,8.468
2B,2014-06-16,426689,4124850,16,17,16.5,0.809,6.359
2B,2014-06-16,426689,4124850,17,18,17.5,0.728,5.520
2B,2014-06-16,426689,4124850,18,19,18.5,0.841,4.134
2B,2014-06-16,426689,4124850,19,20,19.5,0.598,5.659
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
