MaterialDated,Age,SampleID,Depth,AgeType,ErrorOlder,GeochronType,Delta13C,LabNumber,ErrorYounger,Notes,Infinite,Thickness
bulk organic picked free of roots,0,261016,10,Radiocarbon years BP,,Carbon-14,,Beta-352951,,> modern,FALSE,1
bulk organic picked free of roots,970,261017,21,Radiocarbon years BP,30,Carbon-14,,Beta-238781,30,,FALSE,1
bulk organic picked free of roots,1110,261018,34,Radiocarbon years BP,30,Carbon-14,,Beta-352953,30,,FALSE,2
bulk organic picked free of roots,2200,261019,41,Radiocarbon years BP,30,Carbon-14,,Beta-328782,30,,FALSE,1
bulk organic picked free of roots,3850,261020,83,Radiocarbon years BP,30,Carbon-14,,Beta-328783,30,,FALSE,1
