study_id,site_id,plot_id,species,family,percent_nitrogen,percent_carbon,plant_dry_weight,plant_organic_matter,crop_carbon_g,crop_carbon_MgHa
Cifuentes_et_al_2023_Panama,Calle Larga,1_1,Oryza sativa,Poaceae,1.64,35.16,49.74,276.98,97.39,3.9
Cifuentes_et_al_2023_Panama,Calle Larga,1_2,Oryza sativa,Poaceae,2.17,34.56,38.81,183.99,63.59,2.54
Cifuentes_et_al_2023_Panama,Calle Larga,1_3,Eichhornia sp.,Pontederiaceae,3.9,33.7,15.43,16.16,5.45,0.22
Cifuentes_et_al_2023_Panama,Calle Larga,2_1,Oryza sativa,Poaceae,1.56,38.1,63.61,412.04,156.99,6.28
Cifuentes_et_al_2023_Panama,Calle Larga,2_2,Oryza sativa,Poaceae,1.43,41.28,72.53,651.54,268.96,10.76
