"study_id","site_id","plot_id","core_id","depth_min","depth_max","percent_nitrogen","percent_carbon","dry_bulk_density","soil_carbon"
"Cifuentes_et_al_2023_Panama","El Represo",1,"El Represo_1","0","15",0.34,9.03,0.50452,68.33768
"Cifuentes_et_al_2023_Panama","El Represo",1,"El Represo_1","15","30",0.38,10.37,0.39102,60.82362
"Cifuentes_et_al_2023_Panama","El Represo",1,"El Represo_1","30","50",0.36,10.54,0.34318,72.34239
"Cifuentes_et_al_2023_Panama","El Represo",1,"El Represo_1","50","100",0.32,9.34,0.36505,170.47775
"Cifuentes_et_al_2023_Panama","El Represo",1,"El Represo_1","100","300",0.11,2.81,0.94073,528.68869
"Cifuentes_et_al_2023_Panama","El Represo",2,"El Represo_2","0","15",0.48,13.18,0.37114,73.37394
"Cifuentes_et_al_2023_Panama","El Represo",2,"El Represo_2","15","30",0.49,16.58,0.36902,91.77411
"Cifuentes_et_al_2023_Panama","El Represo",2,"El Represo_2","30","50",0.46,12.25,0.29462,72.18293
"Cifuentes_et_al_2023_Panama","El Represo",2,"El Represo_2","50","100",0.35,9.9,0.47587,235.55558
"Cifuentes_et_al_2023_Panama","El Represo",2,"El Represo_2","100","300",0.19,5.86,0.63511,744.34642
"Cifuentes_et_al_2023_Panama","El Represo",3,"El Represo_3","0","15",0.52,13.51,0.3413,69.16471
"Cifuentes_et_al_2023_Panama","El Represo",3,"El Represo_3","15","30",0.56,16.78,0.37415,94.17293
"Cifuentes_et_al_2023_Panama","El Represo",3,"El Represo_3","30","50",0.52,14.3,0.39123,111.89228
"Cifuentes_et_al_2023_Panama","El Represo",3,"El Represo_3","50","100",0.36,10.55,0.51992,274.25779
"Cifuentes_et_al_2023_Panama","El Represo",3,"El Represo_3","100","300",0.32,10.12,0.36928,747.41517
"Cifuentes_et_al_2023_Panama","El Represo",4,"El Represo_4","0","15",0.48,13.15,0.33005,65.10142
"Cifuentes_et_al_2023_Panama","El Represo",4,"El Represo_4","15","30",0.44,12.19,0.34546,63.167230000000004
"Cifuentes_et_al_2023_Panama","El Represo",4,"El Represo_4","30","50",0.46,11.59,0.29443,68.24953
"Cifuentes_et_al_2023_Panama","El Represo",4,"El Represo_4","50","100",0.31,9.13,0.44219,201.85909
"Cifuentes_et_al_2023_Panama","El Represo",4,"El Represo_4","100","300",0.21,6.71,0.69043,926.55901
"Cifuentes_et_al_2023_Panama","El Represo",5,"El Represo_5","0","15",0.45,13.48,0.35632,72.04694
"Cifuentes_et_al_2023_Panama","El Represo",5,"El Represo_5","15","30",0.39,12.98,0.34388,66.95268
"Cifuentes_et_al_2023_Panama","El Represo",5,"El Represo_5","30","50",0.41,12.76,0.27585,70.39755
"Cifuentes_et_al_2023_Panama","El Represo",5,"El Represo_5","50","100",0.35,10.4,0.30731,159.79958
"Cifuentes_et_al_2023_Panama","El Represo",5,"El Represo_5","100","300",0.26,7.57,0.56635,857.45922
"Cifuentes_et_al_2023_Panama","El Represo",6,"El Represo_6","0","15",0.5,14.13,0.30461,64.56215
"Cifuentes_et_al_2023_Panama","El Represo",6,"El Represo_6","15","30",0.42,11.86,0.321,57.10565
"Cifuentes_et_al_2023_Panama","El Represo",6,"El Represo_6","30","50",0.38,10.05,0.28627,57.54097
"Cifuentes_et_al_2023_Panama","El Represo",6,"El Represo_6","50","100",0.29,7.58,0.29544,111.97248
"Cifuentes_et_al_2023_Panama","El Represo",6,"El Represo_6","100","300",0.27,7.25,0.50294,729.26322
