study_id,site_id,plot_id,plot_radius,species,family,diameter,diameter_flag,alive_or_dead,decay_class,height,wood_density,carbon_conversion_factor,basal_area,basal_density,plant_aboveground_carbon,plant_belowground_carbon,plant_BGB_kg,plant_AGB_kg,plant_AGB_MgHa,plant_BGB_MgHa,plant_mass_total_MgHa,plant_total_carbon,plant_notes
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,9.4,DBH,alive,NA,NA,0.898,0.4752,0.00694,0.45082,1.07783,0.80672,26.13318,34.91576,2.26817,1.69764,3.96581,1.88455,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,13,DBH,alive,NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,3.97582,3.48704,7.46286,3.54635,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,16,DBH,alive,NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,5.69538,5.52903,11.22441,5.33384,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,16.6,DBH,alive,NA,NA,0.898,0.4752,0.02164,1.40592,2.88453,2.85114,92.36096,93.44247,6.07013,5.99988,12.07001,5.73567,NA
Cifuentes_et_al_2023_Panama,Batipa,1,7,Rhizophora mangle,Rhizophoraceae,32,DBH,alive,NA,NA,0.898,0.4752,0.08042,5.22449,8.98426,12.24086,396.53493,291.03942,18.90627,25.75939,44.66566,21.22512,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,5.2,DBH,dead,3,1.3,0.898,0.4752,0.00212,0.13796,0.19339,0.21672,7.02063,6.26483,0.40697,0.45607,0.86304,0.41012,NA
