study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,c14_age,c14_age_sd,c14_material,c14_notes,delta_c13,age,age_sd
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,0,9,NA,NA,0.197,NA,NA,NA,NA,-16.6,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,9,20,NA,0.2,0.364,NA,NA,NA,NA,-15.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,20,30,NA,NA,0.431,NA,NA,NA,NA,-15.6,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,30,40,NA,0.2,0.355,NA,NA,NA,NA,-19.6,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,40,50,NA,NA,0.031,NA,NA,NA,NA,-20.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,50,60,NA,NA,0.186,NA,NA,NA,NA,-14.3,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,60,70,NA,0.3,0.063,NA,NA,NA,NA,-15.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,70,80,NA,NA,0.067,NA,NA,NA,NA,-16.6,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,80,90,NA,NA,0.108,NA,NA,NA,NA,-18.9,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,90,102,NA,NA,0.237,NA,NA,NA,NA,-22.9,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,102,116,NA,NA,0.164,NA,NA,NA,NA,-21.9,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,116,118,NA,NA,0.356,NA,NA,NA,NA,-16.4,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,118,130,NA,NA,0.25,NA,NA,NA,NA,-17.3,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,130,140,NA,0.1,0.178,NA,NA,NA,NA,-13.6,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,140,150,NA,NA,0.182,NA,NA,NA,NA,-13.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,150,160,NA,NA,0.091,NA,NA,NA,NA,-15.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,160,169,NA,NA,0.063,NA,NA,NA,NA,-17.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,169,177,NA,NA,0.05,NA,NA,NA,NA,-20,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,177,190,NA,0.6,0.008,NA,NA,NA,NA,-23,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,190,200,NA,NA,0.004,NA,NA,NA,NA,-24.9,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,200,210,NA,NA,0.004,NA,NA,NA,NA,-24.8,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,210,222,BC_2129,0.5,0.025,3220,45,Mya arenaria,material at 216 cm,-24.9,3454.5,97.5
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,222,230,NA,NA,0.028,NA,NA,NA,NA,-25,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,230,240,NA,NA,0.025,NA,NA,NA,NA,-25.3,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,240,250,NA,0.5,0.022,NA,NA,NA,NA,-25.1,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,250,260,BC_2130,NA,0.027,3300,40,Macoma balthica,material at 253 cm,-24.7,3539.5,95.5
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,260,270,NA,NA,0.015,NA,NA,NA,NA,-24.3,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,270,277,BC_2128,0.5,0.03,3450,40,wood,material at 274 cm,-23.2,3706.5,75.5
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,277,287,NA,NA,0.19,NA,NA,NA,NA,-21.3,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,287,290,NA,NA,0.176,NA,NA,NA,NA,-20.2,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,290,298,NA,NA,0.252,NA,NA,NA,NA,-20.9,NA,NA
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,298,306,NA,NA,0.178,NA,NA,NA,NA,-19.2,NA,NA
