"","site_id","study_id","mean_elevation","site_longitude_max","site_longitude_min","site_latitude_max","site_latitude_min"
"1","Abu al Abyad 10 yr","Schile-Beers_etal_2017",-32.6971,53.8002018,53.8000602,24.2040418,24.2036722
"2","Abu al Abyad 3 yr","Schile-Beers_etal_2017",-32.68668,53.8027065,53.8018485,24.201522,24.201198
"3","Abu al Abyad 5 yr","Schile-Beers_etal_2017",-32.73036,53.8007986,53.8005754,24.2034324,24.2030316
"4","Al Aryam","Schile-Beers_etal_2017",-31.9748052631579,54.2421301,54.2247289,24.2699552,24.2526848
"5","Al Shalila","Schile-Beers_etal_2017",-33.0067,54.6727436,54.6726044,24.6563792,24.6553328
"6","Algal Moon","Schile-Beers_etal_2017",-32.18534,54.0405899,54.0402431,24.129154,24.128326
"7","Bu Tinah Jaoub","Schile-Beers_etal_2017",-31.5258666666667,53.053904,53.053808,24.6282556,24.6272764
"8","Eastern Mangrove","Schile-Beers_etal_2017",-32.5818333333333,54.4420964456977,54.4323110973248,24.4562618770182,24.4519823748165
"9","Jubail Island","Schile-Beers_etal_2017",-32.7420583333333,54.4713824,54.4692296,24.5200358,24.5188622
"10","Jubail Island East","Schile-Beers_etal_2017",-32.6590333333333,54.5332951,54.5318899,24.5045904,24.4972416
"11","Marawah Island","Schile-Beers_etal_2017",-31.780075,53.3140163,53.3131607,24.2828478,24.2808582
"12","Sabkha Moon","Schile-Beers_etal_2017",-31.7219666666667,54.0496928723873,54.0493824037393,24.1242240653225,24.1232934486071
"13","Salaam","Schile-Beers_etal_2017",-32.5524666666667,54.4104337,54.4093813,24.450547,24.450307
