study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,marker_date,marker_type,fraction_nitrogen
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,0,2,NA,0.2980117843710464,0.19901865631402996,0.00724,NA,NA,0.00366
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,2,4,NA,0.4796676781501256,0.15578469470201242,0.05362,NA,NA,0.00317
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,4,6,NA,0.45608010446503244,0.14381708169904828,0.04593,NA,NA,0.0027500000000000003
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,6,8,NA,0.6357119507565421,0.09786032014026431,0.02872,NA,NA,0.00161
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,8,10,NA,0.6610046502501962,0.10235207644248433,0.0203,NA,NA,0.00115
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,10,12,NA,0.8919702563005487,0.061741699982617755,0.013049999999999999,NA,NA,8.9e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,10,10,h-1983-1,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,12,14,NA,0.9379644461662874,0.05727394132598119,0.011160000000000002,NA,NA,7.599999999999999e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,14,16,NA,0.9249107608096373,0.06130517465719142,0.01286,NA,NA,8.799999999999999e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,16,18,NA,0.9577865336908082,0.0614059744972275,0.01173,NA,NA,8.6e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,18,20,NA,0.7599619423140692,0.05723652881057915,0.01164,NA,NA,8.699999999999999e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,20,22,NA,1.124629936418111,0.04617853782721782,0.00759,NA,NA,7.199999999999999e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,22,24,NA,1.1848635056055261,0.04516886190374564,0.007579,NA,NA,4.97e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,0,2,NA,0.5107656994938524,0.1403682766372442,0.038637000000000005,NA,NA,0.002084
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,2,4,NA,0.5661696577105383,0.08575341050020671,0.015763,NA,NA,9.6e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,4,6,NA,0.786378761785219,0.05644305078886955,0.006757,NA,NA,4.39e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,6,8,NA,0.49671419977515574,0.11510476503090976,0.030174,NA,NA,0.0020469999999999998
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,8,10,NA,0.42609673017764266,0.11678741461395149,0.024552,NA,NA,0.00158
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,10,12,NA,0.47671844202939245,0.11401417420555862,0.031914,NA,NA,0.0019270000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,12,14,NA,0.4074019202710037,0.1552790421531764,0.066244,NA,NA,0.004196
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,14,16,NA,0.4412376158295867,0.1546026001238155,0.035857,NA,NA,0.002394
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,16,18,NA,0.5207864712595343,0.12657824692312933,0.034011,NA,NA,0.002272
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,16,16,h-1983-2,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,18,20,NA,0.5144080376793617,0.10746421267893658,0.029079999999999998,NA,NA,0.001956
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,20,22,NA,0.6636728563765554,0.11336040487287728,0.029805,NA,NA,0.001797
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,22,24,NA,0.8007097126780965,0.10583641356615638,0.032168999999999996,NA,NA,0.002354
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,24,26,NA,0.8029958443177228,0.09803239532969266,0.024371999999999998,NA,NA,0.001719
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,0,2,NA,0.1629531897714745,0.23532615272903284,0.032368,NA,NA,0.0023669999999999997
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,2,4,NA,0.408816543164032,0.10584250635055038,0.048638,NA,NA,0.002187
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,4,6,NA,0.5298804755718592,0.09593803136217639,0.021722,NA,NA,0.00131
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,6,8,NA,0.4125220341572658,0.1263883259019051,0.018037,NA,NA,0.001281
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,8,10,NA,0.4645425807001128,0.09517868936669857,0.017877,NA,NA,0.001208
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,10,12,NA,0.3426750288139914,0.13240430167018233,0.023938,NA,NA,0.001965
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,12,14,NA,0.6367429203426441,0.10224961292085376,0.023517999999999997,NA,NA,0.001776
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,12,12,h-1983-3,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,14,16,NA,0.6537026068570531,0.1104918147719704,0.020311,NA,NA,0.001703
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,16,18,NA,0.6439802321078696,0.09417519530786204,0.020337,NA,NA,0.0017100000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,18,20,NA,0.6431087233612717,0.08703064661901244,0.015881,NA,NA,0.002287
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,20,22,NA,0.7516636633790726,0.08170753219262665,0.025937,NA,NA,0.0025959999999999998
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,22,24,NA,0.7579631559495894,0.08257932096125903,0.01413,NA,NA,0.001717
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,24,26,NA,0.7958311582813805,0.07927953150883095,0.017248,NA,NA,0.002345
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,26,28,NA,0.706004183394274,0.08077170989753514,0.016889,NA,NA,0.002386
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,0,2,NA,0.5119529722790725,0.10730656085380035,0.021709,NA,NA,0.001428
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,2,4,NA,0.2833650694395466,0.13195869778016342,0.039508999999999996,NA,NA,0.002798
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,4,6,NA,0.38025884351102235,0.14887481623883306,0.031991,NA,NA,0.002044
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,6,8,NA,0.37322519955070843,0.15169587796170106,0.062175,NA,NA,0.004032
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,8,10,NA,0.3571164971203868,0.1666416284834372,0.059611,NA,NA,0.0037930000000000004
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,10,12,NA,0.39450611693366494,0.14379173130100498,0.063888,NA,NA,0.003691
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,12,14,NA,0.5711066284543994,0.14105654459384906,0.034323,NA,NA,0.002125
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,14,16,NA,0.7309921705906575,0.10569105691056915,0.022498,NA,NA,0.001503
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,14,14,h-1983-4,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,16,18,NA,0.901476332683276,0.09195090263908005,0.021176,NA,NA,0.001484
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,18,20,NA,0.7765585001840625,0.09265442404006684,0.018418,NA,NA,0.001372
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,20,22,NA,0.7917704327446965,0.08954773691027508,0.01397,NA,NA,0.001148
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,22,24,NA,0.7884596467997406,0.08907905633533651,0.014681,NA,NA,0.001088
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,24,26,NA,0.7564206486209192,0.0945094509450946,0.013763000000000001,NA,NA,0.001105
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,26,28,NA,0.7934850314744161,0.08246714199811002,0.012986,NA,NA,0.001117
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,28,30,NA,0.7997592629218432,0.08978397337086441,0.013709,NA,NA,0.001149
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,0,2,NA,0.6070389972294352,0.08662633543570598,0.018496,NA,NA,0.001433
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,2,4,NA,0.7275724460523767,0.07943591938211964,0.015029999999999998,NA,NA,0.001493
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,4,6,NA,0.6505354935496706,0.07257886609309483,0.01554,NA,NA,0.0015160000000000002
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,6,8,NA,0.6194848368117369,0.08351719313350923,0.018027,NA,NA,0.001701
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,8,10,NA,0.6424724588234476,0.09408832463587509,0.023513000000000003,NA,NA,0.0019270000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,10,12,NA,0.6266416287471136,0.09340977530692623,0.017786,NA,NA,0.001613
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,12,14,NA,0.6219430598524124,0.08916728076639646,0.014183,NA,NA,0.001446
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,14,16,NA,0.6954797679869894,0.08230228218745507,0.01312,NA,NA,0.001376
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,16,18,NA,0.8435446833374178,0.08092061374249483,0.010987,NA,NA,0.001155
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,16,16,h-1983-5,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,18,20,NA,0.9372081912937866,0.07776797251725565,0.009999000000000001,NA,NA,0.001136
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,20,22,NA,0.87194134333073,0.07794723282622192,0.008859,NA,NA,0.0011070000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,22,24,NA,1.0314463898004482,0.08072450126013407,0.010672999999999998,NA,NA,0.001154
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,24,26,NA,0.926596940775881,0.08085481750245511,0.009388,NA,NA,0.0011409999999999999
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,0,2,NA,0.3644722204000956,0.13865995596099412,0.044204,NA,NA,0.002918
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,2,4,NA,0.3322485002586799,0.13858638743455493,0.036538,NA,NA,0.002718
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,4,6,NA,0.38354121069250213,0.11775145303695801,0.038067000000000004,NA,NA,0.0026950000000000003
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,6,8,NA,0.5440267045021426,0.11079921272545411,0.027685,NA,NA,0.00187
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,8,10,NA,0.5140575395964909,0.13085170376136745,0.035859999999999996,NA,NA,0.0026119999999999997
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,10,12,NA,0.4908883532625726,0.10416962334307853,0.031872,NA,NA,0.002414
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,12,14,NA,0.6316622769612097,0.10133438654893208,0.024501,NA,NA,0.00208
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,14,16,NA,0.6207605235277714,0.10503625806773167,0.023186,NA,NA,0.0017180000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,16,18,NA,0.687648819829154,0.08394361039912131,0.01654,NA,NA,0.00156
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,16,16,h-1983-6,NA,NA,NA,1983,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,18,20,NA,0.8230215996471552,0.17183098591549292,0.017105,NA,NA,0.0015190000000000002
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,20,22,NA,0.8184367058063579,0.09198089236711036,0.020198999999999998,NA,NA,0.001616
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,22,24,NA,0.6888297773336018,0.0829183480724647,0.018289,NA,NA,0.001476
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,24,26,NA,0.9829166147045718,0.08360021627916651,0.016898,NA,NA,0.001253
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,26,28,NA,0.7512200149048082,0.08614705736526335,0.012183,NA,NA,9.97e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,28,30,NA,0.9013800246514962,0.08338938750408385,0.015928,NA,NA,0.0013059999999999999
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,0,2,NA,0.2581970967411483,0.21722687089301745,0.071362,NA,NA,0.004464
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,2,4,NA,0.4655656561852493,0.14380696007524418,0.039397,NA,NA,0.0029809999999999997
