study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_method,salinity_class,vegetation_class,salinity,short_term_accretion_rate,short_term_organic_matter_accretion_rate,short_term_mineral_accumulation_rate,short_term_carbon_accumulation_rate,longer_term_accretion_rate,longer_term_organic_matter_pool,longer_term_organic_matter_accumulation_rate,longer_term_mineral_pool,longer_term_mineral_accumulation_rate,longer_term_carbon_pool,longer_term_carbon_accumulation_rate,mean_high_water,mean_low_water,fraction_time_flooded,mean_water_depth
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-1,2015-11-20,29.918666075555556,-93.34708549805555,RTK-GPS,0.2714333333333333,RTK-GPS,saline,emergent,22.14735037,0.7,443.1,1735.9,177.5,0.3125,6589.861416894869,205.933169277965,44019.66194296399,1375.6144357176247,1610.0237409028384,50.3132419032137,0.1749203334,0.10822233340000001,0.9295,0.1355973334
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-2,2015-11-20,29.9186604275,-93.34346374444443,RTK-GPS,0.3756333333333333,RTK-GPS,saline,emergent,22.14735037,1.5,880.3,6637.2,352.4,0.5,9147.978506746593,285.874328335831,73081.68203470123,2283.8025635844133,2348.906229574297,73.40331967419678,0.07072033337,0.004022333370000001,0.7167,0.03139733337
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-3,2015-11-20,29.91903731416667,-93.34347062916666,RTK-GPS,0.3791,RTK-GPS,saline,emergent,22.14735037,NA,NA,NA,NA,0.375,5483.543512885683,171.3607347776776,40944.253530689035,1279.5079228340323,1212.3358809665408,37.8854962802044,0.06725366669999999,5.556667e-4,0.6931,0.0279306667
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-4,2015-11-20,29.919426718333334,-93.34528391583333,RTK-GPS,0.35857500000000003,RTK-GPS,saline,emergent,22.14735037,0.4,279.7,1847.2,112,0.4375,8047.032158270759,251.46975494596123,49383.59438750527,1543.2373246095397,2475.479323309231,77.35872885341347,0.0877786667,0.0210806667,0.8059,0.048455666700000004
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-5,2015-11-20,29.919825778611113,-93.34348262111111,RTK-GPS,0.36336666666666667,RTK-GPS,saline,emergent,22.14735037,NA,NA,NA,NA,0.5,8820.277355479586,275.63366735873706,95003.09642558407,2968.846763299502,1752.7519557395574,54.77349861686117,0.08298700003000001,0.01628900003,0.7889,0.04366400003
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1983-6,2015-11-20,29.921027103333333,-93.34538804527777,RTK-GPS,0.33446666666666663,RTK-GPS,saline,emergent,22.14735037,NA,NA,NA,NA,0.5,8992.710369401437,281.0221990437949,68640.43621462786,2145.0136317071206,2437.2295245209434,76.16342264127948,0.11188700000000001,0.045189000029999996,0.8944,0.07256400003
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,2016-09-01,29.900838043055554,-93.37099172027777,RTK-GPS,0.2702,RTK-GPS,saline,emergent,NA,0.7,430.5,3143.4,172.3,0.5,5839.794399387583,291.98971996937917,47593.85936910227,2379.69296845511,1344.9478998609188,67.24739499304594,0.17615366670000002,0.1094556667,0.9296,0.13683066670000002
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,2016-09-01,29.9007105225,-93.36906328027777,RTK-GPS,0.30526666666666663,RTK-GPS,saline,emergent,NA,NA,NA,NA,NA,0.4,4691.8289210286075,234.59144605143038,40817.63156902059,2040.8815784510293,1007.6015016422546,50.380075082112725,0.14108700000000002,0.07438900003,0.9171,0.101764
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,2016-09-01,29.900013447777777,-93.36845573083333,RTK-GPS,0.39030000000000004,RTK-GPS,saline,emergent,NA,NA,NA,NA,NA,0.3,3337.772695245779,166.88863476228894,34204.70848912942,1710.235424456471,654.1975915856124,32.70987957928062,0.056053666700000004,-0.0106443333,0.4997,0.0167306667
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,2016-09-01,29.899892958055556,-93.3663540136111,RTK-GPS,0.37666666666666665,RTK-GPS,saline,emergent,NA,NA,NA,NA,NA,0.3,4256.760838764952,212.83804193824758,42602.81195122203,2130.1405975611015,1052.8788182843196,52.643940914215975,0.06968700003,0.0029890000300000002,0.7104,0.030364000029999998
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,2016-09-01,29.89725611388889,-93.36240746277777,RTK-GPS,0.4117666666666667,RTK-GPS,saline,emergent,NA,0.3,188.8,2520.8,75.6,0.4,5465.229947007609,273.2614973503804,56555.7531574338,2827.78765787169,1286.2214377273804,64.31107188636902,0.03458700003,-0.03211099997,0.3261,-0.00473599997
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,2016-09-01,29.896845859166667,-93.36101874138889,RTK-GPS,0.3737,RTK-GPS,saline,emergent,NA,NA,NA,NA,NA,0.2,2730.570765122004,136.5285382561002,22793.836380073164,1139.691819003658,633.5605729360653,31.678028646803266,0.0726536667,0.0059556667,0.7214,0.0333306667
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,2015-09-18,29.963816488888888,-93.42210168055556,RTK-GPS,0.13405,RTK-GPS,saline,emergent,16.18876382,NA,NA,NA,NA,0.46153846153846156,3708.515787411726,285.27044518551736,25315.062128181402,1947.3124713985694,881.3034285015456,67.79257142319581,0.043926333330000004,0.026747333329999998,0.6196,0.03509033333
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-2,2015-09-18,29.963652413888887,-93.41308446111111,RTK-GPS,0.0695,RTK-GPS,saline,emergent,16.18876382,NA,NA,NA,NA,0.46153846153846156,3049.8910902803045,234.6070069446388,19668.668384120097,1512.9744910861614,1041.037897122693,80.07983824020715,0.1084763333,0.09129733333000001,0.7284,0.09964033333
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-3,2015-09-18,29.96300348611111,-93.41037663611111,RTK-GPS,0.0683,RTK-GPS,saline,emergent,16.18876382,1.9,997.7,1395,400.1,0.46153846153846156,3189.6553583644245,245.3581044895711,14519.623407330262,1116.894108256174,938.9608037193656,72.2277541322589,0.1096763333,0.09249733333,0.7297,0.1008403333
