study_id,site_id,core_id,latitude,longitude,position_method,position_notes,elevation,elevation_datum,salinity_class,salinity_method,habitat
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_101,37.32994956,-76.43348307,RTK,NA,0.34,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_102,37.32996093,-76.43345731,RTK,NA,0.316,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_103,37.3299746,-76.4334289,RTK,NA,0.348,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_104,37.32998427,-76.43339758,RTK,NA,0.393,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_105,37.33000005,-76.43336214,RTK,NA,0.409,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_106,37.33000987,-76.43333594,RTK,NA,0.396,NAVD88,mesohaline,measurement,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_107,37.33002655,-76.43329416,RTK,NA,0.422,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_108,37.33003981,-76.43326345,RTK,NA,0.431,NAVD88,mesohaline,measurement,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_109,37.33005403,-76.43322746,RTK,NA,0.428,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_110,37.33006594,-76.43319679,RTK,NA,0.428,NAVD88,mesohaline,measurement,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_111,37.33007787,-76.43315737,RTK,NA,0.505,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_112,37.33008871,-76.43311864,RTK,NA,0.443,NAVD88,mesohaline,measurement,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_113,37.3301049,-76.43308029,RTK,NA,0.567,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_114,37.33011994,-76.43304368,RTK,NA,0.453,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_115,37.33014543,-76.43301003,RTK,NA,0.467,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_116,37.33016184,-76.4329654,RTK,NA,0.436,NAVD88,oligohaline,measurement,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_117,37.33017836,-76.43292122,RTK,NA,0.459,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_200,37.32987422,-76.43336855,RTK,NA,0.29,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_201,37.32989013,-76.43332039,RTK,NA,0.308,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_202,37.32990849,-76.4332757,RTK,NA,0.35,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_203,37.3299226,-76.43322787,RTK,NA,0.373,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_204,37.32994092,-76.43318148,RTK,NA,0.423,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_205,37.32995523,-76.43313554,RTK,NA,0.503,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_206,37.32997464,-76.43308426,RTK,NA,0.475,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_207,37.33000051,-76.43304416,RTK,NA,0.422,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_208,37.33002129,-76.43299799,RTK,NA,0.369,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_209,37.33004163,-76.43294742,RTK,NA,0.399,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_210,37.33006403,-76.43289536,RTK,NA,0.392,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_211,37.33007483,-76.43284576,RTK,NA,0.397,NAVD88,NA,NA,marsh
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_212,37.330081560000004,-76.43282465,RTK,NA,0.363,NAVD88,NA,NA,unvegetated
Messerschmidt_et_al_2020,Captain_Sinclair_Seaward,CSS_300,37.32979573,-76.43331509,RTK,NA,0.341,NAVD88,mesohaline,measurement,marsh
